"code","parentCode","level","name","shortName","presentationName","validFrom","validTo","notes"
"8154","815","4","Operatører innen tekstilbearbeiding","","",,,""
"8155","815","4","Operatører innen pels, skinn- og lærbearbeiding","","",,,""
"8156","815","4","Operatører innen skinn og lærprodukter","","",,,""
"8157","815","4","Renseri- og vaskerimaskinoperatører","","",,,""
"8159","815","4","Andre operatører innen produksjon av tekstiler, pels, skinn og lær","","",,,""
"816","81","3","Operatører innen næringsmiddelproduksjon","","",,,""
"8160","816","4","Operatører innen næringsmiddelproduksjon","","",,,""
"817","81","3","Operatører innen treforedling og trelast","","",,,""
"8171","817","4","Operatører innen treforedling","","",,,""
"8172","817","4","Operatører innen trelastproduksjon","","",,,""
"818","81","3","Operatører av andre stasjonære maskiner","","",,,""
"8181","818","4","Operatører innen glass- og keramisk produksjon","","",,,""
"8182","818","4","Fyrkjele- og turbinoperatører","","",,,""
"8183","818","4","Pakke-, tappe- og etikettmaskinoperatører","","",,,""
"8189","818","4","Andre stasjonære maskinoperatører","","",,,""
"82","8","2","Montører","","",,,""
"821","82","3","Montører","","",,,""
"8211","821","4","Montører av mekaniske produkter","","",,,""
"8212","821","4","Montører av elektriske og elektroniske produkter","","",,,""
"8219","821","4","Andre montører","","",,,""
"83","8","2","Transportarbeidere og operatører av mobile maskiner mv.","","",,,""
"831","83","3","Lokomotiv og T-baneførere mv.","","",,,""
"8311","831","4","Lokomotiv og T-baneførere","","",,,""
"8312","831","4","Skiftekonduktører mv","","",,,""
"832","83","3","Bil-, drosje- og varebilførere","","",,,""
"8322","832","4","Bil-, drosje- og varebilførere","","",,,""
"833","83","3","Lastebil-, buss- og trikkeførere","","",,,""
"8331","833","4","Bussjåfører og trikkeførere","","",,,""
"8332","833","4","Lastebil- og trailersjåfører","","",,,""
"834","83","3","Operatører av mobile maskiner mv.","","",,,""
"8341","834","4","Jordbruks- og skogbruksmaskinførere","","",,,""
"8342","834","4","Anleggsmaskinførere","","",,,""
"8343","834","4","Kran- og heisførere mv.","","",,,""
"8344","834","4","Truckførere","","",,,""
"835","83","3","Dekks- og maskinmannskap (skip)","","",,,""
"8350","835","4","Dekks- og maskinmannskap (skip)","","",,,""
"9",,"1","Renholdere, hjelpearbeidere mv.","","",,,""
"91","9","2","Renholdere mv.","","",,,""
"911","91","3","Renholdere","","",,,""
"9111","911","4","Renholdere i private hjem","","",,,""
"9112","911","4","Renholdere i bedrifter","","",,,""
"912","91","3","Bilvaskere, vinduspussere mv.","","",,,""
"9122","912","4","Bilvaskere","","",,,""
"9123","912","4","Vinduspussere","","",,,""
"9129","912","4","Andre rengjørere","","",,,""
"92","9","2","Hjelpearbeidere i jordbruk, skogbruk og fiske","","",,,""
"921","92","3","Hjelpearbeidere i jordbruk, skogbruk og fiske","","",,,""
"9211","921","4","Hjelpearbeidere i nyttevekstproduksjon","","",,,""
"9212","921","4","Hjelpearbeidere i husdyrproduksjon","","",,,""
"9213","921","4","Hjelpearbeidere i kombinasjonsbruk","","",,,""
"9214","921","4","Hjelpearbeidere i gartneri mv.","","",,,""
"9215","921","4","Hjelpearbeidere i skogbruk","","",,,""
"9216","921","4","Hjelpearbeidere innen havbruk","","",,,""
"93","9","2","Hjelpearbeidere i bergverk, industri, bygg og anlegg og transport","","",,,""
"931","93","3","Hjelpearbeidere i bergverk, bygg og anlegg","","",,,""
"9311","931","4","Hjelpearbeidere i bergverk","","",,,""
"9312","931","4","Hjelpearbeidere i anlegg","","",,,""
"9313","931","4","Hjelpearbeidere i bygg","","",,,""
"932","93","3","Hjelpearbeidere i industri","","",,,""
"9321","932","4","Håndpakkere mv.","","",,,""
"9329","932","4","Andre hjelpearbeidere i industri","","",,,""
"933","93","3","Hjelpearbeidere innen transport og lager","","",,,""
"9331","933","4","Førere av ikke-motorisert kjøretøy","","",,,""
"9333","933","4","Laste- og lossearbeidere","","",,,""
"9334","933","4","Varepåfyllere","","",,,""
"94","9","2","Kjøkkenassistenter","","",,,""
"941","94","3","Kjøkkenassistenter","","",,,""
"9412","941","4","Kjøkkenassistenter","","",,,""
"95","9","2","Reklamedistributører mv.","","",,,""
"951","95","3","Reklamedistributører mv.","","",,,""
"9510","951","4","Reklamedistributører mv.","","",,,""
"96","9","2","Renovasjons- og gjenvinningsarbeidere mv.","","",,,""
"961","96","3","Renovasjons- og gjenvinningsarbeidere","","",,,""
"9611","961","4","Renovasjonsarbeidere","","",,,""
"9612","961","4","Gjenvinningsarbeidere","","",,,""
"9613","961","4","Gatefeiere mv.","","",,,""
"962","96","3","Andre hjelpearbeidere","","",,,""
"9621","962","4","Bud mv.","","",,,""
"9622","962","4","Altmuligmann","","",,,""
"9623","962","4","Måleravlesere mv.","","",,,""
"9629","962","4","Andre hjelpearbeidere","","",,,""
