styrk08,name_en,source
2519,Software and applications developers and analysts not elsewhere classified,"SSB Klass API, classification 7, language=en"
2521,Database designers and administrators,"SSB Klass API, classification 7, language=en"
2522,Systems administrators,"SSB Klass API, classification 7, language=en"
2523,Computer network professionals,"SSB Klass API, classification 7, language=en"
2529,Database and network professionals not elsewhere classified,"SSB Klass API, classification 7, language=en"
2611,Lawyers,"SSB Klass API, classification 7, language=en"
2612,Judges,"SSB Klass API, classification 7, language=en"
2619,Legal professionals not elsewhere classified,"SSB Klass API, classification 7, language=en"
2621,Archivists and curators,"SSB Klass API, classification 7, language=en"
2622,Librarians and related information professionals,"SSB Klass API, classification 7, language=en"
2631,Economics,"SSB Klass API, classification 7, language=en"
2632,"Sociologists, anthropologists and related professionals","SSB Klass API, classification 7, language=en"
2633,"Philosophers, historians and political scientists","SSB Klass API, classification 7, language=en"
2634,Psychologists,"SSB Klass API, classification 7, language=en"
2635,Social work and counselling professionals,"SSB Klass API, classification 7, language=en"
2636,Religious professionals,"SSB Klass API, classification 7, language=en"
2641,Authors and related writers,"SSB Klass API, classification 7, language=en"
2642,Journalists,"SSB Klass API, classification 7, language=en"
2643,"Translators, interpreters and other linguists","SSB Klass API, classification 7, language=en"
2651,Visual artists,"SSB Klass API, classification 7, language=en"
2652,"Musicians, singers and composers","SSB Klass API, classification 7, language=en"
2653,Dancers and choreographers,"SSB Klass API, classification 7, language=en"
2654,"Film, stage and related directors and producers","SSB Klass API, classification 7, language=en"
2655,Actors,"SSB Klass API, classification 7, language=en"
2656,"Announcers on radio, television and other media","SSB Klass API, classification 7, language=en"
2659,Creative and performing artists not elsewhere classified,"SSB Klass API, classification 7, language=en"
3112,Civil engineering technicians,"SSB Klass API, classification 7, language=en"
3113,Electrical engineering technicians,"SSB Klass API, classification 7, language=en"
3114,Electronics engineering technicians,"SSB Klass API, classification 7, language=en"
3115,Mechanical engineering technicians,"SSB Klass API, classification 7, language=en"
3116,Chemical engineering technicians,"SSB Klass API, classification 7, language=en"
