styrk08,relational,pctl_rank,quintile,n_soc_matched,has_partial_match,manual_map
3333,0.102357,55.24,3,2,1,
3334,1.140493,85.42,5,4,1,
3339,0.811253,77.75,4,7,1,
3341,1.53546,95.4,5,1,0,
3342,-0.239398,44.25,3,1,0,
3343,-0.414801,37.34,2,2,0,
3351,1.253132,89.77,5,3,1,
3352,0.363655,63.43,4,1,0,
3353,0.692921,74.42,4,2,1,
3354,0.247516,59.85,3,2,1,
3355,1.139157,85.17,5,2,1,
3359,-0.039222,51.41,3,1,1,
3411,-0.091007,49.62,3,6,1,
3412,1.615039,96.42,5,1,0,
3421,0.374455,64.96,4,1,0,
3422,0.447086,67.77,4,3,1,
3423,0.662325,73.91,4,4,1,
3431,0.389391,65.98,4,1,0,
3432,0.411037,66.75,4,3,0,
3433,-0.430091,36.57,2,3,1,
3434,1.101812,84.65,5,2,1,
3511,-0.147169,47.31,3,1,0,
3512,-0.369081,39.64,2,1,0,
3513,-0.825855,16.62,1,1,0,
3514,-0.411815,37.6,2,2,1,
3521,-0.143593,47.57,3,4,0,
3522,-0.588387,29.92,2,1,1,
4110,0.102059,54.99,3,2,0,
4131,-0.697178,24.3,2,1,0,
4132,-0.821474,17.14,1,1,0,
4211,0.068006,53.45,3,2,1,
4212,0.33528,62.92,4,5,0,
4214,0.929916,80.05,5,2,0,
4221,1.246415,89.51,5,3,1,
4222,0.390877,66.24,4,2,1,
4223,-0.153804,47.06,3,2,0,
4224,1.290351,90.54,5,2,0,
4225,0.135758,56.52,3,2,1,
4226,0.312743,61.38,4,1,1,
4227,0.812634,78.01,4,1,0,
4229,0.889868,79.28,4,1,1,
4311,-0.727584,22.51,2,2,1,
4312,0.101453,54.73,3,5,0,
4313,-0.846225,16.11,1,1,0,
4321,-0.409463,37.85,2,3,1,
4322,-0.663597,26.09,2,1,0,
4323,0.381031,65.47,4,1,0,
4411,-0.260867,42.71,3,2,1,
4412,-0.777178,18.41,1,5,1,
4413,-1.976862,0.0,1,1,0,
4415,-0.598077,28.64,2,2,0,
4416,0.365251,64.19,4,1,0,
5111,1.005816,82.35,5,3,1,
5112,0.858455,79.03,4,2,1,
5113,1.025036,83.12,5,3,1,
5120,-0.014486,51.66,3,5,1,
5131,0.214771,58.31,3,2,1,
5132,0.745788,76.21,4,1,0,
5141,0.554812,71.87,4,3,1,
5142,0.243552,59.59,3,6,1,
5151,0.619676,73.15,4,1,0,
5152,0.619676,73.4,4,1,0,
5153,-0.967948,11.51,1,1,1,
5163,0.75481,76.47,4,3,0,
5164,0.181407,57.8,3,4,1,
5165,-0.102901,48.85,3,1,1,
5169,1.227769,89.0,5,4,1,
5211,1.389963,92.33,5,1,1,
5212,0.56829,72.63,4,2,1,
5221,1.224363,88.75,5,1,1,
5222,1.096815,84.4,5,1,0,
5223,1.10589,84.91,5,2,0,
5230,-0.056907,50.9,3,2,0,
5241,-1.244309,5.37,1,1,0,
5242,0.458635,68.8,4,1,0,
5243,1.389963,92.58,5,1,1,
5244,0.729443,75.7,4,1,0,
5245,0.379038,65.22,4,2,1,
5246,-0.129251,48.08,3,3,1,
5249,0.40037,66.5,4,1,0,
5311,1.015403,82.61,5,2,1,
5312,1.147286,86.19,5,1,0,
5321,0.766823,76.98,4,2,0,
5322,1.041451,83.89,5,3,1,
5329,0.33413,62.4,4,8,1,
5411,1.24416,89.26,5,2,1,
5413,1.350964,91.3,5,2,0,
5414,0.124862,56.01,3,3,1,
5419,0.459688,69.05,4,7,0,
6111,-0.254531,43.22,3,2,1,
6112,-0.254531,43.48,3,2,1,
6113,-0.271706,42.2,3,3,1,
6114,-0.254531,43.73,3,2,1,
6121,-0.449489,34.53,2,2,1,
6122,-0.449489,34.78,2,2,1,
6123,-0.449489,35.04,2,2,1,
6129,-0.449489,35.29,2,2,1,
6130,-0.551403,32.23,2,3,1,
6210,-0.648406,26.85,2,5,1,
6221,-0.449489,35.55,2,2,1,
6222,-0.595456,28.9,2,2,1,
6224,-0.595456,29.16,2,2,1,
7112,-1.016116,10.74,1,2,1,
7113,0.10466,55.5,3,2,1,
7114,-0.658233,26.6,2,3,1,
7115,-0.370678,39.13,2,1,0,
7119,-0.245481,43.99,3,5,1,
7121,-0.632086,27.62,2,1,0,
7122,-0.77467,18.67,1,4,0,
7123,-1.161835,6.39,1,3,0,
7124,-0.90437,14.32,1,2,0,
7125,-0.544102,32.74,2,1,0,
7126,-0.620617,28.13,2,2,0,
7127,0.012471,51.92,3,2,1,
7131,-0.742055,20.97,2,2,0,
7132,-1.362639,3.58,1,2,1,
7211,-1.609881,2.05,1,2,1,
7212,-1.713951,1.53,1,2,0,
7213,-0.771523,19.18,1,3,1,
7214,-1.157565,6.65,1,3,0,
7215,-0.884715,14.83,1,1,0,
7221,-1.053525,9.97,1,1,1,
7222,-1.235224,5.63,1,6,1,
7223,-1.245465,5.12,1,11,1,
7224,-1.154417,6.91,1,2,1,
7231,-0.599089,28.39,2,10,1,
7232,0.030332,52.69,3,2,1,
7233,-0.754298,19.95,1,9,1,
7234,0.461047,69.31,4,2,1,
7311,-0.659281,26.34,2,4,1,
7312,0.122024,55.75,3,2,1,
7313,-0.727967,22.25,2,1,0,
7314,-0.847108,15.86,1,2,1,
7315,-1.126718,7.67,1,3,1,
7316,-1.056441,9.46,1,2,1,
7317,-0.445314,36.06,2,1,1,
7318,-0.710127,23.02,2,1,1,
7319,-0.445314,36.32,2,1,1,
7321,-0.485406,33.5,2,2,0,
7322,-0.690967,24.81,2,1,0,
7323,-1.05434,9.72,1,1,0,
7411,-0.426451,36.83,2,2,1,
7412,-0.573789,31.2,2,13,1,
7413,-0.174708,46.29,3,2,1,
7421,-0.385377,38.62,2,7,1,
7422,-0.308617,40.92,3,7,1,
7511,-0.743247,20.46,2,4,1,
7512,-0.930023,13.04,1,1,0,
7513,-1.109005,7.93,1,2,1,
7514,-1.6394,1.79,1,1,1,
7515,-0.978908,11.25,1,2,1,
7522,-1.103332,8.18,1,4,0,
7531,-1.016029,11.0,1,1,0,
7532,-1.14666,7.42,1,3,1,
7534,-0.5844,30.95,2,1,0,
7535,-1.918593,0.26,1,1,1,
7536,-0.710127,23.27,2,1,1,
7541,0.065752,53.2,3,1,0,
7542,-0.368279,39.9,2,1,0,
7543,-0.913652,13.81,1,1,0,
7544,0.316973,62.15,4,3,1,
7549,-0.451805,34.27,2,2,0,
8111,-0.953341,12.02,1,6,1,
8112,-1.045855,10.23,1,2,1,
8113,-0.637194,27.37,2,6,1,
8114,-0.858871,15.35,1,4,1,
8121,-1.207828,6.14,1,5,1,
8122,-1.149121,7.16,1,3,1,
8131,-1.070766,8.7,1,3,1,
8132,0.029411,52.43,3,1,0,
8141,-1.363963,3.32,1,5,1,
8142,-1.277114,4.86,1,12,1,
8143,-0.948074,12.53,1,2,1,
8151,-1.730008,0.77,1,1,0,
8152,-1.719058,1.28,1,1,0,
8153,-1.886862,0.51,1,1,0,
8154,-1.538633,2.56,1,1,0,
8156,-1.349691,3.84,1,1,0,
8157,-0.790545,18.16,1,1,0,
8160,-1.064988,9.21,1,5,1,
8171,-0.850504,15.6,1,2,1,
8172,-1.72043,1.02,1,1,0,
8181,-1.281022,4.6,1,6,1,
8182,-0.665006,25.83,2,1,0,
8183,-0.80689,17.9,1,1,0,
8189,-0.919591,13.55,1,4,1,
8211,-0.948274,12.28,1,2,0,
8212,-1.308653,4.35,1,5,1,
8219,-0.772761,18.93,1,1,0,
8311,-0.455849,34.02,2,6,1,
8312,0.016932,52.17,3,3,1,
8322,0.089124,54.22,3,4,1,
8331,0.28949,60.87,4,3,1,
8332,-0.112456,48.34,3,2,1,
8341,-0.733874,21.23,2,2,1,
8342,-0.882608,15.09,1,5,1,
8343,-0.273975,41.94,3,5,1,
8344,-0.073741,50.38,3,2,1,
8350,-0.313707,40.41,3,2,0,
9111,-0.448927,35.81,2,1,1,
9112,-0.919733,13.3,1,3,1,
9122,-1.342325,4.09,1,1,1,
9123,-0.967948,11.76,1,1,1,
9129,-0.558065,31.97,2,1,0,
9211,-0.824667,16.88,1,1,1,
9212,-0.703534,23.53,2,1,1,
9213,-0.7641,19.69,1,2,1,
9214,-0.930235,12.79,1,2,1,
9215,-0.764397,19.44,1,1,1,
9216,-1.070307,8.95,1,2,1,
9311,-0.69616,24.55,2,1,0,
9312,-0.387759,38.36,2,2,0,
9313,-0.907649,14.07,1,7,0,
9321,-1.566815,2.3,1,1,0,
9329,-1.375238,3.07,1,4,1,
9331,-0.688377,25.32,2,1,1,
9333,-0.461371,33.76,2,4,1,
9334,-0.550296,32.48,2,1,1,
9412,-0.71706,22.76,2,3,1,
9611,-0.296235,41.69,3,2,1,
9612,-1.488957,2.81,1,1,1,
9621,-0.235617,44.76,3,2,1,
9622,-0.813086,17.65,1,3,0,
9623,-0.826968,16.37,1,2,0,
9629,-0.173704,46.8,3,5,1,
