styrk08,observed_exposure,quintile
8113,0.0,2
8114,0.01865,3
8121,0.0,2
8122,0.0,2
8131,0.0,2
8132,0.0108,2
8141,0.0085,2
8142,0.0,2
8143,0.0,2
8151,0.0,2
8152,0.032,3
8153,0.0,2
8154,0.0211,3
8156,0.0,2
8157,0.0,2
8160,0.0,2
8171,0.0,2
8172,0.0,2
8181,0.007083,2
8182,0.0,2
8183,0.0,2
8189,0.0,2
8211,0.0247,3
8212,0.013067,3
8311,0.0,2
8312,0.0,2
8322,0.007025,2
8331,0.0,2
8332,0.0,2
8341,0.0,2
8342,0.0,2
8343,0.015475,3
8344,0.0,2
8350,0.0,2
9111,0.0,2
9112,0.0,2
9122,0.0,2
9123,0.0,2
9129,0.0,2
9211,0.0203,3
9212,0.0,2
9213,0.01015,2
9214,0.01015,2
9215,0.0,2
9216,0.0,2
9311,0.0,2
9312,0.0,2
9313,0.004014,2
9321,0.0,2
9329,0.0276,3
9331,0.0412,3
9333,0.0,2
9334,0.0,2
9412,0.0,2
9611,0.0,2
9612,0.0,2
9621,0.0571,4
9622,0.0,2
9623,0.0,2
9629,0.01238,2
