styrk08,automation_share,n_classified,n_vintages,usage_pct_mean,passes_threshold,automation_group,directive_share,directive_group,automation_share_feb,n_feb,automation_group_feb,automation_share_handa,automation_group_handa
4211,0.4684,72,2,0.0108,0,too_few,0.4684,too_few,0.2639,52,too_few,0.5122,high
4212,0.5103,544,3,0.0454,1,mid,0.5103,high,0.5423,314,high,0.4366,high
4214,0.315,2031,3,0.0932,1,low,0.315,low,0.2892,815,low,0.4063,mid
4221,0.4525,9485,3,0.3673,1,mid,0.4367,mid,0.4559,4788,mid,0.2746,low
4222,0.5339,4232,3,0.18,1,high,0.5193,high,0.5195,1633,high,0.4212,high
4223,0.4833,982,3,0.0427,1,mid,0.4833,high,0.4806,287,mid,0.4634,high
4224,0.5671,2780,3,0.1045,1,high,0.5442,high,0.5397,1161,high,0.4543,high
4225,0.521,9919,3,0.3587,1,high,0.521,high,0.5046,3411,high,0.4881,high
4226,0.5804,1983,3,0.0799,1,high,0.5804,high,0.5799,607,high,0.5063,high
4227,0.699,1352,3,0.0586,1,high,0.6546,high,0.7383,447,high,0.5866,high
4229,0.3233,1729,3,0.0648,1,low,0.3233,low,0.2749,633,low,0.1816,low
4311,0.531,4214,3,0.1783,1,high,0.4891,high,0.4739,1993,mid,0.5089,high
4312,0.6099,2647,3,0.1202,1,high,0.6099,high,0.6288,1047,high,0.4929,high
4313,0.455,367,3,0.0163,1,mid,0.455,mid,0.4205,176,mid,0.2929,low
4321,0.6369,1551,3,0.0639,1,high,0.623,high,0.5852,571,high,0.236,low
4322,0.6471,238,3,0.0138,1,high,0.6471,high,0.4394,66,too_few,0.6302,high
4323,0.0,58,2,0.0068,0,too_few,0.0,too_few,0.0,36,too_few,0.0,low
4411,0.5802,4199,3,0.1612,1,high,0.5651,high,0.554,1220,high,0.4454,high
4412,0.3794,791,3,0.0297,1,low,0.3592,low,0.1427,295,low,0.375,mid
4413,0.2554,1163,3,0.0402,1,low,0.2554,low,0.2125,513,low,0.4667,high
4415,0.713,614,3,0.0294,1,high,0.713,high,0.7398,274,high,0.3769,mid
4416,0.4767,2807,3,0.1058,1,mid,0.4767,high,0.4603,1158,mid,0.3886,mid
5111,0.6626,447,3,0.0231,1,high,0.6626,high,0.655,164,high,0.0,low
5112,0.6905,343,3,0.0168,1,high,0.6905,high,0.7602,119,high,0.0,low
5113,0.5121,6713,3,0.3116,1,high,0.4984,high,0.5167,3390,high,0.4272,high
5120,0.4976,3061,3,0.122,1,mid,0.4674,high,0.3254,1410,low,0.7132,high
5131,0.5159,533,3,0.0226,1,high,0.5159,high,0.572,243,high,0.2727,low
5132,0.5137,292,3,0.0132,1,high,0.5137,high,0.4492,118,mid,0.4028,mid
5141,0.4528,6544,3,0.2897,1,mid,0.4279,mid,0.4644,3370,mid,0.3875,mid
5142,0.3977,6631,3,0.3022,1,low,0.3805,mid,0.4,3370,mid,0.2015,low
5151,0.4959,2335,3,0.0872,1,mid,0.4321,mid,0.49,904,high,0.3443,mid
5152,0.4959,2335,3,0.0872,1,mid,0.4321,mid,0.49,904,high,0.3443,mid
5153,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
5161,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
5163,0.5451,492,3,0.0266,1,high,0.5451,high,0.2412,130,low,0.1952,low
5164,0.3884,6311,3,0.2807,1,low,0.325,low,0.3217,3172,low,0.2412,low
5165,0.2658,10020,3,0.3503,1,low,0.251,low,0.2238,3077,low,0.404,mid
5169,0.5466,10903,3,0.4375,1,high,0.529,high,0.5855,5451,high,0.3974,mid
5211,0.3505,4126,3,0.1452,1,low,0.3236,low,0.3159,2013,low,0.165,low
5212,0.3505,4126,3,0.1452,1,low,0.3236,low,0.3159,2013,low,0.3553,mid
5221,0.4729,1032,3,0.0405,1,mid,0.4535,mid,0.4314,408,mid,0.4369,high
5222,0.4627,1314,3,0.0647,1,mid,0.4368,mid,0.4534,541,mid,0.3066,low
5223,0.516,4861,3,0.3062,1,high,0.495,high,0.4499,2098,mid,0.2952,low
5230,0.5796,19615,3,0.8244,1,high,0.547,high,0.6764,11097,high,0.2299,low
5241,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
5242,0.5307,1643,3,0.0647,1,high,0.5088,high,0.5165,757,high,0.3872,mid
5243,0.3505,4126,3,0.1452,1,low,0.3236,low,0.3159,2013,low,0.165,low
5244,0.3166,796,3,0.0336,1,low,0.3166,low,0.3031,419,low,0.2806,low
5245,0.7662,241,3,0.0188,1,high,0.7662,high,0.8164,149,high,0.1974,low
5246,0.4618,639,3,0.0309,1,mid,0.4618,mid,0.3705,437,low,0.5294,high
5249,0.4519,3629,3,0.1303,1,mid,0.4142,mid,0.4578,1433,mid,0.4034,mid
5311,0.5382,6983,3,0.3045,1,high,0.5176,high,0.5721,3367,high,0.4561,high
5312,0.4463,3969,3,0.1441,1,mid,0.4345,mid,0.4129,1089,mid,0.422,high
5321,0.2163,382,3,0.0236,1,low,0.2163,low,0.1875,130,low,0.0,low
5322,0.3299,10667,3,0.4263,1,low,0.3162,low,0.3443,4909,low,0.6287,high
5329,0.4351,1752,3,0.0642,1,mid,0.4316,mid,0.2788,620,low,0.4701,high
5411,0.4966,110,3,0.0051,1,mid,0.4966,high,0.2429,52,too_few,,too_few
5413,0.3838,4031,3,0.1551,1,low,0.3399,low,0.3878,1836,mid,0.642,high
5414,1.0,90,3,0.0062,0,too_few,1.0,too_few,1.0,24,too_few,0.5532,high
5419,0.6849,798,3,0.0484,1,high,0.6849,high,0.7161,387,high,0.6198,high
6111,0.0,21,1,0.0029,0,too_few,0.0,too_few,0.0,21,too_few,,too_few
6112,0.0,21,1,0.0029,0,too_few,0.0,too_few,0.0,21,too_few,,too_few
6113,0.687,802,3,0.0508,1,high,0.687,high,0.7775,454,high,0.2314,low
6114,0.0,21,1,0.0029,0,too_few,0.0,too_few,0.0,21,too_few,,too_few
6121,0.0,21,1,0.0029,0,too_few,0.0,too_few,0.0,21,too_few,,too_few
6122,0.0,21,1,0.0029,0,too_few,0.0,too_few,0.0,21,too_few,,too_few
6123,0.0,21,1,0.0029,0,too_few,0.0,too_few,0.0,21,too_few,,too_few
6129,0.0,21,1,0.0029,0,too_few,0.0,too_few,0.0,21,too_few,,too_few
6130,0.0,21,1,0.0029,0,too_few,0.0,too_few,0.0,21,too_few,,too_few
6210,0.0,21,1,0.0029,0,too_few,0.0,too_few,0.0,21,too_few,,too_few
6221,0.0,21,1,0.0029,0,too_few,0.0,too_few,0.0,21,too_few,,too_few
6222,0.0,21,1,0.0029,0,too_few,0.0,too_few,0.0,21,too_few,,too_few
6224,0.0,21,1,0.0029,0,too_few,0.0,too_few,0.0,21,too_few,,too_few
7112,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
7113,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
7114,0.1868,234,3,0.0115,1,low,0.1868,low,0.0,73,too_few,0.2558,low
7115,1.0,28,1,0.0119,0,too_few,1.0,too_few,,0,too_few,0.3947,mid
7119,0.6312,892,3,0.0422,1,high,0.553,high,0.4907,312,high,0.0,low
7121,0.5405,37,1,0.0048,0,too_few,0.5405,too_few,0.5405,37,too_few,,too_few
