styrk08,microsoft_applicability,microsoft_user,microsoft_action,pctl_rank,quintile,n_soc_matched,has_partial_match,max_partial_fanout,manual_map
7233,0.094217,0.168099,0.020334,26.28,2,9,1,11,
7234,0.124278,0.213757,0.034799,42.09,3,2,1,11,
7311,0.132267,0.231294,0.033241,45.66,3,4,1,11,
7312,0.131688,0.228577,0.034799,45.41,3,2,1,11,
7313,0.113403,0.193985,0.032821,37.24,2,1,0,0,
7314,0.145379,0.248909,0.041848,50.51,3,2,1,6,
7315,0.076852,0.136103,0.017601,18.37,1,3,1,6,
7316,0.084322,0.140466,0.028178,20.92,2,2,1,2,
7317,0.198042,0.329122,0.066962,66.58,4,1,1,5,
7318,0.046875,0.093751,0.0,7.91,1,1,1,3,
7319,0.198042,0.329122,0.066962,66.84,4,1,1,5,
7321,0.221954,0.303169,0.14074,75.51,4,2,0,0,
7322,0.117048,0.191209,0.042888,39.8,2,1,0,0,
7323,0.04164,0.061001,0.022279,5.61,1,1,0,0,
7411,0.155562,0.23444,0.076684,54.34,3,2,1,2,
7412,0.116902,0.200517,0.033286,39.54,2,13,1,11,
7413,0.118888,0.195119,0.042656,40.05,3,2,1,11,
7421,0.146578,0.248273,0.044883,51.02,3,7,1,11,
7422,0.142253,0.245461,0.039046,48.98,3,7,1,11,
7511,0.135037,0.265373,0.004702,46.68,3,4,1,2,
7512,0.090542,0.165931,0.015152,23.98,2,1,0,0,
7513,0.087957,0.157632,0.018282,22.45,2,2,1,2,
7514,0.092629,0.164549,0.02071,25.0,2,1,1,2,
7515,0.063935,0.102053,0.025817,14.29,1,2,1,3,
7522,0.114315,0.187474,0.041155,38.01,2,4,0,0,
7531,0.04756,0.080122,0.014998,8.42,1,1,0,0,
7532,0.084841,0.137654,0.032028,21.17,2,3,1,2,
7534,0.082198,0.124529,0.039867,19.9,1,1,0,0,
7535,0.038503,0.077006,0.0,3.83,1,1,1,3,
7536,0.046875,0.093751,0.0,8.16,1,1,1,3,
7541,0.083727,0.157862,0.009592,20.66,2,1,0,0,
7542,0.033862,0.054964,0.01276,2.55,1,1,0,0,
7543,0.092988,0.151441,0.034535,25.26,2,1,0,0,
7544,0.103865,0.16158,0.046151,28.57,2,3,1,2,
7549,0.116074,0.196228,0.03592,39.29,2,2,0,0,
8111,0.051381,0.082405,0.020357,9.95,1,6,1,2,
8112,0.051969,0.097129,0.006808,10.46,1,2,1,4,
8113,0.049894,0.083993,0.015795,9.44,1,6,1,2,
8114,0.060073,0.108148,0.011998,13.52,1,4,1,4,
8121,0.105594,0.180605,0.030583,29.59,2,5,1,3,
8122,0.061642,0.117103,0.006181,13.78,1,3,1,3,
8131,0.095021,0.172418,0.017624,26.53,2,3,1,6,
8132,0.107924,0.176738,0.03911,31.89,2,1,0,0,
