styrk08,overall_exposure,pctl_overall_exposure,q_overall_exposure,automation_share,pctl_automation_share,q_automation_share,augmentation_share,pctl_augmentation_share,q_augmentation_share,n_soc_matched,n_tasks_matched,n_tasks_total,task_coverage,has_partial_match,max_partial_fanout,manual_map
3134,0.02485528,37.89,2,0.29076087,55.56,3,0.70923913,71.51,4,2,5,43,0.1163,0,0,
3139,0.8479555,95.44,5,0.36104279,72.08,4,0.63895721,54.7,3,1,3,15,0.2,1,2,
3141,0.10137259,66.38,4,0.2940286,56.7,3,0.7059714,70.37,4,2,14,41,0.3415,0,0,
3142,0.16998139,78.06,4,0.37855114,76.92,4,0.62144886,49.57,3,1,8,41,0.1951,0,0,
3143,0.09562095,64.39,4,0.15241228,24.22,2,0.84758772,94.02,5,1,2,20,0.1,0,0,
3151,0.01366014,26.5,2,0.0,1.14,1,0.0,0.85,1,1,5,22,0.2273,1,17,
3152,0.01299254,24.79,2,0.0,1.42,1,0.5,31.34,2,2,7,75,0.0933,1,17,
3153,0.00554622,10.83,1,0.0,1.71,1,0.0,1.14,1,3,7,74,0.0946,1,17,
3154,0.01109244,20.8,2,0.27,49.29,3,0.23,12.82,1,2,7,45,0.1556,1,17,
3155,0.20613453,80.63,5,0.39247005,78.92,4,0.60752995,47.29,3,1,14,43,0.3256,1,4,
3211,0.01511859,28.49,2,0.15549717,25.07,2,0.44450283,25.36,2,5,11,105,0.1048,0,0,
3212,0.10619985,67.81,4,0.33950235,65.24,4,0.66049765,61.25,4,2,16,89,0.1798,0,0,
3213,0.01735762,31.05,2,0.50684932,93.16,5,0.49315068,30.77,2,1,3,20,0.15,0,0,
3214,0.00195145,1.42,1,0.0,1.99,1,0.0,1.42,1,3,3,40,0.075,0,0,
3230,0.06696548,55.27,3,0.09942639,18.52,1,0.90057361,96.3,5,1,7,35,0.2,1,3,
3240,0.02187676,35.33,2,0.17081851,28.49,2,0.82918149,92.02,5,2,5,58,0.0862,1,2,
3251,0.00955182,17.38,1,0.22222222,39.32,2,0.77777778,84.05,5,1,1,17,0.0588,0,0,
3256,0.00492997,10.26,1,0.0,2.28,1,1.0,97.72,5,1,2,20,0.1,0,0,
3257,0.01232493,23.36,2,0.19,31.91,2,0.31,16.24,1,4,13,126,0.1032,1,17,
3258,0.00236228,5.13,1,0.0,2.56,1,0.0,1.71,1,1,1,15,0.0667,0,0,
3259,0.03408615,43.02,3,0.21622946,38.18,2,0.65877054,60.4,4,8,29,251,0.1155,1,3,
3311,0.23037357,83.48,5,0.15370752,24.5,2,0.84629248,93.73,5,2,28,67,0.4179,1,9,
3312,0.31115324,88.6,5,0.18171628,30.2,2,0.81828372,90.31,5,2,26,74,0.3514,0,0,
3313,0.11328669,69.23,4,0.49820789,92.02,5,0.50179211,33.33,2,1,12,30,0.4,1,2,
3315,0.02006225,34.19,2,0.37509787,76.07,4,0.62490213,50.43,3,3,10,72,0.1389,0,0,
3321,0.02358856,37.04,2,0.30046033,57.83,3,0.69953967,69.23,4,3,11,44,0.25,1,9,
3322,0.09451684,63.82,4,0.12011505,19.66,1,0.62988495,51.57,3,4,33,103,0.3204,1,9,
3323,0.01876129,32.19,2,0.2404567,42.74,3,0.42620996,24.22,2,3,13,51,0.2549,0,0,
3324,0.17032375,78.35,4,0.21093729,36.18,2,0.78906271,86.32,5,3,39,122,0.3197,1,9,
3331,0.028296,40.46,3,0.3644528,72.65,4,0.6355472,54.13,3,2,12,66,0.1818,1,2,
3332,0.0526891,51.0,3,0.38902743,78.35,4,0.61097257,47.86,3,1,6,21,0.2857,0,0,
3333,0.07949583,60.97,4,0.45378151,88.6,5,0.54621849,37.32,2,1,16,25,0.64,1,2,
3334,0.06552757,54.42,3,0.27523835,50.14,3,0.72476165,76.64,4,4,34,96,0.3542,1,9,
3339,0.19862219,80.06,5,0.30725975,59.83,3,0.69274025,67.24,4,7,108,295,0.3661,1,9,
3341,0.14317466,75.5,4,0.53583916,96.01,5,0.46416084,26.5,2,1,10,29,0.3448,0,0,
3342,0.01807657,31.62,2,0.75268817,99.72,5,0.24731183,13.96,1,1,3,13,0.2308,0,0,
3343,0.12930911,73.22,4,0.64709265,98.29,5,0.35290735,20.51,2,2,8,33,0.2424,0,0,
3351,0.07100532,57.55,3,0.24180932,43.02,3,0.42485735,23.93,2,3,25,176,0.142,1,3,
3352,0.03019609,41.03,3,0.08097166,16.81,1,0.91902834,97.15,5,1,3,26,0.1154,0,0,
3353,0.1002428,65.53,4,0.29354513,56.41,3,0.70645487,70.66,4,2,27,138,0.1957,1,3,
3354,0.13223628,74.07,4,0.35357389,69.23,4,0.64642611,57.26,3,2,37,188,0.1968,1,3,
3355,0.06373018,54.13,3,0.1660281,26.78,2,0.3339719,18.23,1,2,18,116,0.1552,1,3,
3359,0.02423904,37.32,2,0.28,51.0,3,0.72,75.5,4,1,5,22,0.2273,1,3,
3411,0.0448833,48.43,3,0.51111522,93.73,5,0.48888478,30.2,2,4,13,65,0.2,0,0,
3412,0.01140056,21.08,2,0.0,2.85,1,1.0,98.01,5,1,4,18,0.2222,0,0,
3422,0.08336894,61.54,4,0.13416311,21.37,2,0.53250356,35.61,2,3,19,73,0.2603,1,6,
3423,0.10776949,68.09,4,0.23078661,41.03,3,0.76921339,82.91,5,4,31,112,0.2768,1,10,
3431,0.07045754,57.26,3,0.47396768,90.6,5,0.52603232,34.76,2,1,7,29,0.2414,0,0,
3432,0.03567384,43.87,3,0.45926319,89.17,5,0.54073681,36.75,2,3,11,63,0.1746,0,0,
3433,0.23232502,84.05,5,0.48309913,91.17,5,0.51690087,34.19,2,3,25,74,0.3378,1,5,
3434,0.01273577,23.93,2,0.16037736,25.36,2,0.33962264,18.8,1,2,9,47,0.1915,1,2,
3511,0.5051169,93.73,5,0.14430268,22.79,2,0.85569732,94.59,5,1,6,15,0.4,0,0,
3512,0.12294122,72.08,4,0.25280899,44.44,3,0.74719101,80.63,5,1,8,16,0.5,0,0,
3513,0.26632129,87.46,5,0.17384174,29.06,2,0.82615826,91.45,5,1,10,26,0.3846,0,0,
3514,3.75004108,98.86,5,0.21559982,37.61,2,0.78440018,85.19,5,2,36,57,0.6316,1,2,
3521,0.02294492,36.47,2,0.65612869,98.58,5,0.34387131,19.37,1,5,17,113,0.1504,0,0,
