styrk08,overall_exposure,pctl_overall_exposure,q_overall_exposure,automation_share,pctl_automation_share,q_automation_share,augmentation_share,pctl_augmentation_share,q_augmentation_share,n_soc_matched,n_tasks_matched,n_tasks_total,task_coverage,has_partial_match,max_partial_fanout,manual_map
7317,0.34992543,89.17,5,0.52153262,94.3,5,0.47846738,28.49,2,1,6,15,0.4,1,5,
7319,0.34992543,89.46,5,0.52153262,94.59,5,0.47846738,28.77,2,1,6,15,0.4,1,5,
7321,0.1048133,67.52,4,0.46867464,90.03,5,0.53132536,35.33,2,2,13,50,0.26,0,0,
7322,0.00554622,11.11,1,0.50943396,93.45,5,0.49056604,30.48,2,1,1,23,0.0435,0,0,
7323,0.00174603,0.85,1,0.0,8.55,1,0.0,5.98,1,1,1,26,0.0385,0,0,
7411,0.01278712,24.5,2,0.0,8.83,1,1.0,98.86,5,2,8,47,0.1702,1,2,
7412,0.0175288,31.34,2,0.17039671,28.21,2,0.71849218,74.64,4,9,21,191,0.1099,1,11,
7413,0.02269842,36.18,2,0.24358974,43.59,3,0.75641026,81.48,5,1,4,22,0.1818,1,11,
7421,0.03838337,44.73,3,0.20744282,35.33,2,0.79255718,87.18,5,7,24,123,0.1951,1,11,
7422,0.05029258,50.14,3,0.13617904,21.94,2,0.86382096,95.16,5,6,22,133,0.1654,1,11,
7512,0.0105789,20.23,2,0.36363636,72.36,4,0.63636364,54.42,3,1,2,18,0.1111,0,0,
7513,0.05494867,52.42,3,0.28482328,52.99,3,0.71517672,73.79,4,1,4,25,0.16,1,2,
7515,0.02423904,37.61,2,0.28,51.28,3,0.72,75.78,4,1,5,22,0.2273,1,3,
7522,0.12253039,71.51,4,0.23419991,42.17,3,0.26580009,14.25,1,2,3,34,0.0882,0,0,
7531,0.0923343,63.25,4,0.34418605,66.1,4,0.65581395,60.11,4,1,3,22,0.1364,0,0,
7532,0.06866016,55.56,3,0.35545385,70.37,4,0.64454615,56.13,3,1,1,18,0.0556,0,0,
7534,0.00215686,4.27,1,0.0,9.12,1,0.0,6.27,1,1,1,22,0.0455,0,0,
7541,0.00236228,5.41,1,0.0,9.4,1,0.0,6.55,1,1,1,25,0.04,0,0,
7543,0.16710557,77.49,4,0.36516129,73.22,4,0.63483871,53.56,3,1,3,32,0.0938,0,0,
7544,0.03605043,44.44,3,0.14193548,22.22,2,0.35806452,21.37,2,2,2,43,0.0465,1,2,
7549,0.00554622,11.4,1,0.0,9.69,1,1.0,99.15,5,1,1,18,0.0556,0,0,
8111,0.00626518,11.97,1,0.0,9.97,1,0.0,6.84,1,1,3,16,0.1875,1,2,
8112,0.00231093,4.84,1,0.0,10.26,1,0.0,7.12,1,2,2,33,0.0606,1,4,
8113,0.02043885,34.47,2,0.21511628,37.04,2,0.78488372,85.75,5,1,1,19,0.0526,0,0,
8114,0.01006536,18.52,1,0.18359375,30.48,2,0.31640625,17.38,1,4,6,142,0.0423,1,4,
8121,0.00169468,0.28,1,0.0,10.54,1,0.0,7.41,1,2,2,46,0.0435,1,3,
8122,0.00246499,5.7,1,0.0,10.83,1,0.0,7.69,1,1,1,11,0.0909,1,3,
8131,0.01140056,21.37,2,0.14596273,23.36,2,0.35403727,20.8,2,2,4,106,0.0377,1,6,
8132,0.05885156,53.28,3,0.68656716,99.15,5,0.31343284,17.09,1,1,2,36,0.0556,0,0,
8141,0.01052755,19.94,1,0.14596273,23.65,2,0.35403727,21.08,2,2,3,105,0.0286,1,6,
8142,0.00164332,0.0,1,0.0,11.11,1,0.0,7.98,1,3,3,63,0.0476,1,3,
8152,0.06866016,55.84,3,0.35545385,70.66,4,0.64454615,56.41,3,1,1,20,0.05,0,0,
8154,0.00380019,9.12,1,0.0,11.4,1,0.0,8.26,1,1,2,24,0.0833,0,0,
8157,0.00246499,5.98,1,0.0,11.68,1,1.0,99.43,5,1,1,32,0.0312,0,0,
8160,0.05494867,52.71,3,0.28482328,53.28,3,0.71517672,74.07,4,1,4,25,0.16,1,2,
8171,0.00246499,6.27,1,0.0,11.97,1,0.0,8.55,1,1,1,11,0.0909,1,3,
8181,0.00770308,15.38,1,0.09730849,17.95,1,0.23602484,13.39,1,3,4,124,0.0323,1,6,
8182,0.00174603,1.14,1,0.0,12.25,1,0.0,8.83,1,1,1,25,0.04,0,0,
8189,0.00554622,11.68,1,0.45454545,88.89,5,0.54545455,37.04,2,1,1,23,0.0435,0,0,
8211,0.00482727,9.97,1,0.0,12.54,1,0.0,9.12,1,2,3,42,0.0714,0,0,
8212,0.00321818,7.98,1,0.0,12.82,1,0.0,9.4,1,3,4,63,0.0635,1,2,
8311,0.00644491,12.82,1,0.1171875,19.09,1,0.6328125,52.99,3,4,8,74,0.1081,1,17,
8312,0.00671024,13.96,1,0.0,13.11,1,0.66666667,63.53,4,3,7,64,0.1094,1,17,
8322,0.00996266,17.95,1,0.0,13.39,1,0.33333333,17.95,1,3,9,55,0.1636,1,17,
8331,0.01164022,21.65,2,0.16819572,27.64,2,0.49847095,31.05,2,3,10,49,0.2041,1,17,
8332,0.01607377,29.63,2,0.1509434,23.93,2,0.3490566,20.23,2,2,7,53,0.1321,1,17,
8342,0.00626518,12.25,1,0.0,13.68,1,0.0,9.69,1,1,3,16,0.1875,1,2,
8343,0.01602241,29.34,2,0.21165644,36.47,2,0.28834356,15.38,1,2,6,41,0.1463,1,17,
8344,0.01366014,26.78,2,0.0,13.96,1,0.0,9.97,1,1,5,22,0.2273,1,17,
9111,0.0065733,13.39,1,0.5,92.59,5,0.5,32.48,2,1,1,28,0.0357,1,2,
9112,0.0065733,13.68,1,0.5,92.88,5,0.5,32.76,2,1,1,28,0.0357,1,2,
9129,0.00369748,8.83,1,0.0,14.25,1,1.0,99.72,5,1,1,22,0.0455,0,0,
9211,0.06634923,54.7,3,0.33443163,63.82,4,0.66556837,62.68,4,1,2,38,0.0526,1,5,
9212,0.00195145,1.71,1,0.0,14.53,1,0.0,10.26,1,1,1,22,0.0455,1,5,
9213,0.03415034,43.3,3,0.16721582,27.07,2,0.33278418,17.66,1,2,3,60,0.05,1,5,
9214,0.0343044,43.59,3,0.16721582,27.35,2,0.83278418,92.31,5,2,3,65,0.0462,1,5,
9216,0.00195145,1.99,1,0.0,14.81,1,0.0,10.54,1,1,1,22,0.0455,1,5,
9313,0.00215686,4.56,1,0.0,15.1,1,0.0,10.83,1,1,1,15,0.0667,0,0,
9329,0.01047619,19.66,1,0.19354839,32.19,2,0.30645161,15.95,1,2,2,55,0.0364,1,3,
9331,0.01211952,23.08,2,0.375,75.78,4,0.625,51.28,3,1,1,16,0.0625,1,4,
9333,0.01853876,31.91,2,0.23333333,41.88,3,0.26666667,14.53,1,2,7,68,0.1029,1,3,
9334,0.00647059,13.11,1,0.0,15.38,1,1.0,100.0,5,1,2,50,0.04,1,2,
9412,0.02228759,35.61,2,0.2195122,38.75,2,0.7804878,84.62,5,1,2,30,0.0667,0,0,
9611,0.01366014,27.07,2,0.0,15.67,1,0.0,11.11,1,1,5,22,0.2273,1,17,
9621,0.01607377,29.91,2,0.33257772,63.25,4,0.66742228,64.1,4,2,2,33,0.0606,1,4,
9622,0.00770308,15.67,1,0.0,15.95,1,0.66666667,63.82,4,3,5,70,0.0714,0,0,
9623,0.00256769,6.55,1,0.0,16.24,1,0.0,11.4,1,1,1,19,0.0526,0,0,
9629,0.01345472,25.93,2,0.2644905,47.01,3,0.4855095,29.91,2,4,6,83,0.0723,1,2,
