styrk08,rank,neighbour,similarity,n_soc,n_soc_neighbour
2133,4,2164,0.8509,2,1
2133,5,1223,0.8401,2,2
2141,1,2144,0.941,1,4
2141,2,2149,0.9384,1,5
2141,3,2146,0.9156,1,4
2141,4,2145,0.8848,1,1
2141,5,2511,0.8372,1,2
2142,1,1223,0.8771,1,2
2142,2,2161,0.8698,1,1
2142,3,2146,0.8574,1,4
2142,4,2162,0.8423,1,1
2142,5,2149,0.8354,1,5
2143,1,1223,0.8843,1,2
2143,2,2131,0.825,1,9
2143,3,2161,0.8223,1,1
2143,4,2146,0.8176,1,4
2143,5,2132,0.8097,1,3
2144,1,2149,0.9558,4,5
2144,2,2141,0.941,4,1
2144,3,2146,0.9008,4,4
2144,4,2145,0.9,4,1
2144,5,2152,0.8651,4,2
2145,1,2149,0.9166,1,5
2145,2,2146,0.913,1,4
2145,3,2144,0.9,1,4
2145,4,2141,0.8848,1,1
2145,5,2511,0.8296,1,2
2146,1,2149,0.9382,4,5
2146,2,2141,0.9156,4,1
2146,3,1223,0.9134,4,2
2146,4,2145,0.913,4,1
2146,5,2144,0.9008,4,4
2149,1,2144,0.9558,5,4
2149,2,2141,0.9384,5,1
2149,3,2146,0.9382,5,4
2149,4,2145,0.9166,5,1
2149,5,2152,0.8633,5,2
2151,1,2144,0.8416,1,4
2151,2,2149,0.8228,1,5
2151,3,2146,0.8109,1,4
2151,4,2152,0.7916,1,2
2151,5,1223,0.7836,1,2
2152,1,2153,0.9531,2,1
2152,2,2144,0.8651,2,4
2152,3,2149,0.8633,2,5
2152,4,2523,0.8624,2,1
2152,5,2511,0.8222,2,2
2153,1,2152,0.9531,1,2
2153,2,2523,0.8586,1,1
2153,3,2144,0.8096,1,4
2153,4,2149,0.7928,1,5
2153,5,3514,0.7924,1,2
2161,1,2142,0.8698,1,1
2161,2,2162,0.8696,1,1
2161,3,1223,0.8258,1,2
2161,4,2143,0.8223,1,1
2161,5,2146,0.7898,1,4
2162,1,2161,0.8696,1,1
2162,2,2142,0.8423,1,1
2162,3,1223,0.8142,1,2
2162,4,1112,0.7848,1,3
2162,5,2143,0.7805,1,1
2163,1,3432,0.7299,2,3
2163,2,2162,0.7192,2,1
2163,3,2654,0.6974,2,3
2163,4,2142,0.6754,2,1
2163,5,2161,0.6722,2,1
2164,1,2421,0.8646,1,2
