group,level,group_name,cohort,rank,styrk08,styrk08_name,share,quintile_v1,quintile_v2,automation_chat
301,3,Allmenne fag,all,1,9112,Renholdere i virksomheter,0.1105,1,1,0.46875
301,3,Allmenne fag,all,2,5321,Helsefagarbeidere,0.0853,1,2,0.1875
301,3,Allmenne fag,all,3,5223,Butikkmedarbeidere,0.0778,3,3,0.449861
301,3,Allmenne fag,all,4,5311,Barnehage- og skolefritidsassistenter mv.,0.069,2,3,0.572124
301,3,Allmenne fag,all,5,5329,Andre pleiemedarbeidere,0.0645,3,2,0.278788
301,3,Allmenne fag,all,6,4110,Kontormedarbeidere,0.0385,5,5,0.670689
301,3,Allmenne fag,all,7,9412,Kjøkkenassistenter,0.0305,1,1,0.228
301,3,Allmenne fag,all,8,8331,Bussjåfører og trikkeførere,0.0296,4,2,0.728593
301,3,Allmenne fag,all,9,4321,Lagermedarbeidere og material-forvaltere,0.0265,3,3,0.585239
301,3,Allmenne fag,all,10,8322,"Bil-, drosje- og varebilførere",0.0256,3,2,0.795414
316,3,Bildende kunst og kunsthåndverk,all,1,5223,Butikkmedarbeidere,0.201,3,3,0.449861
316,3,Bildende kunst og kunsthåndverk,all,2,5311,Barnehage- og skolefritidsassistenter mv.,0.1005,2,3,0.572124
316,3,Bildende kunst og kunsthåndverk,all,3,5329,Andre pleiemedarbeidere,0.0946,3,2,0.278788
316,3,Bildende kunst og kunsthåndverk,all,4,4110,Kontormedarbeidere,0.0917,5,5,0.670689
316,3,Bildende kunst og kunsthåndverk,all,5,5321,Helsefagarbeidere,0.0653,1,2,0.1875
316,3,Bildende kunst og kunsthåndverk,all,6,9112,Renholdere i virksomheter,0.0587,1,1,0.46875
316,3,Bildende kunst og kunsthåndverk,all,7,1420,Varehandelssjefer,0.044,4,5,0.431373
316,3,Bildende kunst og kunsthåndverk,all,8,5312,Skoleassistenter,0.0315,3,1,0.412884
316,3,Bildende kunst og kunsthåndverk,all,9,2422,Høyere saksbehandlere i offentlig og privat virksomhet,0.0286,5,5,0.450311
316,3,Bildende kunst og kunsthåndverk,all,10,3322,Selgere (engros),0.0249,5,5,0.398974
341,3,Økonomisk-administrative fag,all,1,4110,Kontormedarbeidere,0.0835,5,5,0.670689
341,3,Økonomisk-administrative fag,all,2,5223,Butikkmedarbeidere,0.0824,3,3,0.449861
341,3,Økonomisk-administrative fag,all,3,2422,Høyere saksbehandlere i offentlig og privat virksomhet,0.0499,5,5,0.450311
341,3,Økonomisk-administrative fag,all,4,3322,Selgere (engros),0.049,5,5,0.398974
341,3,Økonomisk-administrative fag,all,5,1420,Varehandelssjefer,0.0477,4,5,0.431373
341,3,Økonomisk-administrative fag,all,6,4311,Regnskapsmedarbeidere,0.0432,5,5,0.473857
341,3,Økonomisk-administrative fag,all,7,3313,Regnskapsførere,0.0334,5,5,0.535417
341,3,Økonomisk-administrative fag,all,8,5311,Barnehage- og skolefritidsassistenter mv.,0.0318,2,3,0.572124
341,3,Økonomisk-administrative fag,all,9,1120,Administrerende direktører,0.0269,4,5,0.371125
341,3,Økonomisk-administrative fag,all,10,5329,Andre pleiemedarbeidere,0.0265,3,2,0.278788
342,3,Handel og markedsføring,all,1,5223,Butikkmedarbeidere,0.1552,3,3,0.449861
342,3,Handel og markedsføring,all,2,1420,Varehandelssjefer,0.1023,4,5,0.431373
342,3,Handel og markedsføring,all,3,3322,Selgere (engros),0.0794,5,5,0.398974
342,3,Handel og markedsføring,all,4,4110,Kontormedarbeidere,0.0614,5,5,0.670689
342,3,Handel og markedsføring,all,5,5329,Andre pleiemedarbeidere,0.0614,3,2,0.278788
342,3,Handel og markedsføring,all,6,1120,Administrerende direktører,0.0578,4,5,0.371125
342,3,Handel og markedsføring,all,7,5311,Barnehage- og skolefritidsassistenter mv.,0.0542,2,3,0.572124
342,3,Handel og markedsføring,all,8,4311,Regnskapsmedarbeidere,0.0433,5,5,0.473857
342,3,Handel og markedsføring,all,9,5153,Vaktmestre,0.0313,1,1,
342,3,Handel og markedsføring,all,10,2422,Høyere saksbehandlere i offentlig og privat virksomhet,0.0313,5,5,0.450311
343,3,Kontorfag,all,1,4110,Kontormedarbeidere,0.1283,5,5,0.670689
343,3,Kontorfag,all,2,5223,Butikkmedarbeidere,0.1064,3,3,0.449861
343,3,Kontorfag,all,3,2422,Høyere saksbehandlere i offentlig og privat virksomhet,0.0548,5,5,0.450311
343,3,Kontorfag,all,4,5329,Andre pleiemedarbeidere,0.0548,3,2,0.278788
343,3,Kontorfag,all,5,5311,Barnehage- og skolefritidsassistenter mv.,0.0517,2,3,0.572124
343,3,Kontorfag,all,6,4311,Regnskapsmedarbeidere,0.0439,5,5,0.473857
343,3,Kontorfag,all,7,3313,Regnskapsførere,0.0336,5,5,0.535417
343,3,Kontorfag,all,8,3322,Selgere (engros),0.0307,5,5,0.398974
343,3,Kontorfag,all,9,1420,Varehandelssjefer,0.0296,4,5,0.431373
343,3,Kontorfag,all,10,3343,Sjefssekretærer,0.0214,5,4,0.701211
349,3,"Økonomiske og administrative fag, andre",all,1,3312,Kundebehandlere lån og kreditt,0.1871,5,5,0.304565
349,3,"Økonomiske og administrative fag, andre",all,2,4110,Kontormedarbeidere,0.0781,5,5,0.670689
349,3,"Økonomiske og administrative fag, andre",all,3,5223,Butikkmedarbeidere,0.0661,3,3,0.449861
349,3,"Økonomiske og administrative fag, andre",all,4,2412,Finans- og investeringsrådgivere,0.0549,4,5,0.430812
349,3,"Økonomiske og administrative fag, andre",all,5,9112,Renholdere i virksomheter,0.0438,1,1,0.46875
349,3,"Økonomiske og administrative fag, andre",all,6,5329,Andre pleiemedarbeidere,0.0395,3,2,0.278788
349,3,"Økonomiske og administrative fag, andre",all,7,3313,Regnskapsførere,0.0369,5,5,0.535417
349,3,"Økonomiske og administrative fag, andre",all,8,4311,Regnskapsmedarbeidere,0.0361,5,5,0.473857
349,3,"Økonomiske og administrative fag, andre",all,9,2422,Høyere saksbehandlere i offentlig og privat virksomhet,0.0361,5,5,0.450311
349,3,"Økonomiske og administrative fag, andre",all,10,5311,Barnehage- og skolefritidsassistenter mv.,0.03,2,3,0.572124
354,3,Informasjons- og datateknologi,all,1,4110,Kontormedarbeidere,0.1195,5,5,0.670689
354,3,Informasjons- og datateknologi,all,2,2511,Systemanalytikere/-arkitekter,0.07,5,5,0.341622
354,3,Informasjons- og datateknologi,all,3,3322,Selgere (engros),0.0671,5,5,0.398974
354,3,Informasjons- og datateknologi,all,4,2422,Høyere saksbehandlere i offentlig og privat virksomhet,0.0671,5,5,0.450311
354,3,Informasjons- og datateknologi,all,5,5223,Butikkmedarbeidere,0.0583,3,3,0.449861
354,3,Informasjons- og datateknologi,all,6,2519,Andre programvare- og applikasjonsutviklere,0.0466,5,5,0.503293
354,3,Informasjons- og datateknologi,all,7,3511,"Driftsteknikere, IKT",0.0379,5,5,0.53735
354,3,Informasjons- og datateknologi,all,8,1330,Ledere av IKT-enheter,0.0379,5,5,0.357977
354,3,Informasjons- og datateknologi,all,9,4321,Lagermedarbeidere og material-forvaltere,0.0379,3,3,0.585239
354,3,Informasjons- og datateknologi,all,10,1420,Varehandelssjefer,0.0321,4,5,0.431373
355,3,"Utdanninger i elektrofag, mekaniske fag og maskinfag",all,1,8332,Lastebil- og trailersjåfører,0.0562,3,3,0.703704
355,3,"Utdanninger i elektrofag, mekaniske fag og maskinfag",all,2,3322,Selgere (engros),0.05,5,5,0.398974
355,3,"Utdanninger i elektrofag, mekaniske fag og maskinfag",all,3,5223,Butikkmedarbeidere,0.048,3,3,0.449861
355,3,"Utdanninger i elektrofag, mekaniske fag og maskinfag",all,4,5153,Vaktmestre,0.0431,1,1,
355,3,"Utdanninger i elektrofag, mekaniske fag og maskinfag",all,5,4321,Lagermedarbeidere og material-forvaltere,0.0389,3,3,0.585239
355,3,"Utdanninger i elektrofag, mekaniske fag og maskinfag",all,6,7233,Anleggsmaskin- og industrimekanikere,0.0344,2,2,0.596919
355,3,"Utdanninger i elektrofag, mekaniske fag og maskinfag",all,7,1120,Administrerende direktører,0.0332,4,5,0.371125
355,3,"Utdanninger i elektrofag, mekaniske fag og maskinfag",all,8,8331,Bussjåfører og trikkeførere,0.0279,4,2,0.728593
355,3,"Utdanninger i elektrofag, mekaniske fag og maskinfag",all,9,1420,Varehandelssjefer,0.0258,4,5,0.431373
355,3,"Utdanninger i elektrofag, mekaniske fag og maskinfag",all,10,3119,Andre ingeniører,0.0256,3,3,0.505172
357,3,Bygg- og anleggsfag,all,1,7115,Tømrere og snekkere,0.0781,2,2,
357,3,Bygg- og anleggsfag,all,2,5153,Vaktmestre,0.0515,1,1,
357,3,Bygg- og anleggsfag,all,3,3322,Selgere (engros),0.0501,5,5,0.398974
357,3,Bygg- og anleggsfag,all,4,5223,Butikkmedarbeidere,0.0481,3,3,0.449861
357,3,Bygg- og anleggsfag,all,5,8332,Lastebil- og trailersjåfører,0.0469,3,3,0.703704
357,3,Bygg- og anleggsfag,all,6,4321,Lagermedarbeidere og material-forvaltere,0.0379,3,3,0.585239
357,3,Bygg- og anleggsfag,all,7,8342,Anleggsmaskinførere,0.0368,1,1,
357,3,Bygg- og anleggsfag,all,8,1323,Ledere av bygge- og anleggsvirksomhet,0.032,4,3,0.344482
357,3,Bygg- og anleggsfag,all,9,7126,Rørleggere og VVS-montører,0.0286,1,1,0.559557
357,3,Bygg- og anleggsfag,all,10,1120,Administrerende direktører,0.028,4,5,0.371125
358,3,Fabrikasjon og utvinning,all,1,5223,Butikkmedarbeidere,0.1061,3,3,0.449861
358,3,Fabrikasjon og utvinning,all,2,5120,Kokker,0.0937,2,2,0.325445
358,3,Fabrikasjon og utvinning,all,3,5311,Barnehage- og skolefritidsassistenter mv.,0.0564,2,3,0.572124
358,3,Fabrikasjon og utvinning,all,4,3322,Selgere (engros),0.0444,5,5,0.398974
358,3,Fabrikasjon og utvinning,all,5,9112,Renholdere i virksomheter,0.0439,1,1,0.46875
358,3,Fabrikasjon og utvinning,all,6,5329,Andre pleiemedarbeidere,0.0431,3,2,0.278788
358,3,Fabrikasjon og utvinning,all,7,1420,Varehandelssjefer,0.0386,4,5,0.431373
358,3,Fabrikasjon og utvinning,all,8,9412,Kjøkkenassistenter,0.0346,1,1,0.228
358,3,Fabrikasjon og utvinning,all,9,7115,Tømrere og snekkere,0.0342,2,2,
358,3,Fabrikasjon og utvinning,all,10,4110,Kontormedarbeidere,0.0311,5,5,0.670689
359,3,"Naturvitenskapelige fag, håndverksfag og tekniske fag, andre",all,1,7115,Tømrere og snekkere,0.0774,2,2,
359,3,"Naturvitenskapelige fag, håndverksfag og tekniske fag, andre",all,2,9112,Renholdere i virksomheter,0.0561,1,1,0.46875
359,3,"Naturvitenskapelige fag, håndverksfag og tekniske fag, andre",all,3,5223,Butikkmedarbeidere,0.0392,3,3,0.449861
359,3,"Naturvitenskapelige fag, håndverksfag og tekniske fag, andre",all,4,5153,Vaktmestre,0.0373,1,1,
359,3,"Naturvitenskapelige fag, håndverksfag og tekniske fag, andre",all,5,7126,Rørleggere og VVS-montører,0.0324,1,1,0.559557
359,3,"Naturvitenskapelige fag, håndverksfag og tekniske fag, andre",all,6,8331,Bussjåfører og trikkeførere,0.0319,4,2,0.728593
359,3,"Naturvitenskapelige fag, håndverksfag og tekniske fag, andre",all,7,1120,Administrerende direktører,0.03,4,5,0.371125
359,3,"Naturvitenskapelige fag, håndverksfag og tekniske fag, andre",all,8,8332,Lastebil- og trailersjåfører,0.0257,3,3,0.703704
359,3,"Naturvitenskapelige fag, håndverksfag og tekniske fag, andre",all,9,7233,Anleggsmaskin- og industrimekanikere,0.0242,2,2,0.596919
359,3,"Naturvitenskapelige fag, håndverksfag og tekniske fag, andre",all,10,4321,Lagermedarbeidere og material-forvaltere,0.0242,3,3,0.585239
361,3,Pleie- og omsorgsfag,all,1,5321,Helsefagarbeidere,0.6962,1,2,0.1875
361,3,Pleie- og omsorgsfag,all,2,5311,Barnehage- og skolefritidsassistenter mv.,0.0555,2,3,0.572124
361,3,Pleie- og omsorgsfag,all,3,4110,Kontormedarbeidere,0.0302,5,5,0.670689
361,3,Pleie- og omsorgsfag,all,4,5329,Andre pleiemedarbeidere,0.0273,3,2,0.278788
361,3,Pleie- og omsorgsfag,all,5,5223,Butikkmedarbeidere,0.026,3,3,0.449861
361,3,Pleie- og omsorgsfag,all,6,9112,Renholdere i virksomheter,0.0148,1,1,0.46875
361,3,Pleie- og omsorgsfag,all,7,2422,Høyere saksbehandlere i offentlig og privat virksomhet,0.0145,5,5,0.450311
361,3,Pleie- og omsorgsfag,all,8,5322,Hjemmehjelper,0.0109,1,3,0.344326
361,3,Pleie- og omsorgsfag,all,9,5312,Skoleassistenter,0.0099,3,1,0.412884
361,3,Pleie- og omsorgsfag,all,10,1420,Varehandelssjefer,0.0083,4,5,0.431373
362,3,Sosialfag,all,1,5311,Barnehage- og skolefritidsassistenter mv.,0.5346,2,3,0.572124
362,3,Sosialfag,all,2,5223,Butikkmedarbeidere,0.0619,3,3,0.449861
362,3,Sosialfag,all,3,5321,Helsefagarbeidere,0.0545,1,2,0.1875
362,3,Sosialfag,all,4,5329,Andre pleiemedarbeidere,0.0487,3,2,0.278788
362,3,Sosialfag,all,5,9112,Renholdere i virksomheter,0.0386,1,1,0.46875
362,3,Sosialfag,all,6,4110,Kontormedarbeidere,0.036,5,5,0.670689
362,3,Sosialfag,all,7,5312,Skoleassistenter,0.0227,3,1,0.412884
362,3,Sosialfag,all,8,1420,Varehandelssjefer,0.0159,4,5,0.431373
362,3,Sosialfag,all,9,9412,Kjøkkenassistenter,0.0159,1,1,0.228
362,3,Sosialfag,all,10,2342,Førskolelærere,0.0153,2,2,0.457528
368,3,Idrettsfag,all,1,5223,Butikkmedarbeidere,0.0846,3,3,0.449861
368,3,Idrettsfag,all,2,1420,Varehandelssjefer,0.0796,4,5,0.431373
368,3,Idrettsfag,all,3,3322,Selgere (engros),0.0647,5,5,0.398974
368,3,Idrettsfag,all,4,4110,Kontormedarbeidere,0.0647,5,5,0.670689
368,3,Idrettsfag,all,5,1120,Administrerende direktører,0.0547,4,5,0.371125
368,3,Idrettsfag,all,6,4321,Lagermedarbeidere og material-forvaltere,0.0431,3,3,0.585239
368,3,Idrettsfag,all,7,5311,Barnehage- og skolefritidsassistenter mv.,0.0415,2,3,0.572124
368,3,Idrettsfag,all,8,1221,Salgs- og markedssjefer,0.0348,4,5,0.422801
368,3,Idrettsfag,all,9,2422,Høyere saksbehandlere i offentlig og privat virksomhet,0.0348,5,5,0.450311
368,3,Idrettsfag,all,10,8332,Lastebil- og trailersjåfører,0.0282,3,3,0.703704
369,3,"Helse-, sosial- og idrettsfag, andre",all,1,5321,Helsefagarbeidere,0.1338,1,2,0.1875
369,3,"Helse-, sosial- og idrettsfag, andre",all,2,5329,Andre pleiemedarbeidere,0.1221,3,2,0.278788
369,3,"Helse-, sosial- og idrettsfag, andre",all,3,5311,Barnehage- og skolefritidsassistenter mv.,0.1202,2,3,0.572124
369,3,"Helse-, sosial- og idrettsfag, andre",all,4,5223,Butikkmedarbeidere,0.1178,3,3,0.449861
369,3,"Helse-, sosial- og idrettsfag, andre",all,5,4110,Kontormedarbeidere,0.0848,5,5,0.670689
369,3,"Helse-, sosial- og idrettsfag, andre",all,6,9112,Renholdere i virksomheter,0.0617,1,1,0.46875
369,3,"Helse-, sosial- og idrettsfag, andre",all,7,3256,Helsesekretærer,0.0396,3,2,0.231527
369,3,"Helse-, sosial- og idrettsfag, andre",all,8,5322,Hjemmehjelper,0.0316,1,3,0.344326
369,3,"Helse-, sosial- og idrettsfag, andre",all,9,2422,Høyere saksbehandlere i offentlig og privat virksomhet,0.0316,5,5,0.450311
369,3,"Helse-, sosial- og idrettsfag, andre",all,10,1420,Varehandelssjefer,0.025,4,5,0.431373
373,3,Gartneri og hagebruk,all,1,6113,Gartnere,0.287,2,2,0.777533
373,3,Gartneri og hagebruk,all,2,5223,Butikkmedarbeidere,0.0826,3,3,0.449861
373,3,Gartneri og hagebruk,all,3,5311,Barnehage- og skolefritidsassistenter mv.,0.0783,2,3,0.572124
373,3,Gartneri og hagebruk,all,4,1420,Varehandelssjefer,0.0696,4,5,0.431373
373,3,Gartneri og hagebruk,all,5,5153,Vaktmestre,0.0565,1,1,
373,3,Gartneri og hagebruk,all,6,1120,Administrerende direktører,0.0435,4,5,0.371125
373,3,Gartneri og hagebruk,all,7,3322,Selgere (engros),0.0348,5,5,0.398974
373,3,Gartneri og hagebruk,all,8,5329,Andre pleiemedarbeidere,0.0304,3,2,0.278788
373,3,Gartneri og hagebruk,all,9,8331,Bussjåfører og trikkeførere,0.0261,4,2,0.728593
373,3,Gartneri og hagebruk,all,10,8332,Lastebil- og trailersjåfører,0.0261,3,3,0.703704
379,3,"Primærnæringsfag, andre",all,1,8332,Lastebil- og trailersjåfører,0.072,3,3,0.703704
379,3,"Primærnæringsfag, andre",all,2,8342,Anleggsmaskinførere,0.0512,1,1,
379,3,"Primærnæringsfag, andre",all,3,6130,Plante- og husdyrprodusenter (kombinasjonsbruk),0.0497,2,2,0.0
379,3,"Primærnæringsfag, andre",all,4,5153,Vaktmestre,0.0479,1,1,
379,3,"Primærnæringsfag, andre",all,5,5223,Butikkmedarbeidere,0.0476,3,3,0.449861
379,3,"Primærnæringsfag, andre",all,6,6121,Melke- og husdyrprodusenter,0.036,2,2,0.0
379,3,"Primærnæringsfag, andre",all,7,8331,Bussjåfører og trikkeførere,0.036,4,2,0.728593
379,3,"Primærnæringsfag, andre",all,8,5329,Andre pleiemedarbeidere,0.0277,3,2,0.278788
379,3,"Primærnæringsfag, andre",all,9,5311,Barnehage- og skolefritidsassistenter mv.,0.0238,2,3,0.572124
379,3,"Primærnæringsfag, andre",all,10,1120,Administrerende direktører,0.0234,4,5,0.371125
381,3,Samferdsel,all,1,8311,Lokomotiv og T-baneførere,0.0952,3,2,0.788889
381,3,Samferdsel,all,2,5223,Butikkmedarbeidere,0.0672,3,3,0.449861
381,3,Samferdsel,all,3,8332,Lastebil- og trailersjåfører,0.056,3,3,0.703704
381,3,Samferdsel,all,4,5329,Andre pleiemedarbeidere,0.056,3,2,0.278788
381,3,Samferdsel,all,5,3152,Dekksoffiserer og loser,0.0476,3,3,1.0
381,3,Samferdsel,all,6,1324,Ledere av logistikk og transport mv.,0.0448,4,4,0.411458
381,3,Samferdsel,all,7,3322,Selgere (engros),0.0448,5,5,0.398974
381,3,Samferdsel,all,8,4321,Lagermedarbeidere og material-forvaltere,0.042,3,3,0.585239
381,3,Samferdsel,all,9,5153,Vaktmestre,0.042,1,1,
381,3,Samferdsel,all,10,4110,Kontormedarbeidere,0.042,5,5,0.670689
382,3,Sikkerhet,all,1,5413,Fengselsbetjenter,0.5714,3,2,0.3878
382,3,Sikkerhet,all,2,1219,Andre administrative ledere,0.0857,4,4,0.47783
382,3,Sikkerhet,all,3,8331,Bussjåfører og trikkeførere,0.0857,4,2,0.728593
382,3,Sikkerhet,all,4,2422,Høyere saksbehandlere i offentlig og privat virksomhet,0.0762,5,5,0.450311
382,3,Sikkerhet,all,5,5321,Helsefagarbeidere,0.0381,1,2,0.1875
382,3,Sikkerhet,all,6,3322,Selgere (engros),0.0286,5,5,0.398974
382,3,Sikkerhet,all,7,1349,Andre ledere av produksjon og tjenesteyting,0.0286,4,4,0.4435
382,3,Sikkerhet,all,8,2224,Vernepleiere,0.0286,3,3,0.256002
382,3,Sikkerhet,all,9,2635,Rådgivere innen sosiale fagfelt,0.0286,3,3,0.188929
382,3,Sikkerhet,all,10,4110,Kontormedarbeidere,0.0286,5,5,0.670689
383,3,Andre servicefag,all,1,5223,Butikkmedarbeidere,0.1886,3,3,0.449861
383,3,Andre servicefag,all,2,5311,Barnehage- og skolefritidsassistenter mv.,0.1052,2,3,0.572124
383,3,Andre servicefag,all,3,9112,Renholdere i virksomheter,0.0835,1,1,0.46875
383,3,Andre servicefag,all,4,5329,Andre pleiemedarbeidere,0.0684,3,2,0.278788
383,3,Andre servicefag,all,5,4110,Kontormedarbeidere,0.0668,5,5,0.670689
383,3,Andre servicefag,all,6,1420,Varehandelssjefer,0.0634,4,5,0.431373
383,3,Andre servicefag,all,7,5141,Frisører,0.0384,2,3,0.464395
383,3,Andre servicefag,all,8,5322,Hjemmehjelper,0.0367,1,3,0.344326
383,3,Andre servicefag,all,9,5142,Kosmetologer mv.,0.0334,2,3,0.400047
383,3,Andre servicefag,all,10,3322,Selgere (engros),0.0301,5,5,0.398974
389,3,"Samferdsels- og sikkerhetsfag og andre servicefag, andre",all,1,9112,Renholdere i virksomheter,0.1901,1,1,0.46875
389,3,"Samferdsels- og sikkerhetsfag og andre servicefag, andre",all,2,5223,Butikkmedarbeidere,0.0885,3,3,0.449861
389,3,"Samferdsels- og sikkerhetsfag og andre servicefag, andre",all,3,5120,Kokker,0.0521,2,2,0.325445
389,3,"Samferdsels- og sikkerhetsfag og andre servicefag, andre",all,4,8160,Operatører innen næringsmiddelproduksjon,0.0469,1,1,0.278481
389,3,"Samferdsels- og sikkerhetsfag og andre servicefag, andre",all,5,8332,Lastebil- og trailersjåfører,0.0469,3,3,0.703704
389,3,"Samferdsels- og sikkerhetsfag og andre servicefag, andre",all,6,8331,Bussjåfører og trikkeførere,0.0443,4,2,0.728593
389,3,"Samferdsels- og sikkerhetsfag og andre servicefag, andre",all,7,5131,Servitører,0.0365,2,1,0.572016
389,3,"Samferdsels- og sikkerhetsfag og andre servicefag, andre",all,8,5141,Frisører,0.0339,2,3,0.464395
389,3,"Samferdsels- og sikkerhetsfag og andre servicefag, andre",all,9,9412,Kjøkkenassistenter,0.0312,1,1,0.228
389,3,"Samferdsels- og sikkerhetsfag og andre servicefag, andre",all,10,5329,Andre pleiemedarbeidere,0.0286,3,2,0.278788
399,3,Uoppgitt faggruppe,all,1,9112,Renholdere i virksomheter,0.1808,1,1,0.46875
399,3,Uoppgitt faggruppe,all,2,7115,Tømrere og snekkere,0.0715,2,2,
399,3,Uoppgitt faggruppe,all,3,8160,Operatører innen næringsmiddelproduksjon,0.0559,1,1,0.278481
399,3,Uoppgitt faggruppe,all,4,9412,Kjøkkenassistenter,0.0481,1,1,0.228
399,3,Uoppgitt faggruppe,all,5,5223,Butikkmedarbeidere,0.0351,3,3,0.449861
399,3,Uoppgitt faggruppe,all,6,7131,Malere og byggtapetserere,0.0312,1,1,
399,3,Uoppgitt faggruppe,all,7,5120,Kokker,0.0286,2,2,0.325445
399,3,Uoppgitt faggruppe,all,8,7114,Betongarbeidere,0.0286,1,1,0.0
399,3,Uoppgitt faggruppe,all,9,8331,Bussjåfører og trikkeførere,0.0273,4,2,0.728593
399,3,Uoppgitt faggruppe,all,10,7112,Murere,0.026,1,1,
401,4,Allmenne fag,all,1,5223,Butikkmedarbeidere,0.1347,3,3,0.449861
401,4,Allmenne fag,all,2,5329,Andre pleiemedarbeidere,0.0704,3,2,0.278788
401,4,Allmenne fag,all,3,5311,Barnehage- og skolefritidsassistenter mv.,0.0468,2,3,0.572124
401,4,Allmenne fag,all,4,4110,Kontormedarbeidere,0.0379,5,5,0.670689
401,4,Allmenne fag,all,5,1420,Varehandelssjefer,0.0296,4,5,0.431373
401,4,Allmenne fag,all,6,3322,Selgere (engros),0.0294,5,5,0.398974
401,4,Allmenne fag,all,7,0310,Menige,0.0274,,3,
401,4,Allmenne fag,all,8,5321,Helsefagarbeidere,0.0239,1,2,0.1875
401,4,Allmenne fag,all,9,4321,Lagermedarbeidere og material-forvaltere,0.0237,3,3,0.585239
401,4,Allmenne fag,all,10,2422,Høyere saksbehandlere i offentlig og privat virksomhet,0.0205,5,5,0.450311
401,4,Allmenne fag,recent,1,5223,Butikkmedarbeidere,0.204,3,3,0.449861
401,4,Allmenne fag,recent,2,5329,Andre pleiemedarbeidere,0.1311,3,2,0.278788
401,4,Allmenne fag,recent,3,5311,Barnehage- og skolefritidsassistenter mv.,0.0602,2,3,0.572124
401,4,Allmenne fag,recent,4,0310,Menige,0.0375,,3,
401,4,Allmenne fag,recent,5,4321,Lagermedarbeidere og material-forvaltere,0.0347,3,3,0.585239
401,4,Allmenne fag,recent,6,5131,Servitører,0.0297,2,1,0.572016
401,4,Allmenne fag,recent,7,5321,Helsefagarbeidere,0.0262,1,2,0.1875
401,4,Allmenne fag,recent,8,4110,Kontormedarbeidere,0.0226,5,5,0.670689
401,4,Allmenne fag,recent,9,5322,Hjemmehjelper,0.0215,1,3,0.344326
401,4,Allmenne fag,recent,10,5414,Vektere,0.0212,3,2,1.0
412,4,Litteratur- og bibliotekutdanninger,all,1,2641,Forfattere mv.,0.1803,5,5,0.355238
412,4,Litteratur- og bibliotekutdanninger,all,2,2431,Reklame- og markedsføringsrådgivere,0.1803,5,5,0.461735
412,4,Litteratur- og bibliotekutdanninger,all,3,1222,PR- og informasjonssjefer,0.0902,4,5,0.358315
412,4,Litteratur- og bibliotekutdanninger,all,4,2432,Informasjonsrådgivere,0.0738,5,5,0.304988
412,4,Litteratur- og bibliotekutdanninger,all,5,2413,Finansanalytikere,0.0656,4,5,0.393998
412,4,Litteratur- og bibliotekutdanninger,all,6,2422,Høyere saksbehandlere i offentlig og privat virksomhet,0.0574,5,5,0.450311
412,4,Litteratur- og bibliotekutdanninger,all,7,2642,Journalister,0.0492,5,5,0.365885
412,4,Litteratur- og bibliotekutdanninger,all,8,4110,Kontormedarbeidere,0.0492,5,5,0.670689
412,4,Litteratur- og bibliotekutdanninger,all,9,1221,Salgs- og markedssjefer,0.041,4,5,0.422801
412,4,Litteratur- og bibliotekutdanninger,all,10,2511,Systemanalytikere/-arkitekter,0.0328,5,5,0.341622
415,4,"Musikk, dans og drama",all,1,5223,Butikkmedarbeidere,0.1887,3,3,0.449861
415,4,"Musikk, dans og drama",all,2,5311,Barnehage- og skolefritidsassistenter mv.,0.0737,2,3,0.572124
415,4,"Musikk, dans og drama",all,3,5329,Andre pleiemedarbeidere,0.0594,3,2,0.278788
415,4,"Musikk, dans og drama",all,4,5131,Servitører,0.0416,2,1,0.572016
415,4,"Musikk, dans og drama",all,5,5132,Bartendere,0.0346,2,1,0.449153
415,4,"Musikk, dans og drama",all,6,0310,Menige,0.033,,3,
415,4,"Musikk, dans og drama",all,7,4110,Kontormedarbeidere,0.029,5,5,0.670689
415,4,"Musikk, dans og drama",all,8,3322,Selgere (engros),0.0233,5,5,0.398974
415,4,"Musikk, dans og drama",all,9,1420,Varehandelssjefer,0.0206,4,5,0.431373
415,4,"Musikk, dans og drama",all,10,5322,Hjemmehjelper,0.0185,1,3,0.344326
415,4,"Musikk, dans og drama",recent,1,5223,Butikkmedarbeidere,0.2688,3,3,0.449861
415,4,"Musikk, dans og drama",recent,2,5311,Barnehage- og skolefritidsassistenter mv.,0.0934,2,3,0.572124
415,4,"Musikk, dans og drama",recent,3,5329,Andre pleiemedarbeidere,0.0855,3,2,0.278788
415,4,"Musikk, dans og drama",recent,4,5131,Servitører,0.0754,2,1,0.572016
415,4,"Musikk, dans og drama",recent,5,5132,Bartendere,0.0641,2,1,0.449153
415,4,"Musikk, dans og drama",recent,6,5322,Hjemmehjelper,0.0382,1,3,0.344326
415,4,"Musikk, dans og drama",recent,7,0310,Menige,0.0292,,3,
415,4,"Musikk, dans og drama",recent,8,5246,Gatekjøkken- og kafémedarbeidere mv.,0.0259,1,1,0.370468
415,4,"Musikk, dans og drama",recent,9,3322,Selgere (engros),0.0225,5,5,0.398974
415,4,"Musikk, dans og drama",recent,10,4110,Kontormedarbeidere,0.0202,5,5,0.670689
416,4,Bildende kunst og kunsthåndverk,all,1,5223,Butikkmedarbeidere,0.2155,3,3,0.449861
416,4,Bildende kunst og kunsthåndverk,all,2,1420,Varehandelssjefer,0.069,4,5,0.431373
