inst,inst_short,inst_name,year,prog,prog_name,nus,nus_name,niva,niva_name,level,field,studium,graduates,students_autumn,profile_source,register_population,exposure_w,share_employed,share_i_utdanning,handa_augmentation_w,handa_automation_w,exposure_w_recent,share_top5_v1,exposure2_w,share_top5_v2,top_occupations,share_q1_v1,share_q1_v2,share_q2_v1,share_q2_v2,share_q3_v1,share_q3_v2,share_q4_v1,share_q4_v2,share_q5_v1,share_q5_v2
1176,USN,Universitetet i Sørøst-Norge,2025,MPEDHEL,Master i pedagogikk,724115,"Master, pedagogikk, toårig",M2,"Master, 2-årig",Master-nivå,Lærerutdanninger og pedagogikk,Pedagogiske fag,86.000000,198.000000,nus6,3740,0.429743,0.924064,0.006417,0.652216,0.338916,0.432119,0.184028,0.432457,0.225704,Grunnskolelærere (20%); Høyere saksbehandlere i offentlig og privat virksomhet (13%); Psykologer (11%); Universitets- og høyskolelektorer/-lærere (8%); Lektorer mv. (videregående skole) (7%),0.008681,0.002031,0.057870,0.058021,0.412326,0.418915,0.337095,0.295329,0.184028,0.225704
1176,USN,Universitetet i Sørøst-Norge,2025,060,Bachelor i vernepleie,661305,"Bachelor, vernepleie, treårig",B3,"Bachelor, 3-årig",Bachelor-nivå,"Helse-, sosial- og idrettsfag",Vernepleierutdanning,76.000000,236.000000,nus6,14137,0.366710,0.898988,0.006932,0.721110,0.256770,0.360892,0.049193,0.316542,0.062057,Vernepleiere (71%); Miljøarbeidere innen sosiale fagfelt (3%); Høyere saksbehandlere i offentlig og privat virksomhet (3%); Ledere av helsetjenester (3%); Rådgivere innen sosiale fagfelt (3%),0.031641,0.007403,0.032428,0.043865,0.813144,0.820680,0.073593,0.065995,0.049193,0.062057
1176,USN,Universitetet i Sørøst-Norge,2025,BACHOPTO,Bachelor i optometri,655304,"Bachelor, optikk, treårig",B3,"Bachelor, 3-årig",Bachelor-nivå,"Naturvitenskap, håndverk og teknikk",Helsefag,66.000000,237.000000,nus6,891,0.325921,0.927048,0.008979,0.646989,0.299338,0.308528,0.061743,0.283188,0.098063,Optikere (79%); Butikkmedarbeidere (7%); Varehandelssjefer (3%); Selgere (engros) (2%); Høyere saksbehandlere i offentlig og privat virksomhet (2%),0.003632,0.003632,0.004843,0.016949,0.880145,0.868039,0.049637,0.013317,0.061743,0.098063
1176,USN,Universitetet i Sørøst-Norge,2025,070,Bachelor i barnevern,662117,"Bachelor, barnevern, treårig",B3,"Bachelor, 3-årig",Bachelor-nivå,"Helse-, sosial- og idrettsfag",Barnevernpedagogutdanning,56.000000,236.000000,nus6,9291,0.329449,0.890539,0.014207,0.716886,0.198637,0.309638,0.101500,0.331329,0.115617,Rådgivere innen sosiale fagfelt (36%); Miljøarbeidere innen sosiale fagfelt (12%); Vernepleiere (10%); Barnehage- og skolefritidsassistenter mv. (9%); Høyere saksbehandlere i offentlig og privat virksomhet (6%),0.057101,0.008959,0.119768,0.100605,0.657392,0.715375,0.064239,0.059443,0.101500,0.115617
1176,USN,Universitetet i Sørøst-Norge,2025,MASKLHE-D,Master i klinisk helsearbeid,761905,"Master, klinisk helsearbeid, toårig",ME,"Master, erfaringsbasert, 1,5-2 år",Master-nivå,"Helse-, sosial- og idrettsfag",Helsefag,56.000000,113.000000,nus6,443,0.435459,0.907449,0.000000,0.698396,0.276728,0.431066,0.156716,0.431058,0.184080,Spesialsykepleiere (21%); Universitets- og høyskolelektorer/-lærere (14%); Høyere saksbehandlere i offentlig og privat virksomhet (11%); Sykepleiere (8%); Ledere av helsetjenester (8%),0.000000,0.000000,0.022388,0.000000,0.512438,0.534826,0.308458,0.281095,0.156716,0.184080
1176,USN,Universitetet i Sørøst-Norge,2025,ING2,"Bachelor i ingeniørfag, dataingeniør",654122,"Bachelor, ingeniørfag, data, treårig",B3,"Bachelor, 3-årig",Bachelor-nivå,"Naturvitenskap, håndverk og teknikk",Ingeniørutdanning,54.000000,350.000000,nus6,5544,0.604366,0.900794,0.034271,0.730307,0.248273,0.637616,0.734831,0.680132,0.728980,"Systemanalytikere/-arkitekter (23%); Andre programvare- og applikasjonsutviklere (16%); Driftsteknikere, IKT (10%); Elektronikkingeniører (7%); Programvareutviklere (6%)",0.009602,0.010408,0.014096,0.019388,0.088253,0.076327,0.153218,0.164898,0.734831,0.728980
1176,USN,Universitetet i Sørøst-Norge,2025,ING3,"Bachelor i ingeniørfag, elektroingeniør",655106,"Bachelor, ingeniørfag, elektro, treårig",B3,"Bachelor, 3-årig",Bachelor-nivå,"Naturvitenskap, håndverk og teknikk",Ingeniørutdanning,54.000000,271.000000,nus6,7646,0.442584,0.937222,0.016348,0.641508,0.299712,0.426932,0.228759,0.434359,0.171533,"Elektronikkingeniører (18%); Andre ingeniører (11%); Elkraftingeniører (9%); Sivilingeniører (bygg og anlegg) (4%); Ingeniører innen petroleum, bergverk og metallurgi (4%)",0.019270,0.014745,0.048175,0.061168,0.303504,0.270657,0.400292,0.481898,0.228759,0.171533
1176,USN,Universitetet i Sørøst-Norge,2025,MSH,Master i Samfunn og helse,769999,"Helse-, sosial- og idrettsfag, andre, uspesifiserte, høyere nivå",M2,"Master, 2-årig",Master-nivå,"Helse-, sosial- og idrettsfag",Helsefag,51.000000,372.000000,nus6,4637,0.317675,0.681044,0.017037,0.609341,0.257235,0.268488,0.092780,0.288882,0.100792,Helsefagarbeidere (14%); Sykepleiere (9%); Reseptarer (7%); Andre pleiemedarbeidere (5%); Spesialsykepleiere (5%),0.221976,0.090650,0.111463,0.249445,0.371754,0.394612,0.202027,0.164501,0.092780,0.100792
1176,USN,Universitetet i Sørøst-Norge,2025,ITLED,Bachelor i IT og ledelse,654137,,B3,"Bachelor, 3-årig",Bachelor-nivå,"Naturvitenskap, håndverk og teknikk",Matematisk-naturvitenskapelige fag,50.000000,209.000000,nus4 (no cell),34512,0.589074,0.843504,0.067049,0.715417,0.258327,0.644430,0.711250,0.666325,0.737320,"Systemanalytikere/-arkitekter (20%); Andre programvare- og applikasjonsutviklere (14%); Driftsteknikere, IKT (9%); Programvareutviklere (5%); Høyere saksbehandlere i offentlig og privat virksomhet (5%)",0.018974,0.023083,0.020112,0.027672,0.098527,0.086536,0.151137,0.125388,0.711250,0.737320
1176,USN,Universitetet i Sørøst-Norge,2025,ING6,"Bachelor i ingeniørfag, maskiningeniør",655213,"Bachelor, ingeniørfag, maskin, treårig",B3,"Bachelor, 3-årig",Bachelor-nivå,"Naturvitenskap, håndverk og teknikk",Ingeniørutdanning,48.000000,218.000000,nus6,5141,0.415328,0.926084,0.020035,0.616184,0.300753,0.399990,0.150139,0.423238,0.128702,"Andre ingeniører (12%); Maskiningeniører (11%); Ingeniører innen petroleum, bergverk og metallurgi (10%); Sivilingeniører (geofag, petro-leumsteknologi, metallurgi mv.) (7%); Sivilingeniører (bygg og anlegg) (6%)",0.038174,0.031110,0.026445,0.035159,0.377906,0.292137,0.407336,0.512892,0.150139,0.128702
