group_type,group,n_codes,n_total,n_employed,share_employed,exposure_w,share_E3,share_top5_v1,exposure2_w,share2_E3,share_top5_v2,handa_augmentation_w,handa_automation_w,mouchel_grounded_w
nus4,"4169 | Bildende kunst og kunsthåndverk, andre",6,7367,4625,0.627800,0.344608,0.026454,0.169873,0.349230,0.061092,0.268198,0.643624,0.296942,0.310868
nus4,"4199 | Humanistiske og estetiske fag, andre",1,2361,1402,0.593816,0.304268,0.036377,0.177603,0.307305,0.083035,0.258411,0.549615,0.328227,0.272644
nus4,"4231 | Humaniora og estetikk, lærerutdanninger",1,61,32,0.524590,0.279272,0.000000,0.125000,0.269556,0.000000,0.125000,0.534846,0.301092,0.239153
nus4,"4237 | Samferdsel, tjenesteyting og sikkerhet, lærerutdanninger",1,36,25,0.694444,0.393375,0.000000,0.120000,0.381516,0.120000,0.120000,0.604415,0.395585,0.338484
nus4,"4239 | Fag- og yrkesfaglærerutdanninger, andre",1,18,7,0.388889,0.019825,0.000000,0.000000,0.006881,0.000000,0.000000,0.500000,0.500000,0.006105
nus4,"4299 | Lærerutdanninger og utdanninger i pedagogikk, andre",1,819,476,0.581197,0.223236,0.014706,0.054622,0.208744,0.027311,0.096639,0.561699,0.343476,0.185199
nus4,4351 | Media og kommunikasjon,2,8510,5562,0.653584,0.347263,0.039274,0.188517,0.334806,0.079100,0.211901,0.597874,0.318832,0.298676
nus4,"4359 | Medie- og informasjonsfag, andre",3,122,52,0.426230,0.505344,0.057692,0.461538,0.527298,0.270833,0.500000,0.560858,0.439142,0.470063
nus4,"4399 | Samfunnsfag og juridiske fag, andre",1,540,302,0.559259,0.304348,0.000000,0.152318,0.290746,0.043046,0.225166,0.570402,0.313015,0.257952
nus4,4411 | Økonomisk-administrative fag,6,34383,27130,0.789053,0.485721,0.115954,0.429420,0.519039,0.267181,0.571719,0.604247,0.323187,0.460475
nus4,4421 | Handel,4,13539,11523,0.851097,0.395406,0.018784,0.164188,0.400322,0.040455,0.310878,0.645143,0.297417,0.355187
nus4,4422 | Markedsføring,2,1480,1114,0.752703,0.510861,0.071813,0.440754,0.570012,0.228905,0.695691,0.625934,0.304492,0.505719
nus4,"4429 | Handel og markedsføring, andre",2,64,21,0.328125,0.250558,0.000000,0.142857,0.256123,0.142857,0.142857,0.527318,0.329825,0.227234
nus4,4432 | Kontorfag,2,8120,6620,0.815271,0.518339,0.089657,0.604345,0.543663,0.243906,0.615140,0.560524,0.397034,0.482326
nus4,4441 | Reiselivsfag,3,7059,5567,0.788639,0.482106,0.097052,0.490115,0.514628,0.195210,0.565280,0.600438,0.330450,0.456582
nus4,4442 | Hotell- og restaurantfag,3,183,111,0.606557,0.329379,0.000000,0.054054,0.333854,0.054054,0.243243,0.525561,0.293357,0.296198
