group_type,group,n_codes,n_total,n_employed,share_employed,exposure_w,share_E3,share_top5_v1,exposure2_w,share2_E3,share_top5_v2,handa_augmentation_w,handa_automation_w,mouchel_grounded_w
nus4,5731 | Gartneri og hagebruk,8,99,77,0.777778,0.179415,0.000000,0.038961,0.150860,0.038961,0.038961,0.718917,0.242122,0.133844
nus4,"5799 | Primærnæringsfag, andre",10,270,87,0.322222,0.209603,0.000000,0.068966,0.167412,0.000000,0.068966,0.432527,0.162649,0.148529
nus4,5811 | Jernbanetrafikkfag,3,1060,1042,0.983019,0.289272,0.000000,0.013436,0.131972,0.013436,0.013436,0.595159,0.118772,0.117087
nus4,5812 | Luftfartsfag,5,575,467,0.812174,0.286294,0.034261,0.062099,0.265931,0.019272,0.074946,0.280156,0.098859,0.235936
nus4,5813 | Maritime navigasjonsfag,9,4812,3832,0.796342,0.287684,0.009801,0.046358,0.286761,0.010838,0.071372,0.508465,0.074645,0.254495
nus4,"5819 | Samferdsel, andre",4,295,241,0.816949,0.474277,0.033195,0.423237,0.461866,0.095436,0.485477,0.620219,0.319615,0.409771
nus4,5821 | Militære fag,2,2352,2186,0.929422,0.379965,0.025126,0.241206,0.386860,0.133201,0.292247,0.577196,0.250281,0.343873
nus4,5823 | Politifag,1,339,220,0.648968,0.319002,0.000000,0.109091,0.253453,0.050000,0.140909,0.533898,0.247632,0.224865
nus4,5824 | Tollfag,6,479,432,0.901879,0.516682,0.000000,0.328704,0.517506,0.291667,0.344907,0.522667,0.274979,0.459135
nus4,5825 | Brannvernfag,1,11,11,1.000000,0.457033,0.000000,0.000000,0.455670,0.000000,0.000000,0.459668,0.222150,0.404274
nus4,"5829 | Sikkerhet, andre",1,358,329,0.918994,0.291466,0.000000,0.100304,0.279369,0.036474,0.151976,0.533743,0.269716,0.247859
nus4,5831 | Hår- og skjønnhetspleie,7,1010,626,0.619802,0.280724,0.006390,0.079872,0.302756,0.006390,0.146965,0.575005,0.299063,0.268607
nus4,"5833 | Andre servicefag, andre",2,79,68,0.860759,0.172016,0.000000,0.000000,0.123040,0.000000,0.000000,0.238779,0.316221,0.109217
nus4,"5899 | Samferdsels- og sikkerhetsfag og andre servicefag, andre",1,165,75,0.454545,0.169549,0.000000,0.000000,0.142612,0.000000,0.000000,0.483953,0.257127,0.126526
nus4,5999 | Uoppgitt utdanningsgruppe,1,2213,1311,0.592408,0.279627,0.030023,0.137028,0.268571,0.074159,0.155199,0.588898,0.287095,0.238278
nus4,6011 | Generelle programmer,1,1272,840,0.660377,0.300646,0.058333,0.175000,0.299272,0.127381,0.219048,0.576595,0.301227,0.265516
nus4,"6019 | Allmenne fag, andre",1,115,36,0.313043,0.145891,0.000000,0.000000,0.154556,0.000000,0.000000,0.614443,0.364724,0.137124
nus4,6111 | Utdanninger i germanske og romanske språk,19,3290,2226,0.676596,0.451226,0.052111,0.414645,0.491599,0.265049,0.491465,0.599548,0.356603,0.436151
nus4,"6112 | Utdanninger i slaviske, baltiske og finsk-ugriske språk",3,71,30,0.422535,0.476952,0.000000,0.500000,0.521769,0.300000,0.400000,0.661347,0.338653,0.462918
nus4,"6113 | Utdanninger i tyrkiske, indoiranske, keltiske, semittiske og asiatiske språk",6,177,65,0.367232,0.361473,0.046154,0.153846,0.356667,0.153846,0.153846,0.648688,0.305158,0.316438
nus4,6116 | Translatørutdanninger,7,476,252,0.529412,0.623007,0.424603,0.857143,0.672307,0.674603,0.861111,0.545362,0.438269,0.596476
nus4,6117 | Språkvitenskapelige utdanninger,6,515,328,0.636893,0.485188,0.100610,0.484756,0.546668,0.365854,0.570122,0.635140,0.336623,0.485008
nus4,"6119 | Språkutdanninger, andre",6,2042,1478,0.723800,0.491935,0.170501,0.534506,0.536625,0.426928,0.585927,0.594615,0.365607,0.476098
nus4,6121 | Litteraturutdanninger,3,610,339,0.555738,0.469964,0.067847,0.463127,0.518931,0.353982,0.471976,0.607809,0.368065,0.460399
nus4,6122 | Bibliotekutdanninger,6,2386,2004,0.839899,0.537783,0.013473,0.770459,0.562215,0.195609,0.259980,0.638684,0.354628,0.498802
nus4,6123 | Forfatterutdanninger,3,291,190,0.652921,0.591995,0.321053,0.684211,0.687296,0.657895,0.757895,0.595242,0.377126,0.609774
nus4,6131 | Historieutdanninger,3,3525,2447,0.694184,0.424394,0.029642,0.340881,0.445719,0.219342,0.401646,0.606530,0.334464,0.395450
nus4,6132 | Kunsthistorie,3,725,413,0.569655,0.426390,0.014528,0.317191,0.474219,0.215496,0.455206,0.603774,0.359409,0.420730
nus4,6133 | Arkeologi,3,574,297,0.517422,0.391565,0.023569,0.252525,0.404744,0.171717,0.340067,0.604739,0.369720,0.359092
nus4,6134 | Kulturutdanninger,18,1907,1319,0.691662,0.491675,0.015163,0.537528,0.540196,0.339422,0.520548,0.619836,0.355582,0.478946
nus4,6135 | Filosofi og etikk,7,662,305,0.460725,0.440985,0.039344,0.373770,0.471113,0.278689,0.403279,0.611984,0.360966,0.417975
nus4,"6139 | Historisk-filosofiske utdanninger, andre",9,2015,1367,0.678412,0.439728,0.033650,0.373080,0.470327,0.252377,0.405999,0.616898,0.353456,0.417278
nus4,"6141 | Bibel-, misjonær- og menighetsarbeid",10,362,275,0.759669,0.384666,0.000000,0.134545,0.409454,0.175532,0.196809,0.677965,0.307760,0.363383
nus4,6142 | Kristendom og andre religionsutdanninger,9,1768,1200,0.678733,0.353029,0.003333,0.166667,0.362282,0.124177,0.247413,0.610292,0.336816,0.316994
nus4,"6149 | Religionsutdanninger, andre",2,562,368,0.654804,0.364724,0.016304,0.263587,0.378625,0.142045,0.278409,0.611330,0.353298,0.335167
nus4,6151 | Sang- og musikkutdanninger,18,5930,3564,0.601012,0.401375,0.015415,0.269769,0.359655,0.077553,0.149254,0.597021,0.368785,0.319063
nus4,6152 | Teater- og filmutdanninger,10,2012,1167,0.580020,0.327212,0.008569,0.151671,0.313533,0.074640,0.179856,0.542977,0.420754,0.279328
nus4,6153 | Danse- og ballettutdanninger,3,651,372,0.571429,0.305630,0.000000,0.104839,0.274837,0.013441,0.099462,0.565511,0.406935,0.243838
nus4,"6159 | Musikk, dans og drama, andre",2,152,84,0.552632,0.401047,0.000000,0.202381,0.397882,0.090909,0.220779,0.529244,0.460947,0.353684
nus4,"6161 | Husflid, brukskunst og industridesign",5,608,360,0.592105,0.395859,0.022222,0.255556,0.431995,0.112045,0.364146,0.610493,0.352829,0.383612
nus4,"6162 | Tre-, metall- og glasshåndverk",1,14,3,0.214286,0.337763,0.000000,0.000000,0.288960,0.000000,0.000000,0.592730,0.407270,0.256368
nus4,6163 | Fotofag,6,1112,626,0.562950,0.443999,0.070288,0.373802,0.462284,0.275527,0.406807,0.582560,0.374759,0.409646
nus4,"6164 | Tegne-, grafikk-, maler- og skulptørutdanninger",13,3871,2435,0.629036,0.474786,0.075975,0.517043,0.550508,0.221671,0.634409,0.600947,0.366723,0.488289
nus4,6165 | Interiør- og dekoratørutdanninger,5,822,566,0.688564,0.424614,0.030035,0.190813,0.477871,0.063604,0.469965,0.632442,0.334872,0.423971
nus4,6166 | Konfeksjons- og tekstilkunstutdanninger,3,111,40,0.360360,0.320482,0.000000,0.000000,0.324328,0.000000,0.108108,0.639120,0.360880,0.287954
nus4,"6169 | Bildende kunst og kunsthåndverk, andre",4,2361,1354,0.573486,0.389582,0.043575,0.274003,0.409116,0.101493,0.337313,0.593792,0.355825,0.363096
nus4,"6199 | Humanistiske og estetiske fag, andre",8,26157,18184,0.695187,0.443312,0.061110,0.356364,0.477079,0.243420,0.447498,0.607191,0.327953,0.423140
nus4,6211 | Førskole-/barnehagelærerutdanninger,8,47417,41343,0.871902,0.284544,0.002709,0.043784,0.198077,0.025166,0.055957,0.569309,0.411770,0.175770
nus4,"6219 | Førskole-/barnehagelærerutdanninger, andre",1,59,39,0.661017,0.208000,0.000000,0.000000,0.151406,0.000000,0.000000,0.552939,0.447061,0.134329
nus4,6221 | Allmenn-/grunnskolelærerutdanninger,32,41113,35943,0.874249,0.356471,0.006625,0.057453,0.323269,0.041218,0.072369,0.600283,0.381915,0.286847
nus4,"6229 | Allmenn-/grunnskolelærerutdanninger, andre",1,188,130,0.691489,0.267500,0.000000,0.023077,0.223349,0.000000,0.023077,0.577518,0.368635,0.198157
nus4,"6231 | Humaniora og estetikk, lærerutdanninger",18,4680,3503,0.748504,0.347623,0.001714,0.075143,0.317479,0.034601,0.086932,0.602206,0.369457,0.281714
nus4,"6232 | Samfunnsfag og juridiske fag, lærerutdanninger",1,223,116,0.520179,0.332935,0.000000,0.034483,0.311212,0.000000,0.034483,0.610401,0.357272,0.276109
nus4,"6233 | Økonomi og administrasjon, lærerutdanninger",3,429,375,0.874126,0.478440,0.061333,0.317333,0.515009,0.293333,0.442667,0.635954,0.356713,0.456920
nus4,"6234 | Naturvitenskapelige fag, håndverksfag og tekniske fag, lærerutdanninger",9,1134,926,0.816578,0.359689,0.000000,0.047516,0.336001,0.044276,0.057235,0.608816,0.374427,0.298102
nus4,"6235 | Helse-, sosial- og idrettsfag, lærerutdanninger",6,1460,1220,0.835616,0.334845,0.000000,0.055281,0.305188,0.025493,0.061678,0.606095,0.356185,0.270831
nus4,"6236 | Primærnæringer, lærerutdanninger",2,15,4,0.266667,0.341880,0.000000,0.000000,0.306723,0.000000,0.000000,0.607422,0.392578,0.272127
nus4,"6237 | Samferdsel, tjenesteyting og sikkerhet, lærerutdanninger",3,1518,1286,0.847167,0.381756,0.000000,0.055210,0.356738,0.034992,0.070762,0.596730,0.384996,0.316501
nus4,6238 | Praktisk-pedagogiske utdanninger,2,20268,17691,0.872854,0.374202,0.009109,0.100311,0.354121,0.075254,0.120407,0.613509,0.359782,0.314170
nus4,"6239 | Fag- og yrkesfaglærerutdanninger, andre",2,2143,1805,0.842277,0.343433,0.006648,0.073130,0.314626,0.039956,0.086016,0.597715,0.359216,0.279133
nus4,6241 | Pedagogikk,7,5822,4829,0.829440,0.341308,0.006218,0.158135,0.330425,0.097277,0.187695,0.612508,0.330657,0.293277
nus4,6242 | Spesialpedagogikk,6,3933,3170,0.806001,0.328990,0.000946,0.052997,0.290649,0.040455,0.065740,0.608881,0.355312,0.257890
nus4,"6249 | Utdanninger i pedagogikk, andre",2,1617,1469,0.908472,0.348737,0.000000,0.060027,0.303200,0.050172,0.072852,0.608945,0.382202,0.269021
nus4,"6251 | Videreutdanninger for lærere, uspesifisert",6,22164,18065,0.815060,0.379419,0.014128,0.125713,0.354987,0.092591,0.160557,0.607885,0.366872,0.314981
nus4,"6252 | Videreutdanninger for lærere, humanistiske og estetiske fag",9,4795,4606,0.960584,0.343570,0.000000,0.008250,0.297504,0.008259,0.013693,0.596218,0.401148,0.263951
nus4,"6253 | Videreutdanninger for lærere, pedagogikk",10,2325,2238,0.962581,0.348530,0.000000,0.030384,0.303591,0.028150,0.038874,0.606800,0.388317,0.269349
nus4,"6254 | Videreutdanninger for lærere, samfunnsfag og juridiske fag",1,106,106,1.000000,0.345903,0.000000,0.028302,0.302198,0.028302,0.028302,0.593529,0.406471,0.268112
nus4,"6255 | Videreutdanninger for lærere, økonomiske og administrative fag",3,133,126,0.947368,0.373506,0.000000,0.000000,0.333583,0.000000,0.000000,0.610176,0.389824,0.295958
nus4,"6256 | Videreutdanninger for lærere, naturvitenskapelige fag, håndverksfag og tekniske fag",6,3739,3657,0.978069,0.346000,0.000000,0.008477,0.301518,0.009031,0.015052,0.597329,0.399934,0.267509
nus4,"6257 | Videreutdanninger for lærere, helse-, sosial- og idrettsfag",3,260,240,0.923077,0.346625,0.000000,0.025000,0.300892,0.012500,0.025000,0.593741,0.402093,0.266954
nus4,"6259 | Videreutdanninger for lærere, andre",1,9,9,1.000000,0.339593,0.000000,0.000000,0.296855,0.000000,0.000000,0.599260,0.400740,0.263372
nus4,"6299 | Lærerutdanninger og utdanninger i pedagogikk, andre",1,5883,3934,0.668706,0.255321,0.013472,0.072954,0.230021,0.036933,0.083546,0.566944,0.344368,0.204076
nus4,6311 | Statsvitenskapelige fag,17,6902,5049,0.731527,0.471733,0.028571,0.453746,0.522429,0.344917,0.532255,0.620068,0.337514,0.463598
nus4,"6319 | Statsvitenskapelige fag, andre",13,2622,1952,0.744470,0.446002,0.028453,0.371443,0.484938,0.253739,0.478081,0.615769,0.325936,0.430297
nus4,6321 | Sosiologiske fag,4,3729,2773,0.743631,0.428396,0.035341,0.349080,0.463936,0.221300,0.435740,0.628692,0.314555,0.411594
nus4,"6329 | Sosiologiske fag, andre",1,19,11,0.578947,0.118943,0.000000,0.000000,0.116962,0.000000,0.000000,0.606343,0.393657,0.103769
nus4,6331 | Samfunnsgeografi,5,795,522,0.656604,0.441394,0.000000,0.432950,0.488441,0.319923,0.448276,0.611367,0.341413,0.433349
nus4,"6339 | Samfunnsgeografiske fag, andre",1,18,6,0.333333,0.597785,0.000000,1.000000,0.766679,1.000000,1.000000,0.645131,0.354869,0.680204
nus4,6341 | Samfunnsøkonomi,4,2154,1563,0.725627,0.519644,0.094994,0.528883,0.577471,0.451220,0.630937,0.642115,0.315865,0.512337
nus4,"6349 | Samfunnsøkonomiske fag, andre",3,59,23,0.389831,0.561146,0.000000,0.478261,0.698781,0.869565,1.000000,0.650982,0.262062,0.619964
nus4,6351 | Media og kommunikasjon,20,6657,5077,0.762656,0.539487,0.137162,0.601934,0.621875,0.494262,0.718243,0.627151,0.337801,0.551703
nus4,6352 | Journalistikk,5,4278,3573,0.835203,0.593215,0.055416,0.750630,0.698706,0.723219,0.810432,0.610389,0.376536,0.619904
nus4,"6359 | Medie- og informasjonsfag, andre",14,4691,3247,0.692177,0.494405,0.079766,0.455497,0.528074,0.358689,0.503501,0.584244,0.387083,0.467439
nus4,6361 | Psykologi,3,7800,5616,0.720000,0.355901,0.022890,0.188305,0.355062,0.116067,0.233029,0.609932,0.289415,0.314972
nus4,"6369 | Psykologiske fag, andre",2,1016,607,0.597441,0.337319,0.013180,0.159802,0.328202,0.093904,0.209226,0.623978,0.270096,0.291183
nus4,6371 | Rettsstudiet,6,4970,3410,0.686117,0.480641,0.060570,0.438989,0.538769,0.355170,0.525852,0.616345,0.344775,0.478017
nus4,6372 | Kriminologi,3,419,312,0.744630,0.459576,0.000000,0.410256,0.500187,0.301282,0.471154,0.617325,0.304646,0.443770
nus4,"6379 | Juridiske fag, andre",4,3369,2652,0.787177,0.520343,0.105958,0.558446,0.570407,0.401584,0.628205,0.625563,0.331572,0.506070
nus4,6381 | Sosialantropologiske fag,3,1482,997,0.672740,0.414651,0.030090,0.352056,0.447447,0.243408,0.411765,0.615057,0.328904,0.397281
nus4,"6399 | Samfunnsfag og juridiske fag, andre",4,8235,5804,0.704797,0.419649,0.040104,0.338980,0.458018,0.274096,0.429832,0.611223,0.319127,0.406504
nus4,6411 | Økonomisk-administrative fag,57,100020,86346,0.863287,0.554406,0.165462,0.527443,0.621729,0.464906,0.719875,0.639546,0.323572,0.551604
nus4,"6419 | Økonomisk-administrative fag, andre",8,18266,14969,0.819501,0.506357,0.070320,0.356751,0.554569,0.262787,0.496011,0.652643,0.306199,0.492054
nus4,6421 | Handel,8,3537,3119,0.881821,0.526509,0.067073,0.392169,0.605589,0.282734,0.749679,0.644543,0.308477,0.537284
nus4,6422 | Markedsføring,22,21315,18342,0.860521,0.531807,0.117358,0.516388,0.608294,0.349190,0.729093,0.633430,0.307598,0.539677
nus4,"6429 | Handel og markedsføring, andre",2,1937,1728,0.892101,0.509134,0.096065,0.557870,0.560920,0.241898,0.657407,0.637999,0.292428,0.497653
nus4,6441 | Reiselivsfag,8,5268,4527,0.859339,0.501137,0.080239,0.497347,0.556383,0.276266,0.632825,0.618561,0.328340,0.493668
nus4,6442 | Hotell- og restaurantfag,8,2515,2139,0.850497,0.490020,0.065075,0.381086,0.530938,0.211610,0.572097,0.604858,0.322746,0.471052
nus4,"6449 | Hotell- og reiselivsfag, andre",1,214,139,0.649533,0.391221,0.000000,0.258993,0.417977,0.043165,0.381295,0.608818,0.344420,0.370832
nus4,"6499 | Økonomiske og administrative fag, andre",6,15146,10844,0.715965,0.362751,0.067872,0.241055,0.371610,0.167881,0.310303,0.584425,0.325319,0.329692
nus4,6513 | Mikrobiologi og cellebiologi,2,203,105,0.517241,0.308270,0.000000,0.066667,0.267282,0.066667,0.066667,0.589808,0.311382,0.237135
nus4,6514 | Miljø- og forurensningsstudier,16,1831,1243,0.678864,0.440554,0.002414,0.272727,0.473212,0.223652,0.304907,0.597316,0.302641,0.419838
nus4,6515 | Marin- og ferskvannsbiologi,6,521,394,0.756238,0.379643,0.000000,0.187817,0.381067,0.121827,0.256345,0.441398,0.218924,0.338086
nus4,"6519 | Biologiske fag, andre",5,1624,856,0.527094,0.334270,0.003505,0.123832,0.308066,0.067757,0.129673,0.586773,0.315928,0.273318
nus4,6521 | Fysiske fag,5,464,199,0.428879,0.458903,0.120603,0.326633,0.447061,0.276382,0.321608,0.650574,0.328774,0.396636
nus4,6522 | Kjemiske fag,14,4317,3304,0.765346,0.399001,0.012420,0.152075,0.411460,0.073917,0.153893,0.634366,0.296876,0.365050
nus4,"6529 | Fysiske og kjemiske fag, andre",3,426,252,0.591549,0.369269,0.000000,0.083333,0.361577,0.075397,0.075397,0.606104,0.321972,0.320794
nus4,6531 | Matematikk,3,498,276,0.554217,0.538183,0.188406,0.579710,0.558225,0.481884,0.554348,0.668820,0.308082,0.495261
nus4,6532 | Statistikk,2,22,6,0.272727,0.492259,0.000000,0.500000,0.583978,0.500000,0.500000,0.752671,0.247329,0.518110
nus4,"6539 | Matematikk og statistikk, andre",2,138,54,0.391304,0.383395,0.000000,0.129630,0.392090,0.129630,0.129630,0.631418,0.336175,0.347865
nus4,6541 | Informasjons- og datateknologi,26,34512,29111,0.843504,0.589074,0.233622,0.711250,0.666325,0.636326,0.737320,0.715373,0.258347,0.591166
nus4,6542 | Informasjonsmodellering,1,3,3,1.000000,0.494505,0.000000,0.000000,0.522526,0.000000,0.000000,0.693182,0.306818,0.463589
nus4,"6549 | Informasjons- og datateknologi, andre",1,981,534,0.544343,0.488333,0.247191,0.554307,0.525540,0.441948,0.565543,0.678210,0.279211,0.466264
nus4,6551 | Elektro,11,18747,16359,0.872620,0.459711,0.071455,0.271518,0.465831,0.160125,0.249467,0.650022,0.291285,0.413170
nus4,6552 | Mekaniske fag,16,14956,12986,0.868280,0.421127,0.020372,0.154343,0.437820,0.075524,0.176690,0.615776,0.289709,0.388449
nus4,6553 | Finmekaniske fag,5,1503,1345,0.894877,0.331461,0.002230,0.061710,0.294839,0.026022,0.124907,0.652163,0.302316,0.261584
nus4,"6559 | Utdanninger i elektrofag, mekaniske fag og maskinfag, andre",2,370,261,0.705405,0.337069,0.022989,0.080460,0.324224,0.030651,0.042146,0.641431,0.307803,0.287654
nus4,6561 | Geologi,2,297,154,0.518519,0.406843,0.000000,0.084416,0.426820,0.084416,0.084416,0.642432,0.291009,0.378679
nus4,6562 | Geofysikk,3,200,120,0.600000,0.428864,0.000000,0.091667,0.462654,0.091667,0.091667,0.662923,0.307910,0.410470
nus4,"6569 | Geofag, andre",6,743,556,0.748318,0.446088,0.010791,0.303957,0.461295,0.140288,0.251799,0.550507,0.309199,0.409265
nus4,6571 | Bygg og anlegg,10,14937,12959,0.867577,0.452104,0.014880,0.137797,0.463048,0.085606,0.170437,0.560722,0.275948,0.410839
nus4,6572 | Arkitektur,1,1076,527,0.489777,0.372986,0.009488,0.113852,0.398419,0.039848,0.318786,0.616268,0.332230,0.353481
nus4,"6579 | Bygg- og anleggsfag, andre",4,312,225,0.721154,0.390631,0.000000,0.133333,0.392178,0.084444,0.160000,0.591411,0.304144,0.347944
nus4,6581 | Næringsmiddelproduksjon,4,968,798,0.824380,0.399846,0.011278,0.196742,0.397442,0.104010,0.226817,0.594988,0.282476,0.352614
nus4,6584 | Gruvedrift og utvinning,1,14,14,1.000000,0.323022,0.000000,0.000000,0.372862,0.000000,0.000000,0.443262,0.199595,0.330806
nus4,"6599 | Naturvitenskapelige fag, håndverksfag og tekniske fag, andre",26,27875,20260,0.726816,0.411852,0.081678,0.291877,0.434776,0.231070,0.325771,0.619769,0.280349,0.385721
nus4,6611 | Sykepleiefag,30,107565,95493,0.887770,0.390282,0.003075,0.052700,0.317080,0.034122,0.064348,0.709321,0.262286,0.281329
nus4,6613 | Vernepleiefag,6,18629,16295,0.874711,0.363589,0.002087,0.058130,0.318175,0.043548,0.073828,0.705310,0.258656,0.282295
nus4,"6619 | Pleie- og omsorgsfag, andre",2,122,98,0.803279,0.209948,0.000000,0.000000,0.140874,0.000000,0.000000,0.491381,0.176986,0.124985
nus4,6621 | Sosialfag,19,32927,27972,0.849516,0.364199,0.003756,0.157462,0.365072,0.115716,0.179739,0.729023,0.200212,0.323919
nus4,"6629 | Sosialfag, andre",2,884,704,0.796380,0.424648,0.005682,0.407670,0.461825,0.211648,0.411932,0.673706,0.265671,0.409735
nus4,6631 | Medisin,3,2895,1633,0.564076,0.318033,0.001837,0.065524,0.225510,0.018983,0.069810,0.520251,0.293517,0.200074
nus4,"6639 | Medisin, andre",1,47,22,0.468085,0.255138,0.000000,0.000000,0.159795,0.000000,0.000000,0.463093,0.275543,0.141771
nus4,6641 | Odontologi,1,396,216,0.545455,0.286735,0.000000,0.083333,0.223451,0.032407,0.069444,0.491670,0.329926,0.198248
nus4,6642 | Tannpleiefag,3,1604,1176,0.733167,0.287132,0.002551,0.042517,0.155226,0.016156,0.043367,0.709047,0.253325,0.137717
nus4,6643 | Tannteknikk,2,140,110,0.785714,0.239784,0.000000,0.072727,0.166140,0.027273,0.100000,0.182655,0.117345,0.147401
nus4,"6649 | Tannhelsefag, andre",2,37,37,1.000000,0.272815,0.000000,0.000000,0.113285,0.000000,0.000000,0.726380,0.239836,0.100507
nus4,6651 | Ergoterapi,4,5100,4451,0.872745,0.343483,0.003819,0.124916,0.325712,0.093546,0.143018,0.662795,0.289545,0.288969
nus4,6652 | Fysioterapi,6,9930,6610,0.665660,0.292943,0.003331,0.088115,0.315658,0.056464,0.115198,0.752576,0.214915,0.280056
nus4,6653 | Kiropraktor,1,589,192,0.325976,0.363853,0.000000,0.036458,0.210638,0.015625,0.046875,0.813851,0.163084,0.186880
nus4,"6659 | Terapeutiske fag, andre",5,1200,607,0.505833,0.347802,0.000000,0.138386,0.330590,0.052718,0.166392,0.668128,0.235633,0.293302
nus4,6661 | Farmasi,1,221,165,0.746606,0.362952,0.018182,0.048485,0.339282,0.018182,0.048485,0.659746,0.308436,0.301014
nus4,6662 | Reseptarfag,2,1214,1044,0.859967,0.430818,0.000000,0.027778,0.437474,0.020115,0.055556,0.534110,0.457628,0.388131
nus4,"6669 | Apotekfag, andre",1,3,0,0.000000,,,,,,,,,
nus4,6671 | Veterinær,1,248,127,0.512097,0.248253,0.000000,0.023622,0.205116,0.000000,0.023622,0.657681,0.223946,0.181980
nus4,6672 | Dyrepleie,6,298,229,0.768456,0.236493,0.000000,0.043668,0.178176,0.000000,0.017467,0.786529,0.197096,0.158079
nus4,"6679 | Veterinærfag, andre",1,28,18,0.642857,0.241686,0.000000,0.000000,0.201411,0.000000,0.000000,0.753044,0.205289,0.178693
nus4,6681 | Idrettsfag,6,5389,4358,0.808684,0.354295,0.016466,0.164889,0.340231,0.075607,0.203931,0.601501,0.295026,0.301880
nus4,"6689 | Idrettsfag, andre",5,668,418,0.625749,0.294080,0.000000,0.091566,0.284095,0.035885,0.107656,0.596604,0.310047,0.252029
nus4,"6699 | Helse-, sosial- og idrettsfag, andre",56,39999,34332,0.858321,0.348888,0.004779,0.081599,0.305431,0.058384,0.101021,0.639825,0.246795,0.271014
nus4,6711 | Fiske og havbruk,4,733,604,0.824011,0.326365,0.000000,0.109272,0.304427,0.046358,0.157285,0.373920,0.190650,0.270090
nus4,"6719 | Fiske og havbruk, andre",1,80,68,0.850000,0.537645,0.000000,0.558824,0.620268,0.102941,0.867647,0.623572,0.328634,0.550307
nus4,6721 | Jordbruk,5,448,266,0.593750,0.373770,0.018797,0.263158,0.389379,0.109023,0.349624,0.516657,0.219326,0.345461
nus4,"6729 | Jordbruk, andre",1,33,14,0.424242,0.262452,0.000000,0.000000,0.328964,0.000000,0.285714,0.592003,0.300855,0.291859
nus4,"6739 | Gartneri og hagebruk, andre",1,3,3,1.000000,0.420228,0.000000,0.000000,0.363510,0.000000,0.000000,0.621449,0.378551,0.322509
nus4,6741 | Skogbruk,6,975,692,0.709744,0.399251,0.000000,0.273256,0.392245,0.222384,0.312500,0.672464,0.259876,0.348003
nus4,"6799 | Primærnæringsfag, andre",4,2487,1591,0.639727,0.270263,0.011942,0.123193,0.258891,0.084224,0.170962,0.557470,0.260832,0.229690
nus4,6812 | Luftfartsfag,4,491,449,0.914460,0.376090,0.008969,0.056054,0.347170,0.033632,0.067265,0.316750,0.218004,0.308012
nus4,6813 | Maritime navigasjonsfag,10,3232,2798,0.865718,0.376674,0.028997,0.217476,0.395554,0.084799,0.281751,0.558713,0.155819,0.351112
nus4,"6819 | Samferdsel, andre",8,1618,1375,0.849815,0.524453,0.041857,0.451294,0.596293,0.355403,0.675038,0.605981,0.330568,0.529036
nus4,6821 | Militære fag,2,7506,6660,0.887290,0.453143,0.035359,0.274786,0.490895,0.186937,0.426494,0.598773,0.268860,0.435529
nus4,6822 | Fengselsfag,2,1360,1316,0.967647,0.308020,0.000000,0.054406,0.208948,0.033588,0.056489,0.284356,0.296341,0.185379
nus4,6823 | Politifag,5,13212,12442,0.941720,0.396302,0.000811,0.043535,0.430355,0.030578,0.047080,0.379321,0.186731,0.381811
nus4,6824 | Tollfag,2,85,60,0.705882,0.492932,0.000000,0.066667,0.422590,0.066667,0.066667,0.463423,0.253243,0.374926
nus4,6825 | Brannvernfag,2,138,124,0.898551,0.416068,0.000000,0.048387,0.406576,0.048387,0.072581,0.414012,0.205948,0.360718
nus4,"6829 | Sikkerhet, andre",10,1763,1525,0.865003,0.466951,0.060276,0.326797,0.481650,0.286227,0.350789,0.561914,0.258041,0.427949
nus4,6832 | Servitør,1,3,3,1.000000,0.160668,0.000000,0.000000,0.057293,0.000000,0.000000,0.727273,0.272727,0.050831
nus4,"6839 | Andre servicefag, andre, uoppgitt utdanningsgruppe",1,10,3,0.300000,0.406720,0.000000,0.000000,0.258181,0.000000,0.000000,0.764048,0.235952,0.229060
nus4,"6899 | Samferdsels- og sikkerhetsfag og andre servicefag, andre",1,3802,2766,0.727512,0.338493,0.037238,0.208243,0.344546,0.108098,0.296819,0.556136,0.297571,0.305684
nus4,6999 | Uoppgitt utdanningsgruppe,4,31864,20329,0.637993,0.314378,0.041907,0.186363,0.314148,0.125413,0.220423,0.577343,0.307374,0.278790
nus4,7011 | Generelle programmer,1,129,74,0.573643,0.371061,0.000000,0.283784,0.407840,0.175676,0.283784,0.627360,0.311105,0.361839
nus4,"7019 | Allmenne fag, andre",1,86,27,0.313953,0.183311,0.000000,0.000000,0.177645,0.000000,0.000000,0.548290,0.396155,0.157608
nus4,7111 | Utdanninger i germanske og romanske språk,17,3823,3384,0.885169,0.420522,0.031915,0.201241,0.423653,0.170955,0.205265,0.615779,0.381643,0.375880
nus4,"7112 | Utdanninger i slaviske, baltiske og finsk-ugriske språk",4,158,126,0.797468,0.471889,0.000000,0.412698,0.521533,0.373016,0.412698,0.624489,0.372109,0.462708
nus4,"7113 | Utdanninger i tyrkiske, indoiranske, keltiske, semittiske og asiatiske språk",1,4,4,1.000000,0.597785,0.000000,1.000000,0.766679,1.000000,1.000000,0.645131,0.354869,0.680204
nus4,7115 | Utdanninger i klassiske språk,1,3,3,1.000000,0.341880,0.000000,0.000000,0.306723,0.000000,0.000000,0.607422,0.392578,0.272127
