variabelnavn_ssb,beskrivelse,definisjon,kodeliste,fra_aar,til_aar,kilde_fil,varname_normalized
wXX_XXXX_lnr,Løpenummer (avidentifisert fødselsnummer),,,2010,2024,SSB_variabelliste_FD-Trygd.xlsm,lnr
REGDATO,Registreringsdato,,,2010,2024,SSB_variabelliste_FD-Trygd.xlsm,regdato
TILGDATO,Tilgangsdato,,,2010,2024,SSB_variabelliste_FD-Trygd.xlsm,tilgdato
KODE,Hendelseskode,,,2010,2024,SSB_variabelliste_FD-Trygd.xlsm,kode
AVGDATO,Avgangsdato,,,2010,2024,SSB_variabelliste_FD-Trygd.xlsm,avgdato
TOMDATO,Til og med dato,,,2010,2024,SSB_variabelliste_FD-Trygd.xlsm,tomdato
MRK_FNR,Merking av fødselsnummer,,,2010,2024,SSB_variabelliste_FD-Trygd.xlsm,mrk_fnr
wXX_XXXX_lnr,Løpenummer (avidentifisert fødselsnummer),,,2001,2023,SSB_variabelliste_FD-Trygd.xlsm,lnr
KODE,Hendelseskode for arbeidssøkere,,,2001,2023,SSB_variabelliste_FD-Trygd.xlsm,kode
HOVED,Hovedgruppering av arbeidssøkere,,,2001,2023,SSB_variabelliste_FD-Trygd.xlsm,hoved
REGDATO,Registreringsdato for arbeidssøkeropplysninger,,,2001,2023,SSB_variabelliste_FD-Trygd.xlsm,regdato
TILGDATO,Tilgangsdato for arbeidssøkere,,,2001,2023,SSB_variabelliste_FD-Trygd.xlsm,tilgdato
AVGDATO,Avgangsdato for arbeidssøkere,,,2001,2023,SSB_variabelliste_FD-Trygd.xlsm,avgdato
ASOKTILG,Arbeidssøkergruppens tilgangsdato,,,2001,2023,SSB_variabelliste_FD-Trygd.xlsm,asoktilg
ASOKAVG,Arbeidssøkergruppens avgangsdato,,,2001,2023,SSB_variabelliste_FD-Trygd.xlsm,asokavg
HOVEDARBSTAT,Hovedarbeidssøkerstatus,,,2001,2023,SSB_variabelliste_FD-Trygd.xlsm,hovedarbstat
HOVEDARBDATO,Endringsdato for hovedarbeidssøkerstatus,,,2001,2023,SSB_variabelliste_FD-Trygd.xlsm,hovedarbdato
TILTAK,Tiltakstype,,,2001,2023,SSB_variabelliste_FD-Trygd.xlsm,tiltak
TILTAKDATO,Endringsdato for tiltakstype,,,2001,2023,SSB_variabelliste_FD-Trygd.xlsm,tiltakdato
YTELSE,Stønadstype/ytelse som mottas av arbeidssøker/yrkeshemmed,,,2001,2023,SSB_variabelliste_FD-Trygd.xlsm,ytelse
YTELSEDATO,Endringsdato for ytelsesstatus,,,2001,2023,SSB_variabelliste_FD-Trygd.xlsm,ytelsedato
DAGDATO,Dagens dato (for uttaket fra NAV),,,2001,2023,SSB_variabelliste_FD-Trygd.xlsm,dagdato
HENDDATO,Hendelsesdato,,,2001,2023,SSB_variabelliste_FD-Trygd.xlsm,henddato
MRK_FNR,Mineregisterkontroll fødselsnummer,,,2001,2023,SSB_variabelliste_FD-Trygd.xlsm,mrk_fnr
AS_F,Arbeidssøkerstatus fingruppe (fra NAV),,,2001,2023,SSB_variabelliste_FD-Trygd.xlsm,as_f
AS_GR,Arbeidssøkerstatus grovgruppe (fra NAV),,,2001,2023,SSB_variabelliste_FD-Trygd.xlsm,as_gr
ASOKTOM,Teknisk hjelpevariabel - sluttdato for gruppetilfelle,,,2001,2023,SSB_variabelliste_FD-Trygd.xlsm,asoktom
TOMDATO,Teknisk hjelpevariabel - sluttdato for hovedtilfelle,,,2001,2023,SSB_variabelliste_FD-Trygd.xlsm,tomdato
REGTOM,Teknisk hjelpevariabel - sluttdato for endringsrekord,,,2001,2023,SSB_variabelliste_FD-Trygd.xlsm,regtom
wXX_XXXX_lnr,Løpenummer (avidentifisert fødselsnummer),,,1992,2001,SSB_variabelliste_FD-Trygd.xlsm,lnr
ASOKKODE,Kode for arbeidssøkere,,,1992,2001,SSB_variabelliste_FD-Trygd.xlsm,asokkode
REGDATO,Registreringsdato for type arbeidssøkere,,,1992,2001,SSB_variabelliste_FD-Trygd.xlsm,regdato
TILGDATO,Tilgangsdato for arbeidssøkere,,,1992,2001,SSB_variabelliste_FD-Trygd.xlsm,tilgdato
AVGDATO,Avgangsdato for arbeidssøkere,,,1992,2001,SSB_variabelliste_FD-Trygd.xlsm,avgdato
ASOKTILG,Arbeidssøkergruppens tilgangsdato,,,1992,2001,SSB_variabelliste_FD-Trygd.xlsm,asoktilg
ASOKAVG,Arbeidssøkergruppens avgangsdato,,,1992,2001,SSB_variabelliste_FD-Trygd.xlsm,asokavg
ARBSTAT,Arbeidssøkerstatus,,,1992,2001,SSB_variabelliste_FD-Trygd.xlsm,arbstat
ARBSDATO,Endringsdato for arbeidssøkerstatus,,,1992,2001,SSB_variabelliste_FD-Trygd.xlsm,arbsdato
STONAD,Stønadstype som mottas av arbeidssøker/yrkeshemmed,,,1992,2001,SSB_variabelliste_FD-Trygd.xlsm,stonad
STONDATO,Endringsdato for stønadstype,,,1992,2001,SSB_variabelliste_FD-Trygd.xlsm,stondato
TILTAK3,Tiltaksgrupper for personer på ordinære tiltak,,,1992,2001,SSB_variabelliste_FD-Trygd.xlsm,tiltak3
TIL3DATO,Endringsdato for ordinære tiltak,,,1992,2001,SSB_variabelliste_FD-Trygd.xlsm,til3dato
TILTAK5,Tiltaksgrupper for yrkeshemmede,,,1992,2001,SSB_variabelliste_FD-Trygd.xlsm,tiltak5
TIL5DATO,Endringsdato for yrkeshemmede,,,1992,2001,SSB_variabelliste_FD-Trygd.xlsm,til5dato
MRK_FNR,Merking av fødselsnummer,,,1992,2001,SSB_variabelliste_FD-Trygd.xlsm,mrk_fnr
HENVIST,Henvist fra,,,1992,2001,SSB_variabelliste_FD-Trygd.xlsm,henvist
HENVDATO,Endringsdato for henvist fra,,,1992,2001,SSB_variabelliste_FD-Trygd.xlsm,henvdato
TOMDATO,Teknisk hjelpevariabel - sluttdato for hovedtilfelle,,,1992,2001,SSB_variabelliste_FD-Trygd.xlsm,tomdato
ASOKTOM,Teknisk hjelpevariabel - sluttdato for gruppetilfelle,,,1992,2001,SSB_variabelliste_FD-Trygd.xlsm,asoktom
wXX_XXXX_lnr,Løpenummer (avidentifisert fødselsnummer),,,1992,1999,SSB_variabelliste_FD-Trygd.xlsm,lnr
DAGPKODE,Kode for dagpenger,,,1992,1999,SSB_variabelliste_FD-Trygd.xlsm,dagpkode
REGDATO,Registreringsdato for dagpenger,,,1992,1999,SSB_variabelliste_FD-Trygd.xlsm,regdato
TILGDATO,Tilgangsdato for dagpenger,,,1992,1999,SSB_variabelliste_FD-Trygd.xlsm,tilgdato
AVGDATO,Avgangsdato for dagpenger,,,1992,1999,SSB_variabelliste_FD-Trygd.xlsm,avgdato
OPROSDP,Oppnådd prosent hittil i dagpenge-regnskapet,,,1992,1999,SSB_variabelliste_FD-Trygd.xlsm,oprosdp
OPRODATO,Endringsdato for OPROSDP,,,1992,1999,SSB_variabelliste_FD-Trygd.xlsm,oprodato
APROSFOR,Anvist prosent i forrige periode (forrige anvisning),,,1992,1999,SSB_variabelliste_FD-Trygd.xlsm,aprosfor
AFORDATO,Endringsdato for APROSFOR,,,1992,1999,SSB_variabelliste_FD-Trygd.xlsm,afordato
APROSSIS,Anvist prosent i siste periode (siste anvisning),,,1992,1999,SSB_variabelliste_FD-Trygd.xlsm,aprossis
ASISDATO,Endringsdato for APROSSIS,,,1992,1999,SSB_variabelliste_FD-Trygd.xlsm,asisdato
UKESATS,Ukesats dagpenger,,,1992,1999,SSB_variabelliste_FD-Trygd.xlsm,ukesats
UKESDATO,Endringsdato for UKESATS,,,1992,1999,SSB_variabelliste_FD-Trygd.xlsm,ukesdato
MRK_FNR,Merking av fødselsnummer,,,1992,1999,SSB_variabelliste_FD-Trygd.xlsm,mrk_fnr
MRK_DL,Merking av datokorreksjoner,,,1992,1999,SSB_variabelliste_FD-Trygd.xlsm,mrk_dl
TOMDATO,Teknisk hjelpevariabel - sluttdato for hovedtilfelle,,,1992,1999,SSB_variabelliste_FD-Trygd.xlsm,tomdato
wXX_XXXX_lnr,Løpenummer (avidentifisert fødselsnummer),,,1997,2011,SSB_variabelliste_FD-Trygd.xlsm,lnr
VEDTDATO,Vedtaksdato,,,1997,2011,SSB_variabelliste_FD-Trygd.xlsm,vedtdato
KRAVDATO,Kravdato,,,1997,2011,SSB_variabelliste_FD-Trygd.xlsm,kravdato
MRK_FNR,Merking av fødselsnummer,,,1997,2011,SSB_variabelliste_FD-Trygd.xlsm,mrk_fnr
AARG,Årgang,,,1997,2011,SSB_variabelliste_FD-Trygd.xlsm,aarg
wXX_XXXX_lnr_fnrb,Løpenummer barn (avidentifisert fødselsnummer),,,1996,2024,SSB_variabelliste_FD-Trygd.xlsm,lnr_fnrb
BTKODE,Kode for barnetrygd barn,,,1996,2024,SSB_variabelliste_FD-Trygd.xlsm,btkode
REGDATO,Registreringsdato,,,1996,2024,SSB_variabelliste_FD-Trygd.xlsm,regdato
TILGDATO,Tilgangsdato,,,1996,2024,SSB_variabelliste_FD-Trygd.xlsm,tilgdato
AVGDATO,Avgangsdato,,,1996,2024,SSB_variabelliste_FD-Trygd.xlsm,avgdato
wXX_XXXX_lnr,Løpenummer til mottaker (avidentifisert fødselsnummer til mottaker),,,1996,2024,SSB_variabelliste_FD-Trygd.xlsm,lnr
KJONN,Barnets kjønn,,,1996,2024,SSB_variabelliste_FD-Trygd.xlsm,kjonn
MRK_FNRB,Miniregisterkontroll - fødselsnummer til barn,,,1996,2024,SSB_variabelliste_FD-Trygd.xlsm,mrk_fnrb
MRK_FNR,Miniregisterkontroll - fødselsnummer til mottaker,,,1996,2024,SSB_variabelliste_FD-Trygd.xlsm,mrk_fnr
TOMDATO,Til og med dato,,,1996,2024,SSB_variabelliste_FD-Trygd.xlsm,tomdato
FAAR,Barnets fødselsår,,,1996,2024,SSB_variabelliste_FD-Trygd.xlsm,faar
FAAR_MND,Barnets fødselsår og måned,,,1996,2024,SSB_variabelliste_FD-Trygd.xlsm,faar_mnd
wXX_XXXX_lnr,Løpenummer (avidentifisert fødselsnummer),,,1996,2024,SSB_variabelliste_FD-Trygd.xlsm,lnr
BTKODE,Kode for barnetrygdmottaker,,,1996,2024,SSB_variabelliste_FD-Trygd.xlsm,btkode
REGDATO,Registreringsdato,,,1996,2024,SSB_variabelliste_FD-Trygd.xlsm,regdato
TILGDATO,Tilgangsdato,,,1996,2024,SSB_variabelliste_FD-Trygd.xlsm,tilgdato
AVGDATO,Avgangsdato,,,1996,2024,SSB_variabelliste_FD-Trygd.xlsm,avgdato
BELOP,Utbetalt beløp,,,1996,2024,SSB_variabelliste_FD-Trygd.xlsm,belop
BELOPDATO,Endringsdato for utbetalt beløp,,,1996,2024,SSB_variabelliste_FD-Trygd.xlsm,belopdato
STATUSK,Type barnetrygdstønad,,,1996,2024,SSB_variabelliste_FD-Trygd.xlsm,statusk
STATUSKDATO,Endringsdato for statuskode,,,1996,2024,SSB_variabelliste_FD-Trygd.xlsm,statuskdato
ANTBARN,Antall barn det mottas barnetrygd for,,,1996,2024,SSB_variabelliste_FD-Trygd.xlsm,antbarn
ANTBARNDATO,Endringsdato for antall barn,,,1996,2024,SSB_variabelliste_FD-Trygd.xlsm,antbarndato
YBARN,Alder til yngste barn det mottas barnetrygd for,,,1996,2024,SSB_variabelliste_FD-Trygd.xlsm,ybarn
KJONN,Mottakers kjønn,,,1996,2024,SSB_variabelliste_FD-Trygd.xlsm,kjonn
TOMDATO,Til og med dato,,,1996,2024,SSB_variabelliste_FD-Trygd.xlsm,tomdato
MRK_FNR,Miniregisterkontroll - Fødselsnummer,,,1996,2024,SSB_variabelliste_FD-Trygd.xlsm,mrk_fnr
wXX_XXXX_lnr,Løpenummer (avidentifisert fødselsnummer),,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,lnr
KODE,Hendelseskode for demografiopplysninger,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,kode
REGDATO,Registreringsdato for demografiopplysninger  (må begrunnes i søknaden),,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,regdato
TILGDATO,Tilgangsdato (må begrunnes i søknaden),,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,tilgdato
AVGDATO,Avgangsdato (døde og utvandrede) (må begrunnes i søknaden),,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,avgdato
REGSTAT,Personens registreringsstatus,ja,ja,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,regstat
RESTDATO,Endringsdato for personens registreringsstatus,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,restdato
STATSB,Personens statsborgerskap,ja,ja,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,statsb
STATDATO,Endringsdato for personens statsborgerskap,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,statdato
BOSTED,Bostedskommune,ja,ja,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,bosted
BOSTDATO,Endringsdato for siste bosted (kommune),,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,bostdato
FLYTTYPE,Type flytting (ved siste flytting),ja,ja,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,flyttype
FLYTDATO,Endringsdato for type flytting,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,flytdato
TFVDEL,Flyttet til/fra verdensdel,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,tfvdel
TFVDDATO,Endringsdato for flyttet til/fra verdensdel,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,tfvddato
TFLAND,Flyttet til/fra land,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,tfland
TFLADATO,Endringsdato for Flyttet til/fra land,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,tfladato
MRK_FNR,Miniregisterkontroll - fødselsnummer,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,mrk_fnr
TOMDATO,Teknisk hjelpevariabel - sluttdato for tilfelle,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,tomdato
REGTOM,Teknisk hjelpevariabel - sluttdato for endringsrekord,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,regtom
wXX_XXXX_lnr,Løpenummer (avidentifisert fødselsnummer),ja,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,lnr
FODELAND,Fødeland,ja,ja,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,fodeland
OPPHDATO,Første oppholdsdato,ja,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,opphdato
INNVKAT,Innvandrerkategori,ja,ja,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,innvkat
LANDBAKG,Landbakgrunn,ja,ja,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,landbakg
KJONN,Kjønn,ja,ja,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,kjonn
FAAR,Fødselsår,ja,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,faar
MRK_FNR,Miniregisterkontroll - fødselsnummer,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,mrk_fnr
wXX_XXXX_lnr,Barnets løpenummer (avidentifisert fødselsnummer),,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,lnr
FDATO,Fødselsdato  (må begrunnes i søknaden),ja,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,fdato
REGST,Levendefødt eller dødfødt,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,regst
FODTYPE,Fødselstype,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,fodtype
FODTNR,Barnets nummer i denne fødselen,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,fodtnr
ANT_FODS,"Antall fødsler moren har hatt etter 01.01.1992, inkl. denne",,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,ant_fods
MRK_FNR,"Miniregisterkontroll - fødselsnummer, barn",,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,mrk_fnr
MRK_ESLEP,Merkevariabel - merker av etterslepsopplysninger,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,mrk_eslep
AARGANG,Årgang,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,aargang
wXX_XXXX_lnr,Løpenummer (avidentifisert fødselsnummer),,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,lnr
REGDATO,Registreringsdato for grunnkretsopplysninger,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,regdato
REGSTAT,Personens registreringsstatus,ja,ja,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,regstat
GRKRETS,Grunnkrets (må begrunnes i søknaden),ja,ja,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,grkrets
MRK_FNR,Miniregisterkontroll - fødselsnummer,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,mrk_fnr
AARGANG,Hvilken årgang opplysningen stammer fra,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,aargang
wXX_XXXX_lnr,Løpenummer (avidentifisert fødselsnummer),,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,lnr
KODE,Hendelseskode for sivilstandsopplysninger,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,kode
REGDATO,Registreringsdato for sivilstandsopplysninger,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,regdato
TILGDATO,Tilgangsdato for sivilstandstilfelle,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,tilgdato
AVGDATO,Avgangsdato (døde) (må begrunnes i søknaden),,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,avgdato
SIVSTAND,Kode for sivilstand,ja,ja,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,sivstand
SIVDATO,Endringsdato for sivilstandsopplysning,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,sivdato
SIVNR,Løpenummer for partner/ektefelle,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,sivnr
SIVNRDATO,Endringsdato for løpenummer for partner/ektefelle,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,sivnrdato
MRK_FNR,Miniregisterkontroll - fødselsnummer,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,mrk_fnr
TOMDATO,Teknisk hjelpevariabel - sluttdato for tilfelle,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,tomdato
REGTOM,Teknisk hjelpevariabel - sluttdato for endringsrekord,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,regtom
wXX_XXXX_lnr,Løpenummer (avidentifisert fødselsnummer),,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,lnr
OVGKODE,Kode for overgangsstønad,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,ovgkode
REGDATO,Registreringsdato for enslige forsørgere,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,regdato
OVGTILG,Tilgangsdato for overgangsstønad,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,ovgtilg
OVGAVG,Avgangsdato for overgangsstønad,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,ovgavg
INNT,Forventet årsinntekt,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,innt
INNTDATO,Endringsdato for forventet årsinntekt,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,inntdato
OVGST,Overgangsstønad,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,ovgst
OVGSDATO,Endringsdato for overgangsstønad,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,ovgsdato
MRK_FNR,Miniregisterkontroll - fødselsnummer,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,mrk_fnr
OVGTOM,Hjelpevariabel 2,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,ovgtom
wXX_XXXX_lnr,Løpenummer (avidentifisert fødselsnummer),,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,lnr
BTKODE,Kode for barnetilsyn,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,btkode
REGDATO,Registreringsdato for enslige forsørgere,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,regdato
BTTILG,Tilgangsdato for barnetilsyn,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,bttilg
BTAVG,Avgangsdato for barnetilsyn,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,btavg
INNT,Forventet årsinntekt,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,innt
INNTDATO,Endringsdato for forventet årsinntekt,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,inntdato
BARNTIL,Utbetalt beløp til barnetilsyn,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,barntil
BARTDATO,Endringsdato for barnetilsyn,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,bartdato
MRK_FNR,Miniregisterkontroll - fødselsnummer,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,mrk_fnr
BTTOM,Til og med dato gruppetilfelle,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,bttom
wXX_XXXX_lnr,Løpenummer (avidentifisert fødselsnummer),,,1998,2015,SSB_variabelliste_FD-Trygd.xlsm,lnr
UTDSKODE,Kode for utdanningsstønad,,,1998,2015,SSB_variabelliste_FD-Trygd.xlsm,utdskode
REGDATO,Registreringsdato for utdanningsst.opplysninger,,,1998,2015,SSB_variabelliste_FD-Trygd.xlsm,regdato
UTDSTILG,Tilgangsdato,,,1998,2015,SSB_variabelliste_FD-Trygd.xlsm,utdstilg
UTDSAVG,Avgangsdato,,,1998,2015,SSB_variabelliste_FD-Trygd.xlsm,utdsavg
SUMORD,Sum ordinær utdanningsstønad,,,1998,2015,SSB_variabelliste_FD-Trygd.xlsm,sumord
SORDDATO,Endringsdato for sum ord. utdst.,,,1998,2015,SSB_variabelliste_FD-Trygd.xlsm,sorddato
MNDORD,Antall måneder med ordinær utdanningsstønad,,,1998,2015,SSB_variabelliste_FD-Trygd.xlsm,mndord
MORDDATO,Endringsdato for ant. mnd. med ordinær utdst.,,,1998,2015,SSB_variabelliste_FD-Trygd.xlsm,morddato
SUMOPPF,Sum utdanningsstønad som oppfølgingsleder,,,1998,2015,SSB_variabelliste_FD-Trygd.xlsm,sumoppf
SOPFDATO,Endringsdato for sum stønad oppfølgingsleder,,,1998,2015,SSB_variabelliste_FD-Trygd.xlsm,sopfdato
MNDOPPF,Antall måneder med utdanningsstønad som oppfølgingsleder,,,1998,2015,SSB_variabelliste_FD-Trygd.xlsm,mndoppf
MOPFDATO,Endringsdato for ant. mnd. som oppfølgingsleder,,,1998,2015,SSB_variabelliste_FD-Trygd.xlsm,mopfdato
SUMAKT,Sum utdanningsstønad under aktivitetskurs,,,1998,2015,SSB_variabelliste_FD-Trygd.xlsm,sumakt
SAKTDATO,Endringsdato for sum stønad aktivitetskurs,,,1998,2015,SSB_variabelliste_FD-Trygd.xlsm,saktdato
MNDAKT,Antall måneder med utdanningsstønad under aktivitetskurs,,,1998,2015,SSB_variabelliste_FD-Trygd.xlsm,mndakt
MAKTDATO,Endringsdato for antall mnd. aktivitetskurs,,,1998,2015,SSB_variabelliste_FD-Trygd.xlsm,maktdato
MRK_FNR,"Miniregisterkontroll, fødselsnummer",,,1998,2015,SSB_variabelliste_FD-Trygd.xlsm,mrk_fnr
TOMDATO,Hjelpevariabel - Datering av avgang for tilfelle,,,1998,2015,SSB_variabelliste_FD-Trygd.xlsm,tomdato
wXX_XXXX_lnr,Løpenummer (avidentifisert fødselsnummer),,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,lnr
FUFOKODE,Kode for foreløpig uførestønad (FUFOR),,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,fufokode
REGDATO,Registreringsdato for FUFOR,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,regdato
FUFOTILG,FUFOR tilgangsdato,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,fufotilg
FUFOAVG,FUFOR avgangsdato,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,fufoavg
UFG,Uføregrad i prosent,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,ufg
UFGDATO,Endringsdato for uføregrad,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,ufgdato
BUPGAR,Spesialpoeng til unge uføre,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,bupgar
BUPGDATO,Endringsdato for bupgaranti,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,bupgdato
GPFAK,Grunnpensjonsfaktor,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,gpfak
GFPDATO,Endringsdato for grunnpensjon,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,gfpdato
TPFAK,Tilleggspensjonsfaktor (inkl. garantitillegg),,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,tpfak
TPFDATO,Endringsdato tilleggspensjon,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,tpfdato
BTFAK,Barnetilleggsfaktor,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,btfak
BTFDATO,Endringsdato barnetillegg,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,btfdato
ETFAK,Ektefelletilleggsfaktor,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,etfak
ETFDATO,Endringsdato ektefelletillegg,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,etfdato
FUFT,Første uføretidspunkt,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,fuft
FUFTDATO,Endringsdato for første uføretidspunkt,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,fuftdato
FVIRK,Første virkningsdato,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,fvirk
FVRKDATO,Endringsdato for første virkningsdato,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,fvrkdato
MRK_FNR,Miniregisterkontroll - fødselsnummer,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,mrk_fnr
BERTRYGD,Beregning av folketrygd (EØS),,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,bertrygd
BERTDATO,Endringsdato for beregning av trygd EØS,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,bertdato
TOMDATO,Til og med dato,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,tomdato
wXX_XXXX_lnr,Løpenummer (avidentifisert fødselsnummer),,,1992,2016,SSB_variabelliste_FD-Trygd.xlsm,lnr
ARBUF,Arbeidsuførhetsdato,,,1992,2016,SSB_variabelliste_FD-Trygd.xlsm,arbuf
FOED,Skille mellom fødsels- og sykepenger,,,1992,2016,SSB_variabelliste_FD-Trygd.xlsm,foed
GRUPPE,Hovedgrupper innenfor fødsels- og sykepengeordningen,,,1992,2016,SSB_variabelliste_FD-Trygd.xlsm,gruppe
ARBLEDIG,Fødsels- eller sykepenger som arbeidsledig,,,1992,2016,SSB_variabelliste_FD-Trygd.xlsm,arbledig
STATUS,Statusvariabel,,,1992,2016,SSB_variabelliste_FD-Trygd.xlsm,status
KONTO,Utbetalingskonto,,,1992,2016,SSB_variabelliste_FD-Trygd.xlsm,konto
DAGER,Antall dager summert med utbetalt stønad,,,1992,2016,SSB_variabelliste_FD-Trygd.xlsm,dager
BELOP,Totalt summert utbetalt beløp,,,1992,2016,SSB_variabelliste_FD-Trygd.xlsm,belop
AAR,Regnskapsår,,,1992,2016,SSB_variabelliste_FD-Trygd.xlsm,aar
wXX_XXXX_lnr,Løpenummer (avidentifisert fødselsnummer),,,1992,2015,SSB_variabelliste_FD-Trygd.xlsm,lnr
FPKODE,Kode for fødselspenger,,,1992,2015,SSB_variabelliste_FD-Trygd.xlsm,fpkode
REGDATO,Registreringsdato,,,1992,2015,SSB_variabelliste_FD-Trygd.xlsm,regdato
