date,yrke4,alder_gr,count
2015-01-16,1342,5,1050
2015-01-16,1342,6,2692
2015-01-16,1342,7,3366
2015-01-16,1342,8,1660
2015-01-16,1342,9,39
2015-01-16,1343,3,19
2015-01-16,1343,4,74
2015-01-16,1343,5,262
2015-01-16,1343,6,806
2015-01-16,1343,7,1055
2015-01-16,1343,8,605
2015-01-16,1344,2,13
2015-01-16,1344,3,59
2015-01-16,1344,4,82
2015-01-16,1344,5,238
2015-01-16,1344,6,529
2015-01-16,1344,7,462
2015-01-16,1344,8,226
2015-01-16,1344,9,10
2015-01-16,1345,2,16
2015-01-16,1345,3,95
2015-01-16,1345,4,265
2015-01-16,1345,5,1129
2015-01-16,1345,6,3582
2015-01-16,1345,7,3812
2015-01-16,1345,8,2733
2015-01-16,1345,9,80
2015-01-16,1346,1,5
2015-01-16,1346,2,7
2015-01-16,1346,3,55
2015-01-16,1346,4,193
2015-01-16,1346,5,692
2015-01-16,1346,6,1650
2015-01-16,1346,7,2071
2015-01-16,1346,8,815
2015-01-16,1346,9,54
2015-01-16,1349,1,5
2015-01-16,1349,2,21
2015-01-16,1349,3,93
2015-01-16,1349,4,178
2015-01-16,1349,5,578
2015-01-16,1349,6,1535
2015-01-16,1349,7,1605
2015-01-16,1349,8,875
2015-01-16,1349,9,41
2015-01-16,1411,2,14
2015-01-16,1411,3,85
2015-01-16,1411,4,62
2015-01-16,1411,5,106
2015-01-16,1411,6,168
2015-01-16,1411,7,110
2015-01-16,1411,8,45
2015-01-16,1411,9,6
2015-01-16,1412,0,6
2015-01-16,1412,1,25
2015-01-16,1412,2,126
2015-01-16,1412,3,327
2015-01-16,1412,4,288
2015-01-16,1412,5,366
2015-01-16,1412,6,398
2015-01-16,1412,7,337
2015-01-16,1412,8,108
2015-01-16,1412,9,6
2015-01-16,1420,0,5
2015-01-16,1420,1,121
2015-01-16,1420,2,1257
2015-01-16,1420,3,2997
2015-01-16,1420,4,2749
2015-01-16,1420,5,4281
2015-01-16,1420,6,8126
2015-01-16,1420,7,6384
2015-01-16,1420,8,2799
2015-01-16,1420,9,274
2015-01-16,1431,1,5
2015-01-16,1431,2,25
2015-01-16,1431,3,135
2015-01-16,1431,4,177
2015-01-16,1431,5,358
2015-01-16,1431,6,710
2015-01-16,1431,7,660
2015-01-16,1431,8,393
2015-01-16,1431,9,19
2015-01-16,1439,2,10
2015-01-16,1439,3,48
2015-01-16,1439,4,56
2015-01-16,1439,5,110
2015-01-16,1439,6,225
2015-01-16,1439,7,215
2015-01-16,1439,8,110
2015-01-16,1439,9,7
2015-01-16,2111,2,6
2015-01-16,2111,3,44
2015-01-16,2111,4,65
2015-01-16,2111,5,91
2015-01-16,2111,6,66
2015-01-16,2111,7,49
2015-01-16,2111,8,23
2015-01-16,2111,9,5
2015-01-16,2112,3,31
2015-01-16,2112,4,37
2015-01-16,2112,5,52
2015-01-16,2112,6,49
2015-01-16,2112,7,39
2015-01-16,2112,8,21
2015-01-16,2113,3,48
2015-01-16,2113,4,85
2015-01-16,2113,5,132
2015-01-16,2113,6,194
2015-01-16,2113,7,123
2015-01-16,2113,8,66
2015-01-16,2114,2,27
2015-01-16,2114,3,366
2015-01-16,2114,4,399
2015-01-16,2114,5,610
2015-01-16,2114,6,684
2015-01-16,2114,7,536
2015-01-16,2114,8,249
2015-01-16,2114,9,33
2015-01-16,2120,1,5
2015-01-16,2120,2,10
2015-01-16,2120,3,108
2015-01-16,2120,4,141
2015-01-16,2120,5,190
2015-01-16,2120,6,292
2015-01-16,2120,7,274
2015-01-16,2120,8,188
2015-01-16,2120,9,5
2015-01-16,2131,2,6
2015-01-16,2131,3,83
2015-01-16,2131,4,131
2015-01-16,2131,5,249
2015-01-16,2131,6,360
2015-01-16,2131,7,271
2015-01-16,2131,8,150
2015-01-16,2131,9,6
2015-01-16,2132,2,6
2015-01-16,2132,3,23
2015-01-16,2132,4,26
2015-01-16,2132,5,75
2015-01-16,2132,6,142
2015-01-16,2132,7,172
2015-01-16,2132,8,81
2015-01-16,2133,3,39
2015-01-16,2133,4,50
2015-01-16,2133,5,61
2015-01-16,2133,6,83
2015-01-16,2133,7,47
2015-01-16,2133,8,31
2015-01-16,2141,2,20
2015-01-16,2141,3,110
2015-01-16,2141,4,111
2015-01-16,2141,5,169
2015-01-16,2141,6,267
2015-01-16,2141,7,240
2015-01-16,2141,8,117
2015-01-16,2141,9,9
2015-01-16,2142,2,142
2015-01-16,2142,3,1927
2015-01-16,2142,4,1819
2015-01-16,2142,5,2550
2015-01-16,2142,6,4492
2015-01-16,2142,7,4151
2015-01-16,2142,8,2383
2015-01-16,2142,9,230
2015-01-16,2143,3,34
2015-01-16,2143,4,20
2015-01-16,2143,5,33
2015-01-16,2143,6,35
2015-01-16,2143,7,21
2015-01-16,2143,8,11
2015-01-16,2144,2,36
2015-01-16,2144,3,691
2015-01-16,2144,4,605
2015-01-16,2144,5,730
2015-01-16,2144,6,1006
2015-01-16,2144,7,745
2015-01-16,2144,8,422
2015-01-16,2144,9,31
2015-01-16,2145,2,10
2015-01-16,2145,3,55
2015-01-16,2145,4,60
2015-01-16,2145,5,100
2015-01-16,2145,6,170
2015-01-16,2145,7,139
2015-01-16,2145,8,79
2015-01-16,2145,9,5
2015-01-16,2146,1,5
2015-01-16,2146,2,75
2015-01-16,2146,3,886
2015-01-16,2146,4,1255
2015-01-16,2146,5,2459
2015-01-16,2146,6,4005
2015-01-16,2146,7,3539
2015-01-16,2146,8,1462
2015-01-16,2146,9,47
2015-01-16,2149,1,10
2015-01-16,2149,2,27
2015-01-16,2149,3,309
2015-01-16,2149,4,557
2015-01-16,2149,5,1115
2015-01-16,2149,6,1935
2015-01-16,2149,7,1541
2015-01-16,2149,8,813
2015-01-16,2149,9,66
2015-01-16,2151,2,12
2015-01-16,2151,3,210
2015-01-16,2151,4,217
2015-01-16,2151,5,340
2015-01-16,2151,6,610
2015-01-16,2151,7,568
2015-01-16,2151,8,337
2015-01-16,2151,9,32
2015-01-16,2152,2,41
2015-01-16,2152,3,363
2015-01-16,2152,4,483
2015-01-16,2152,5,753
2015-01-16,2152,6,1114
2015-01-16,2152,7,875
2015-01-16,2152,8,397
2015-01-16,2152,9,18
2015-01-16,2153,3,12
2015-01-16,2153,4,18
2015-01-16,2153,5,46
2015-01-16,2153,6,60
2015-01-16,2153,7,46
2015-01-16,2153,8,9
2015-01-16,2161,2,49
2015-01-16,2161,3,513
2015-01-16,2161,4,685
2015-01-16,2161,5,996
2015-01-16,2161,6,1122
2015-01-16,2161,7,857
2015-01-16,2161,8,639
2015-01-16,2161,9,93
2015-01-16,2162,2,5
2015-01-16,2162,3,88
2015-01-16,2162,4,87
2015-01-16,2162,5,141
2015-01-16,2162,6,124
2015-01-16,2162,7,69
2015-01-16,2162,8,37
2015-01-16,2163,2,16
2015-01-16,2163,3,92
2015-01-16,2163,4,107
2015-01-16,2163,5,143
2015-01-16,2163,6,120
2015-01-16,2163,7,68
2015-01-16,2163,8,27
2015-01-16,2164,2,5
2015-01-16,2164,3,103
2015-01-16,2164,4,125
2015-01-16,2164,5,168
2015-01-16,2164,6,217
2015-01-16,2164,7,182
2015-01-16,2164,8,101
2015-01-16,2164,9,5
2015-01-16,2165,2,19
2015-01-16,2165,3,106
2015-01-16,2165,4,107
2015-01-16,2165,5,159
2015-01-16,2165,6,237
2015-01-16,2165,7,256
2015-01-16,2165,8,153
2015-01-16,2165,9,8
2015-01-16,2166,1,19
2015-01-16,2166,2,177
2015-01-16,2166,3,631
2015-01-16,2166,4,589
2015-01-16,2166,5,857
2015-01-16,2166,6,856
2015-01-16,2166,7,354
2015-01-16,2166,8,132
2015-01-16,2166,9,6
2015-01-16,2211,1,20
2015-01-16,2211,2,99
2015-01-16,2211,3,1515
2015-01-16,2211,4,1143
2015-01-16,2211,5,1387
2015-01-16,2211,6,1457
2015-01-16,2211,7,1343
2015-01-16,2211,8,1191
2015-01-16,2211,9,111
2015-01-16,2212,3,677
2015-01-16,2212,4,1817
2015-01-16,2212,5,3089
2015-01-16,2212,6,3417
2015-01-16,2212,7,2576
2015-01-16,2212,8,1642
2015-01-16,2212,9,229
2015-01-16,2221,3,512
2015-01-16,2221,4,1403
2015-01-16,2221,5,3860
2015-01-16,2221,6,7844
2015-01-16,2221,7,9236
2015-01-16,2221,8,4841
2015-01-16,2221,9,201
2015-01-16,2222,2,5
2015-01-16,2222,3,118
2015-01-16,2222,4,208
2015-01-16,2222,5,438
2015-01-16,2222,6,730
2015-01-16,2222,7,790
2015-01-16,2222,8,472
2015-01-16,2222,9,20
2015-01-16,2223,0,6
2015-01-16,2223,1,25
2015-01-16,2223,2,3749
2015-01-16,2223,3,10077
2015-01-16,2223,4,7380
2015-01-16,2223,5,9787
2015-01-16,2223,6,12816
