SyssGrpIKT_code,SyssGrpIKT_label,NACE2007_code,NACE2007_label,ContentsCode_code,ContentsCode_label,Tid_code,Tid_label,value
00,Alle sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2024,2024,30
00,Alle sysselsette,47,Detaljhandel med unntak av motorvogner,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2014,2014,10
00,Alle sysselsette,47,Detaljhandel med unntak av motorvogner,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2015,2015,8
00,Alle sysselsette,47,Detaljhandel med unntak av motorvogner,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2016,2016,10
00,Alle sysselsette,47,Detaljhandel med unntak av motorvogner,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2017,2017,9
00,Alle sysselsette,47,Detaljhandel med unntak av motorvogner,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2018,2018,12
00,Alle sysselsette,47,Detaljhandel med unntak av motorvogner,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2019,2019,13
00,Alle sysselsette,47,Detaljhandel med unntak av motorvogner,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2020,2020,9
00,Alle sysselsette,47,Detaljhandel med unntak av motorvogner,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2022,2022,11
00,Alle sysselsette,47,Detaljhandel med unntak av motorvogner,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2024,2024,24
00,Alle sysselsette,49-53,Transport og lagring,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2014,2014,21
00,Alle sysselsette,49-53,Transport og lagring,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2015,2015,17
00,Alle sysselsette,49-53,Transport og lagring,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2016,2016,13
00,Alle sysselsette,49-53,Transport og lagring,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2017,2017,14
00,Alle sysselsette,49-53,Transport og lagring,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2018,2018,11
00,Alle sysselsette,49-53,Transport og lagring,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2019,2019,16
00,Alle sysselsette,49-53,Transport og lagring,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2020,2020,12
