SyssGrpIKT_code,SyssGrpIKT_label,NACE2007_code,NACE2007_label,ContentsCode_code,ContentsCode_label,Tid_code,Tid_label,value
00,Alle sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",IKTtryggleik,IKT-tryggleik,2021,2021,20
00,Alle sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",IKTtryggleik,IKT-tryggleik,2023,2023,34
00,Alle sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",IKTtryggleik,IKT-tryggleik,2024,2024,22
00,Alle sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",IKTtryggleik,IKT-tryggleik,2025,2025,26
00,Alle sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",HRrekrutt,HR eller rekruttering,2021,2021,5
00,Alle sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",AdminProsess,Organisering av administrasjonsprosessar eller styring av føretak,2023,2023,20
00,Alle sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",AdminProsess,Organisering av administrasjonsprosessar eller styring av føretak,2024,2024,20
00,Alle sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",AdminProsess,Organisering av administrasjonsprosessar eller styring av føretak,2025,2025,30
00,Alle sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",FoUinnov,Forsking og utvikling eller innovasjonsaktivitet (ekskludert forsking på KI),2023,2023,19
00,Alle sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",FoUinnov,Forsking og utvikling eller innovasjonsaktivitet (ekskludert forsking på KI),2024,2024,15
00,Alle sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",FoUinnov,Forsking og utvikling eller innovasjonsaktivitet (ekskludert forsking på KI),2025,2025,17
00,Alle sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",Regnskap,Rekneskapsføring eller økonomistyring,2023,2023,38
00,Alle sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",Regnskap,Rekneskapsføring eller økonomistyring,2024,2024,30
00,Alle sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",Regnskap,Rekneskapsføring eller økonomistyring,2025,2025,29
00,Alle sysselsette,41-43,Byggje- og anleggsverksemd,MforingSal,Marknadsføring eller sal,2021,2021,12
00,Alle sysselsette,41-43,Byggje- og anleggsverksemd,MforingSal,Marknadsføring eller sal,2023,2023,8
00,Alle sysselsette,41-43,Byggje- og anleggsverksemd,MforingSal,Marknadsføring eller sal,2024,2024,22
00,Alle sysselsette,41-43,Byggje- og anleggsverksemd,MforingSal,Marknadsføring eller sal,2025,2025,22
00,Alle sysselsette,41-43,Byggje- og anleggsverksemd,ProdProsess,Produksjonsprosessar,2021,2021,25
00,Alle sysselsette,41-43,Byggje- og anleggsverksemd,ProdProsess,Produksjonsprosessar,2023,2023,16
00,Alle sysselsette,41-43,Byggje- og anleggsverksemd,ProdProsess,Produksjonsprosessar,2024,2024,12
00,Alle sysselsette,41-43,Byggje- og anleggsverksemd,ProdProsess,Produksjonsprosessar,2025,2025,11
00,Alle sysselsette,41-43,Byggje- og anleggsverksemd,OrgAdmProsess,Organisering av administrasjonsprosessar,2021,2021,28
00,Alle sysselsette,41-43,Byggje- og anleggsverksemd,StyringForetak,Styring av føretak,2021,2021,18
00,Alle sysselsette,41-43,Byggje- og anleggsverksemd,Logistikk,Logistikk,2021,2021,9
00,Alle sysselsette,41-43,Byggje- og anleggsverksemd,Logistikk,Logistikk,2023,2023,3
00,Alle sysselsette,41-43,Byggje- og anleggsverksemd,Logistikk,Logistikk,2024,2024,5
00,Alle sysselsette,41-43,Byggje- og anleggsverksemd,Logistikk,Logistikk,2025,2025,2
00,Alle sysselsette,41-43,Byggje- og anleggsverksemd,IKTtryggleik,IKT-tryggleik,2021,2021,31
