geo_id,usage_count,usage_pct
AD,70.0,0.007000875109388674
AE,3883.0,0.38834854356794596
AG,32.0,0.003200400050006251
AL,329.0,0.03290411301412676
AM,533.0,0.053306663332916615
AO,265.0,0.02650331291411426
AR,6088.0,0.6088761095136892
AT,3036.0,0.3036379547443431
AU,15488.0,1.5489936242030256
AW,15.0,0.0015001875234404302
AZ,563.0,0.056307038379797475
BA,334.0,0.03340417552194024
BB,81.0,0.008101012626578323
BD,2914.0,0.2914364295536942
BE,4421.0,0.44215526940867605
BF,344.0,0.0344043005375672
BG,1465.0,0.14651831478934865
BH,281.0,0.02810351293911739
BI,29.0,0.002900362545318165
BJ,536.0,0.0536067008376047
BM,19.0,0.0019002375296912114
BN,85.0,0.008501062632829104
BO,1536.0,0.15361920240030003
BR,27602.0,2.7605450681335166
BS,54.0,0.005400675084385548
BT,64.0,0.006400800100012502
BW,169.0,0.016902112764095513
BZ,33.0,0.003300412551568946
CA,22854.0,2.2856857107138393
CG,148.0,0.014801850231278911
CH,5097.0,0.5097637204650581
CI,1141.0,0.11411426428303538
CL,3819.0,0.3819477434679335
CM,1028.0,0.1028128516064508
CO,8841.0,0.8842105263157894
CR,1073.0,0.10731341417677209
CV,45.0,0.00450056257032129
CW,27.0,0.002700337542192774
CY,547.0,0.05470683835479435
CZ,2888.0,0.28883610451306413
DE,25382.0,2.538517314664333
DJ,50.0,0.005000625078134767
DK,2151.0,0.21512689086135767
DO,1495.0,0.14951868983622954
DZ,2710.0,0.27103387923490435
EC,3452.0,0.3452431553944243
EE,713.0,0.07130891361420177
EG,5501.0,0.5501687710963871
ES,14095.0,1.4096762095261908
FI,1821.0,0.1821227653456682
FJ,61.0,0.006100762595324416
FR,30208.0,3.0211776472059007
GA,169.0,0.016902112764095513
GB,30707.0,3.0710838854856854
GE,1369.0,0.13691711463932993
GF,21.0,0.0021002625328166023
GH,1546.0,0.154619327415927
GM,36.0,0.003600450056257032
GN,87.0,0.008701087635954495
GP,77.0,0.0077009626203275415
GR,2137.0,0.21372671583947994
GT,808.0,0.08081010126265784
GU,30.0,0.0030003750468808603
GY,43.0,0.0043005375671959
HN,393.0,0.03930491311413927
HR,861.0,0.08611076384548069
HT,174.0,0.01740217527190899
HU,1643.0,0.16432054006750846
ID,25075.0,2.5078134766845857
IE,2275.0,0.2275284410551319
IL,7920.0,0.7920990123765471
IM,20.0,0.002000250031253907
IN,58098.0,5.810526315789474
IQ,3234.0,0.3234404300537567
IS,187.0,0.018702337792224025
IT,16336.0,1.633804225528191
JE,33.0,0.003300412551568946
JM,314.0,0.03140392549068634
JO,752.0,0.07520940117514689
JP,31235.0,3.123890486310789
KE,3940.0,0.3940492561570196
KG,425.0,0.04250531316414552
KH,571.0,0.057107138392299035
KM,21.0,0.0021002625328166023
KR,30618.0,3.062182772846606
KW,387.0,0.0387048381047631
KY,47.0,0.004700587573446681
KZ,1916.0,0.19162395299412427
LA,272.0,0.027203400425053134
LB,776.0,0.07760970121265158
LC,23.0,0.002300287535941993
LI,15.0,0.0015001875234404302
LK,3190.0,0.3190398799849981
LR,48.0,0.004800600075009376
LS,40.0,0.004000500062507814
LT,1060.0,0.10601325165645704
LU,386.0,0.038604825603200395
LV,606.0,0.060607575946993376
MA,5166.0,0.5166645830728841
MC,46.0,0.004600575071883986
MD,606.0,0.060607575946993376
ME,138.0,0.013801725215651955
MG,661.0,0.06610826353294161
MK,339.0,0.03390423802975372
MN,139.0,0.013901737717214653
MQ,114.0,0.01140142517814727
MR,66.0,0.006600825103137892
MT,272.0,0.027203400425053134
MU,302.0,0.030203775471933994
MV,184.0,0.018402300287535943
MW,186.0,0.01860232529066133
MX,10345.0,1.0346293286660833
MY,4446.0,0.4446555819477434
MZ,366.0,0.03660457557194649
NA,92.0,0.009201150143767971
NC,49.0,0.004900612576572072
NE,63.0,0.006300787598449806
NG,7629.0,0.7629953744218028
NL,8188.0,0.8189023627953494
NO,2374.0,0.23742967870983875
NP,1673.0,0.1673209151143893
NZ,2899.0,0.2899362420302538
OM,363.0,0.036304538067258404
PA,760.0,0.07600950118764845
PE,7375.0,0.7375921990248782
PF,77.0,0.0077009626203275415
PG,51.0,0.005100637579697462
PH,9935.0,0.9936242030253781
PK,8916.0,0.8917114639329916
PL,9040.0,0.9041130141267659
PR,508.0,0.05080635079384923
PS,269.0,0.026903362920365045
PT,4032.0,0.40325040630078757
PY,571.0,0.057107138392299035
QA,895.0,0.08951118889861233
RE,255.0,0.025503187898487312
RO,3252.0,0.32524065508188527
RS,1391.0,0.13911738967370924
RW,677.0,0.06770846355794474
SA,3136.0,0.3136392049006126
SC,24715.0,2.471808976122015
SE,4078.0,0.40785098137267156
SG,5094.0,0.50946368296037
SI,673.0,0.06730841355169395
SK,1037.0,0.10371296412051507
SL,41.0,0.004100512564070509
SN,787.0,0.07870983872984123
SR,33.0,0.003300412551568946
SV,536.0,0.0536067008376047
SZ,59.0,0.005900737592199025
TD,68.0,0.0068008501062632835
TG,248.0,0.024803100387548443
TH,8032.0,0.8033004125515689
TJ,137.0,0.013701712714089261
TL,35.0,0.003500437554694337
TN,2500.0,0.25003125390673836
TR,8802.0,0.8803100387548444
TT,239.0,0.02390298787348419
TW,7729.0,0.7729966245780723
TZ,332.0,0.033204150518814854
UA,7489.0,0.7489936242030254
UG,661.0,0.06610826353294161
US,219666.0,21.969346168271034
UY,658.0,0.06580822602825352
UZ,827.0,0.08271033879234904
VC,34.0,0.0034004250531316418
VI,24.0,0.002400300037504688
VN,10293.0,1.0294286785848232
XK,72.0,0.007200900112514064
YT,19.0,0.0019002375296912114
ZA,4459.0,0.4459557444680585
ZM,374.0,0.03740467558444805
ZW,365.0,0.0365045630703838
not_classified,156576.0,15.659557444680585
