styrk08,rank,neighbour,similarity,n_soc,n_soc_neighbour,shared_elements
2636,1,1341,0.8395,2,1,Instructing; Assisting and Caring for Others; Management of Financial Resources
2636,2,1221,0.8011,2,2,Developing and Building Teams; Management of Financial Resources; Persuasion
2636,3,1345,0.7867,2,2,Instructing; Learning Strategies; Management of Financial Resources
2636,4,1411,0.7786,2,1,Service Orientation; Instructing; Negotiation
2636,5,2351,0.7779,2,1,Instructing; Learning Strategies; Developing and Building Teams
2641,1,2642,0.8754,3,2,Writing; Reading Comprehension; Thinking Creatively
2641,2,2431,0.8534,3,2,Writing; Reading Comprehension; Thinking Creatively
2641,3,3312,0.6518,3,2,Writing; Reading Comprehension; Speaking
2641,4,3411,0.6484,3,6,Writing; Reading Comprehension; Getting Information
2641,5,4413,0.6312,3,1,Reading Comprehension; Writing; Working with Computers
2642,1,2641,0.8754,2,3,Writing; Reading Comprehension; Thinking Creatively
2642,2,2656,0.798,2,2,Reading Comprehension; Interpreting the Meaning of Information for Others; Communicating with People Outside the Organization
2642,3,2431,0.7536,2,2,Writing; Reading Comprehension; Thinking Creatively
2642,4,3312,0.7021,2,2,Reading Comprehension; Communicating with People Outside the Organization; Writing
2642,5,3353,0.6959,2,2,Writing; Reading Comprehension; Communicating with People Outside the Organization
2643,1,2633,0.8636,2,3,Interpreting the Meaning of Information for Others; Writing; Reading Comprehension
2643,2,2634,0.8027,2,3,Interpreting the Meaning of Information for Others; Writing; Reading Comprehension
2643,3,2632,0.7995,2,3,Interpreting the Meaning of Information for Others; Writing; Analyzing Data or Information
2643,4,2164,0.7946,2,1,Interpreting the Meaning of Information for Others; Communicating with People Outside the Organization; Developing Objectives and Strategies
2643,5,2611,0.7838,2,1,Interpreting the Meaning of Information for Others; Speaking; Writing
2651,1,7317,0.9454,2,1,Thinking Creatively; Selling or Influencing Others; Operations Analysis
2651,2,7319,0.9454,2,1,Thinking Creatively; Selling or Influencing Others; Operations Analysis
2651,3,7314,0.9269,2,2,Thinking Creatively; Handling and Moving Objects; Equipment Selection
2651,4,3433,0.9029,2,3,Thinking Creatively; Handling and Moving Objects; Performing General Physical Activities
2651,5,7313,0.8638,2,1,Thinking Creatively; Equipment Selection; Selling or Influencing Others
2652,1,2653,0.8108,2,2,Thinking Creatively; Performing for or Working Directly with the Public; Establishing and Maintaining Interpersonal Relationships
2652,2,2655,0.7141,2,1,Thinking Creatively; Establishing and Maintaining Interpersonal Relationships; Performing for or Working Directly with the Public
2652,3,5211,0.6441,2,1,Performing for or Working Directly with the Public; Establishing and Maintaining Interpersonal Relationships; Persuasion
2652,4,5243,0.6441,2,1,Performing for or Working Directly with the Public; Establishing and Maintaining Interpersonal Relationships; Persuasion
2652,5,5142,0.6371,2,6,Performing for or Working Directly with the Public; Thinking Creatively; Persuasion
2653,1,2655,0.8138,2,1,Thinking Creatively; Performing General Physical Activities; Performing for or Working Directly with the Public
2653,2,2652,0.8108,2,2,Thinking Creatively; Performing for or Working Directly with the Public; Establishing and Maintaining Interpersonal Relationships
2653,3,5142,0.7697,2,6,Performing for or Working Directly with the Public; Performing General Physical Activities; Thinking Creatively
2653,4,5212,0.6934,2,2,"Performing for or Working Directly with the Public; Performing General Physical Activities; Guiding, Directing, and Motivating Subordinates"
2653,5,5211,0.6773,2,1,"Performing for or Working Directly with the Public; Guiding, Directing, and Motivating Subordinates; Establishing and Maintaining Interpersonal Relationships"
2654,1,2432,0.7592,3,1,"Thinking Creatively; Time Management; Organizing, Planning, and Prioritizing Work"
2654,2,1222,0.7017,3,1,Thinking Creatively; Operations Analysis; Time Management
2654,3,2611,0.6989,3,1,Thinking Creatively; Active Listening; Judgment and Decision Making
2654,4,2163,0.6974,3,2,Thinking Creatively; Operations Analysis; Time Management
2654,5,2166,0.6948,3,2,Thinking Creatively; Working with Computers; Updating and Using Relevant Knowledge
2655,1,2653,0.8138,1,2,Thinking Creatively; Performing General Physical Activities; Performing for or Working Directly with the Public
2655,2,5241,0.8048,1,1,Performing General Physical Activities; Thinking Creatively
2655,3,5142,0.7579,1,6,Performing for or Working Directly with the Public; Thinking Creatively; Performing General Physical Activities
2655,4,9629,0.7373,1,5,Performing for or Working Directly with the Public
2655,5,2652,0.7141,1,2,Thinking Creatively; Establishing and Maintaining Interpersonal Relationships; Performing for or Working Directly with the Public
2656,1,2642,0.798,2,2,Reading Comprehension; Interpreting the Meaning of Information for Others; Communicating with People Outside the Organization
2656,2,3411,0.6432,2,6,"Getting Information; Identifying Objects, Actions, and Events; Documenting/Recording Information"
2656,3,3353,0.6329,2,2,Speaking; Performing for or Working Directly with the Public; Getting Information
2656,4,2641,0.615,2,3,Writing; Reading Comprehension; Thinking Creatively
2656,5,4229,0.6003,2,1,Speaking; Performing for or Working Directly with the Public; Getting Information
3112,1,2165,0.7109,5,2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Mathematics; Evaluating Information to Determine Compliance with Standards"
3112,2,2133,0.696,5,2,Communicating with People Outside the Organization; Interpreting the Meaning of Information for Others; Science
3112,3,2132,0.6841,5,3,Scheduling Work and Activities; Communicating with People Outside the Organization; Mathematics
3112,4,3351,0.6616,5,3,Evaluating Information to Determine Compliance with Standards; Communicating with People Outside the Organization; Documenting/Recording Information
3112,5,3119,0.6597,5,10,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Documenting/Recording Information; Evaluating Information to Determine Compliance with Standards"
3113,1,3522,0.9526,2,1,Repairing and Maintaining Electronic Equipment; Repairing; Installation
3113,2,3114,0.9526,2,1,Repairing and Maintaining Electronic Equipment; Repairing; Installation
3113,3,3155,0.9526,2,1,Repairing and Maintaining Electronic Equipment; Repairing; Installation
3113,4,3115,0.9479,2,4,Installation; Repairing and Maintaining Electronic Equipment; Repairing
3113,5,7421,0.9111,2,7,Installation; Repairing and Maintaining Electronic Equipment; Repairing
3114,1,3522,1.0,1,1,"Repairing and Maintaining Electronic Equipment; Repairing; Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment"
3114,2,3155,1.0,1,1,"Repairing and Maintaining Electronic Equipment; Repairing; Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment"
3114,3,3113,0.9526,1,2,Repairing and Maintaining Electronic Equipment; Repairing; Installation
3114,4,3115,0.8818,1,4,Repairing and Maintaining Electronic Equipment; Installation; Repairing
3114,5,7421,0.8475,1,7,Repairing and Maintaining Electronic Equipment; Installation; Repairing
3115,1,3113,0.9479,4,2,Installation; Repairing and Maintaining Electronic Equipment; Repairing
3115,2,3116,0.9112,4,1,Installation; Quality Control Analysis; Repairing and Maintaining Electronic Equipment
3115,3,0310,0.9112,4,1,Installation; Quality Control Analysis; Repairing and Maintaining Electronic Equipment
3115,4,3114,0.8818,4,1,Repairing and Maintaining Electronic Equipment; Installation; Repairing
3115,5,3155,0.8818,4,1,Repairing and Maintaining Electronic Equipment; Installation; Repairing
3116,1,0310,1.0,1,1,Quality Control Analysis; Installation; Repairing and Maintaining Electronic Equipment
3116,2,3115,0.9112,1,4,Installation; Quality Control Analysis; Repairing and Maintaining Electronic Equipment
3116,3,3113,0.8307,1,2,Installation; Repairing and Maintaining Electronic Equipment; Troubleshooting
3116,4,3117,0.8186,1,2,Repairing and Maintaining Electronic Equipment; Equipment Selection; Science
3116,5,3132,0.7958,1,4,"Repairing and Maintaining Electronic Equipment; Monitoring Processes, Materials, or Surroundings; Quality Control Analysis"
3117,1,3115,0.8223,2,4,Repairing and Maintaining Electronic Equipment; Equipment Selection; Science
3117,2,0310,0.8186,2,1,Repairing and Maintaining Electronic Equipment; Equipment Selection; Science
3117,3,3116,0.8186,2,1,Repairing and Maintaining Electronic Equipment; Equipment Selection; Science
3117,4,3113,0.7666,2,2,Repairing and Maintaining Electronic Equipment; Equipment Selection; Installation
3117,5,3134,0.7553,2,4,Repairing and Maintaining Electronic Equipment; Operations Monitoring; Operation and Control
3118,1,4413,0.5835,4,1,Working with Computers; Writing; Getting Information
3118,2,7321,0.5754,4,2,Thinking Creatively; Programming; Working with Computers
3118,3,2651,0.5712,4,2,"Thinking Creatively; Operations Analysis; Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment"
3118,4,4322,0.5453,4,1,Working with Computers; Technology Design; Programming
3118,5,2513,0.5304,4,1,Programming; Technology Design; Operations Analysis
3119,1,3116,0.7701,10,1,"Science; Quality Control Analysis; Inspecting Equipment, Structures, or Materials"
3119,2,0310,0.7701,10,1,"Science; Quality Control Analysis; Inspecting Equipment, Structures, or Materials"
3119,3,3115,0.7501,10,4,Science; Repairing and Maintaining Electronic Equipment; Quality Control Analysis
3119,4,7232,0.7268,10,2,"Repairing and Maintaining Electronic Equipment; Quality Control Analysis; Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment"
3119,5,3132,0.7195,10,4,"Monitoring Processes, Materials, or Surroundings; Repairing and Maintaining Electronic Equipment; Inspecting Equipment, Structures, or Materials"
3121,1,3123,1.0,1,1,"Management of Personnel Resources; Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Coordination"
3121,2,3152,0.7887,1,2,"Management of Personnel Resources; Coordinating the Work and Activities of Others; Operating Vehicles, Mechanized Devices, or Equipment"
3121,3,7127,0.7724,1,2,"Management of Personnel Resources; Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Repairing and Maintaining Electronic Equipment"
3121,4,3122,0.7706,1,1,Management of Personnel Resources; Time Management; Coordination
3121,5,3151,0.7433,1,2,Management of Personnel Resources; Coordinating the Work and Activities of Others; Repairing and Maintaining Mechanical Equipment
3122,1,1321,0.8238,1,1,"Management of Personnel Resources; Time Management; Guiding, Directing, and Motivating Subordinates"
3122,2,3152,0.7988,1,2,"Management of Personnel Resources; Time Management; Guiding, Directing, and Motivating Subordinates"
3122,3,3121,0.7706,1,1,Management of Personnel Resources; Time Management; Coordination
3122,4,3123,0.7706,1,1,Management of Personnel Resources; Time Management; Coordination
3122,5,3151,0.7554,1,2,"Management of Personnel Resources; Time Management; Guiding, Directing, and Motivating Subordinates"
3123,1,3121,1.0,1,1,"Management of Personnel Resources; Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Coordination"
3123,2,3152,0.7887,1,2,"Management of Personnel Resources; Coordinating the Work and Activities of Others; Operating Vehicles, Mechanized Devices, or Equipment"
3123,3,7127,0.7724,1,2,"Management of Personnel Resources; Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Repairing and Maintaining Electronic Equipment"
3123,4,3122,0.7706,1,1,Management of Personnel Resources; Time Management; Coordination
3123,5,3151,0.7433,1,2,Management of Personnel Resources; Coordinating the Work and Activities of Others; Repairing and Maintaining Mechanical Equipment
3131,1,3132,0.745,4,4,"Monitoring Processes, Materials, or Surroundings; Operations Monitoring; Operation and Control"
3131,2,3153,0.7092,4,3,"Operation and Control; Monitoring Processes, Materials, or Surroundings; Operations Monitoring"
3131,3,3119,0.6981,4,10,"Monitoring Processes, Materials, or Surroundings; Evaluating Information to Determine Compliance with Standards; Operations Monitoring"
3131,4,3116,0.6594,4,1,"Monitoring Processes, Materials, or Surroundings; Evaluating Information to Determine Compliance with Standards; Quality Control Analysis"
3131,5,0310,0.6594,4,1,"Monitoring Processes, Materials, or Surroundings; Evaluating Information to Determine Compliance with Standards; Quality Control Analysis"
3132,1,3134,0.8485,4,4,"Operations Monitoring; Monitoring Processes, Materials, or Surroundings; Repairing and Maintaining Electronic Equipment"
3132,2,7232,0.8201,4,2,Repairing and Maintaining Electronic Equipment; Repairing; Equipment Maintenance
3132,3,0310,0.7958,4,1,"Repairing and Maintaining Electronic Equipment; Monitoring Processes, Materials, or Surroundings; Quality Control Analysis"
3132,4,3116,0.7958,4,1,"Repairing and Maintaining Electronic Equipment; Monitoring Processes, Materials, or Surroundings; Quality Control Analysis"
3132,5,8182,0.7883,4,1,Repairing and Maintaining Mechanical Equipment; Operations Monitoring; Repairing
3133,1,8131,0.7623,1,3,"Operations Monitoring; Operation and Control; Monitoring Processes, Materials, or Surroundings"
3133,2,8114,0.7367,1,4,"Operation and Control; Operations Monitoring; Monitoring Processes, Materials, or Surroundings"
3133,3,7513,0.731,1,2,"Monitoring Processes, Materials, or Surroundings; Operations Monitoring; Operation and Control"
3133,4,8181,0.7047,1,6,Operations Monitoring; Operation and Control; Controlling Machines and Processes
3133,5,8121,0.696,1,5,Operation and Control; Operations Monitoring; Controlling Machines and Processes
3134,1,3132,0.8485,4,4,"Operations Monitoring; Monitoring Processes, Materials, or Surroundings; Repairing and Maintaining Electronic Equipment"
3134,2,8189,0.8263,4,4,Operations Monitoring; Operation and Control; Controlling Machines and Processes
3134,3,7223,0.8032,4,11,Operations Monitoring; Operation and Control; Controlling Machines and Processes
3134,4,8160,0.802,4,5,"Operations Monitoring; Operation and Control; Monitoring Processes, Materials, or Surroundings"
3134,5,8350,0.7946,4,2,Operations Monitoring; Operation and Control; Repairing and Maintaining Mechanical Equipment
3135,1,8121,0.9073,1,5,Operation and Control; Operations Monitoring; Equipment Maintenance
3135,2,8189,0.8802,1,4,Operations Monitoring; Operation and Control; Equipment Maintenance
3135,3,8181,0.8791,1,6,Operations Monitoring; Operation and Control; Equipment Maintenance
3135,4,8114,0.8542,1,4,Operation and Control; Operations Monitoring; Equipment Maintenance
3135,5,8131,0.8535,1,3,Operations Monitoring; Operation and Control; Equipment Maintenance
3139,1,3115,0.6986,1,4,"Programming; Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Technology Design"
3139,2,3113,0.6726,1,2,"Programming; Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Repairing and Maintaining Electronic Equipment"
3139,3,2522,0.6619,1,1,Programming; Technology Design; Operations Analysis
3139,4,2153,0.6618,1,1,"Programming; Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Technology Design"
3139,5,2523,0.6501,1,1,"Programming; Technology Design; Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment"
3141,1,2113,0.5932,2,2,Science; Mathematics; Documenting/Recording Information
3141,2,3117,0.5839,2,2,Science; Documenting/Recording Information; Mathematics
3141,3,3212,0.5787,2,2,Science; Documenting/Recording Information; Processing Information
3141,4,2165,0.5367,2,2,Mathematics; Science; Documenting/Recording Information
3141,5,3119,0.5261,2,10,Science; Documenting/Recording Information; Mathematics
3142,1,3212,0.6032,1,2,Science; Repairing and Maintaining Electronic Equipment; Documenting/Recording Information
3142,2,3117,0.5885,1,2,Science; Repairing and Maintaining Electronic Equipment; Documenting/Recording Information
3142,3,8114,0.5454,1,4,"Monitoring Processes, Materials, or Surroundings; Equipment Maintenance; Operations Monitoring"
3142,4,3116,0.5315,1,1,"Science; Repairing and Maintaining Electronic Equipment; Monitoring Processes, Materials, or Surroundings"
3142,5,0310,0.5315,1,1,"Science; Repairing and Maintaining Electronic Equipment; Monitoring Processes, Materials, or Surroundings"
3143,1,5411,0.7569,1,2,"Operating Vehicles, Mechanized Devices, or Equipment; Staffing Organizational Units; Repairing and Maintaining Mechanical Equipment"
3143,2,3121,0.6458,1,1,"Operating Vehicles, Mechanized Devices, or Equipment; Scheduling Work and Activities; Coordinating the Work and Activities of Others"
3143,3,3123,0.6458,1,1,"Operating Vehicles, Mechanized Devices, or Equipment; Scheduling Work and Activities; Coordinating the Work and Activities of Others"
3143,4,1312,0.6312,1,1,"Operating Vehicles, Mechanized Devices, or Equipment; Scheduling Work and Activities; Staffing Organizational Units"
3143,5,1311,0.6312,1,1,"Operating Vehicles, Mechanized Devices, or Equipment; Scheduling Work and Activities; Staffing Organizational Units"
3151,1,3152,0.8801,2,2,"Repairing and Maintaining Mechanical Equipment; Management of Personnel Resources; Operating Vehicles, Mechanized Devices, or Equipment"
3151,2,7232,0.8418,2,2,Repairing and Maintaining Mechanical Equipment; Repairing; Equipment Maintenance
3151,3,7127,0.7936,2,2,Installation; Repairing and Maintaining Mechanical Equipment; Repairing
3151,4,5411,0.7778,2,2,"Repairing and Maintaining Mechanical Equipment; Operating Vehicles, Mechanized Devices, or Equipment; Guiding, Directing, and Motivating Subordinates"
3151,5,3153,0.76,2,3,"Operating Vehicles, Mechanized Devices, or Equipment; Operation and Control; Repairing and Maintaining Mechanical Equipment"
3152,1,3151,0.8801,2,2,"Repairing and Maintaining Mechanical Equipment; Management of Personnel Resources; Operating Vehicles, Mechanized Devices, or Equipment"
3152,2,3122,0.7988,2,1,"Management of Personnel Resources; Time Management; Guiding, Directing, and Motivating Subordinates"
3152,3,5411,0.7925,2,2,"Operating Vehicles, Mechanized Devices, or Equipment; Guiding, Directing, and Motivating Subordinates; Repairing and Maintaining Mechanical Equipment"
3152,4,3121,0.7887,2,1,"Management of Personnel Resources; Coordinating the Work and Activities of Others; Operating Vehicles, Mechanized Devices, or Equipment"
3152,5,3123,0.7887,2,1,"Management of Personnel Resources; Coordinating the Work and Activities of Others; Operating Vehicles, Mechanized Devices, or Equipment"
3153,1,3151,0.76,3,2,"Operating Vehicles, Mechanized Devices, or Equipment; Operation and Control; Repairing and Maintaining Mechanical Equipment"
3153,2,3257,0.7469,3,4,"Evaluating Information to Determine Compliance with Standards; Operating Vehicles, Mechanized Devices, or Equipment; Inspecting Equipment, Structures, or Materials"
3153,3,3154,0.7317,3,2,Time Management; Coordination; Monitoring
3153,4,3152,0.7247,3,2,"Operating Vehicles, Mechanized Devices, or Equipment; Time Management; Management of Personnel Resources"
3153,5,3131,0.7092,3,4,"Operation and Control; Monitoring Processes, Materials, or Surroundings; Operations Monitoring"
3154,1,3153,0.7317,2,3,Time Management; Coordination; Monitoring
3154,2,3341,0.7023,2,1,Coordination; Time Management; Management of Personnel Resources
3154,3,2224,0.6971,2,3,Coordination; Judgment and Decision Making; Monitoring
3154,4,2221,0.6971,2,3,Coordination; Judgment and Decision Making; Monitoring
3154,5,2223,0.6971,2,3,Coordination; Judgment and Decision Making; Monitoring
3155,1,3522,1.0,1,1,"Repairing and Maintaining Electronic Equipment; Repairing; Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment"
3155,2,3114,1.0,1,1,"Repairing and Maintaining Electronic Equipment; Repairing; Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment"
3155,3,3113,0.9526,1,2,Repairing and Maintaining Electronic Equipment; Repairing; Installation
3155,4,3115,0.8818,1,4,Repairing and Maintaining Electronic Equipment; Installation; Repairing
3155,5,7421,0.8475,1,7,Repairing and Maintaining Electronic Equipment; Installation; Repairing
3211,1,3259,0.7178,5,10,Assisting and Caring for Others; Documenting/Recording Information; Science
3211,2,3240,0.6384,5,2,Assisting and Caring for Others; Science; Documenting/Recording Information
3211,3,3256,0.6118,5,2,Assisting and Caring for Others; Performing for or Working Directly with the Public; Documenting/Recording Information
3211,4,3119,0.5804,5,10,Science; Documenting/Recording Information; Repairing and Maintaining Electronic Equipment
3211,5,3212,0.5786,5,2,Science; Repairing and Maintaining Electronic Equipment; Documenting/Recording Information
3212,1,3117,0.6839,2,2,Science; Repairing and Maintaining Electronic Equipment; Documenting/Recording Information
3212,2,3119,0.6193,2,10,Science; Documenting/Recording Information; Repairing and Maintaining Electronic Equipment
3212,3,3115,0.6133,2,4,Science; Repairing and Maintaining Electronic Equipment; Quality Control Analysis
3212,4,3131,0.6063,2,4,"Monitoring Processes, Materials, or Surroundings; Evaluating Information to Determine Compliance with Standards; Operations Monitoring"
3212,5,3142,0.6032,2,1,Science; Repairing and Maintaining Electronic Equipment; Documenting/Recording Information
3213,1,3256,0.5211,1,2,Assisting and Caring for Others; Performing for or Working Directly with the Public; Documenting/Recording Information
3213,2,4211,0.5183,1,2,Performing for or Working Directly with the Public; Evaluating Information to Determine Compliance with Standards; Mathematics
3213,3,3352,0.4751,1,1,Performing for or Working Directly with the Public; Evaluating Information to Determine Compliance with Standards; Processing Information
3213,4,3354,0.4687,1,2,Performing for or Working Directly with the Public; Evaluating Information to Determine Compliance with Standards; Processing Information
3213,5,4416,0.4496,1,1,Processing Information; Evaluating Information to Determine Compliance with Standards; Establishing and Maintaining Interpersonal Relationships
3214,1,3521,0.5903,4,4,Repairing and Maintaining Electronic Equipment; Technology Design; Equipment Selection
3214,2,3211,0.5733,4,5,Assisting and Caring for Others; Repairing and Maintaining Electronic Equipment; Controlling Machines and Processes
3214,3,3251,0.5472,4,2,Assisting and Caring for Others; Repairing and Maintaining Electronic Equipment; Performing for or Working Directly with the Public
3214,4,7232,0.5468,4,2,Repairing and Maintaining Electronic Equipment; Quality Control Analysis; Repairing
3214,5,3119,0.5279,4,10,Repairing and Maintaining Electronic Equipment; Technology Design; Quality Control Analysis
3230,1,2222,0.8182,1,1,"Assisting and Caring for Others; Identifying Objects, Actions, and Events; Monitoring"
3230,2,2224,0.8092,1,3,"Assisting and Caring for Others; Science; Identifying Objects, Actions, and Events"
3230,3,2223,0.8092,1,3,"Assisting and Caring for Others; Science; Identifying Objects, Actions, and Events"
3230,4,2221,0.8092,1,3,"Assisting and Caring for Others; Science; Identifying Objects, Actions, and Events"
3230,5,3259,0.8067,1,10,"Assisting and Caring for Others; Identifying Objects, Actions, and Events; Monitoring Processes, Materials, or Surroundings"
3240,1,3251,0.653,2,2,Assisting and Caring for Others; Performing for or Working Directly with the Public; Selling or Influencing Others
3240,2,3211,0.6384,2,5,Assisting and Caring for Others; Science; Documenting/Recording Information
3240,3,5329,0.609,2,8,Assisting and Caring for Others; Performing General Physical Activities; Performing for or Working Directly with the Public
3240,4,3259,0.5558,2,10,"Assisting and Caring for Others; Documenting/Recording Information; Monitoring Processes, Materials, or Surroundings"
3240,5,5164,0.5249,2,4,Assisting and Caring for Others; Performing General Physical Activities; Performing for or Working Directly with the Public
3251,1,5329,0.7551,2,8,"Assisting and Caring for Others; Performing for or Working Directly with the Public; Judging the Qualities of Objects, Services, or People"
3251,2,3240,0.653,2,2,Assisting and Caring for Others; Performing for or Working Directly with the Public; Selling or Influencing Others
3251,3,3254,0.6328,2,1,Assisting and Caring for Others; Selling or Influencing Others; Performing for or Working Directly with the Public
3251,4,3230,0.5864,2,1,"Assisting and Caring for Others; Judging the Qualities of Objects, Services, or People; Performing for or Working Directly with the Public"
3251,5,3256,0.5562,2,2,Assisting and Caring for Others; Performing for or Working Directly with the Public; Documenting/Recording Information
3254,1,2261,0.6665,1,4,Assisting and Caring for Others; Performing for or Working Directly with the Public; Selling or Influencing Others
3254,2,3251,0.6328,1,2,Assisting and Caring for Others; Selling or Influencing Others; Performing for or Working Directly with the Public
3254,3,2263,0.6135,1,2,Selling or Influencing Others; Training and Teaching Others; Providing Consultation and Advice to Others
3254,4,5411,0.5987,1,2,Assisting and Caring for Others; Performing for or Working Directly with the Public; Monitoring and Controlling Resources
3254,5,3351,0.5944,1,3,Performing Administrative Activities; Performing for or Working Directly with the Public; Evaluating Information to Determine Compliance with Standards
3256,1,5329,0.6902,2,8,Assisting and Caring for Others; Performing for or Working Directly with the Public; Documenting/Recording Information
3256,2,3259,0.6277,2,10,Assisting and Caring for Others; Documenting/Recording Information; Updating and Using Relevant Knowledge
3256,3,3211,0.6118,2,5,Assisting and Caring for Others; Performing for or Working Directly with the Public; Documenting/Recording Information
3256,4,5419,0.5971,2,7,Assisting and Caring for Others; Performing for or Working Directly with the Public; Documenting/Recording Information
3256,5,5414,0.5957,2,3,"Documenting/Recording Information; Identifying Objects, Actions, and Events; Assisting and Caring for Others"
3257,1,3153,0.7469,4,3,"Evaluating Information to Determine Compliance with Standards; Operating Vehicles, Mechanized Devices, or Equipment; Inspecting Equipment, Structures, or Materials"
3257,2,3359,0.7267,4,1,Quality Control Analysis; Evaluating Information to Determine Compliance with Standards; Documenting/Recording Information
3257,3,3351,0.6635,4,3,Evaluating Information to Determine Compliance with Standards; Documenting/Recording Information; Resolving Conflicts and Negotiating with Others
3257,4,3112,0.6558,4,5,"Evaluating Information to Determine Compliance with Standards; Documenting/Recording Information; Operating Vehicles, Mechanized Devices, or Equipment"
3257,5,3119,0.6479,4,10,Evaluating Information to Determine Compliance with Standards; Documenting/Recording Information; Quality Control Analysis
3259,1,3230,0.8067,10,1,"Assisting and Caring for Others; Identifying Objects, Actions, and Events; Monitoring Processes, Materials, or Surroundings"
3259,2,2222,0.7747,10,1,"Assisting and Caring for Others; Identifying Objects, Actions, and Events; Documenting/Recording Information"
3259,3,2224,0.7447,10,3,Assisting and Caring for Others; Documenting/Recording Information; Science
3259,4,2223,0.7447,10,3,Assisting and Caring for Others; Documenting/Recording Information; Science
3259,5,2221,0.7447,10,3,Assisting and Caring for Others; Documenting/Recording Information; Science
3311,1,3324,0.9599,2,3,Management of Financial Resources; Selling or Influencing Others; Persuasion
3311,2,1346,0.9039,2,2,Management of Financial Resources; Monitoring; Management of Personnel Resources
3311,3,1211,0.8981,2,1,Management of Financial Resources; Mathematics; Judgment and Decision Making
3311,4,2433,0.8939,2,2,Persuasion; Selling or Influencing Others; Management of Financial Resources
3311,5,1212,0.8589,2,3,Management of Financial Resources; Management of Personnel Resources; Persuasion
3312,1,3321,0.8407,2,3,Mathematics; Selling or Influencing Others; Negotiation
3312,2,3353,0.8402,2,2,Communicating with People Outside the Organization; Performing Administrative Activities; Evaluating Information to Determine Compliance with Standards
3312,3,2411,0.8234,2,3,Mathematics; Processing Information; Performing Administrative Activities
3312,4,2423,0.8112,2,4,Performing Administrative Activities; Speaking; Negotiation
3312,5,3354,0.8056,2,2,Performing Administrative Activities; Communicating with People Outside the Organization; Performing for or Working Directly with the Public
3313,1,4311,0.9405,1,2,Mathematics; Performing Administrative Activities; Working with Computers
3313,2,4313,0.8344,1,1,Performing Administrative Activities; Mathematics; Working with Computers
3313,3,4225,0.8181,1,2,Performing Administrative Activities; Working with Computers; Communicating with People Outside the Organization
3313,4,4312,0.8124,1,5,Mathematics; Performing Administrative Activities; Working with Computers
3313,5,4110,0.8086,1,2,Performing Administrative Activities; Working with Computers; Communicating with People Outside the Organization
3315,1,3353,0.7086,3,2,Communicating with People Outside the Organization; Documenting/Recording Information; Performing for or Working Directly with the Public
3315,2,3352,0.6699,3,1,Communicating with People Outside the Organization; Performing for or Working Directly with the Public; Working with Computers
3315,3,3312,0.657,3,2,Communicating with People Outside the Organization; Analyzing Data or Information; Documenting/Recording Information
3315,4,3354,0.6459,3,2,Communicating with People Outside the Organization; Working with Computers; Performing for or Working Directly with the Public
3315,5,3411,0.6245,3,6,"Documenting/Recording Information; Analyzing Data or Information; Identifying Objects, Actions, and Events"
3321,1,3339,0.9131,3,7,Selling or Influencing Others; Persuasion; Negotiation
3321,2,3312,0.8407,3,2,Mathematics; Selling or Influencing Others; Negotiation
3321,3,3311,0.8286,3,2,Selling or Influencing Others; Persuasion; Negotiation
3321,4,2423,0.8268,3,4,Negotiation; Persuasion; Resolving Conflicts and Negotiating with Others
3321,5,3322,0.8223,3,3,Selling or Influencing Others; Persuasion; Negotiation
3322,1,2433,0.894,3,2,Selling or Influencing Others; Persuasion; Negotiation
3322,2,2434,0.8552,3,3,Selling or Influencing Others; Persuasion; Negotiation
3322,3,3339,0.8544,3,7,Selling or Influencing Others; Persuasion; Negotiation
3322,4,4221,0.8269,3,3,Persuasion; Selling or Influencing Others; Negotiation
3322,5,3321,0.8223,3,3,Selling or Influencing Others; Persuasion; Negotiation
3323,1,3311,0.814,3,2,Management of Financial Resources; Negotiation; Persuasion
3323,2,1346,0.8133,3,2,Management of Financial Resources; Management of Material Resources; Negotiation
3323,3,2422,0.8117,3,1,Management of Financial Resources; Negotiation; Management of Material Resources
3323,4,3339,0.8021,3,7,Negotiation; Management of Financial Resources; Persuasion
3323,5,3324,0.8015,3,3,Management of Financial Resources; Negotiation; Persuasion
3324,1,3311,0.9599,3,2,Management of Financial Resources; Selling or Influencing Others; Persuasion
3324,2,1346,0.8723,3,2,Management of Financial Resources; Selling or Influencing Others; Negotiation
