inst,inst_short,field,level,graduates,programmes,share_of_institution,exposure_w,exposure2_w,share_top5_v1,share_top5_v2,share_q1_v1,share_q2_v1,share_q3_v1,share_q4_v1,share_q5_v1,share_q1_v2,share_q2_v2,share_q3_v2,share_q4_v2,share_q5_v2,top_occupations,top_codes
1177,INN,"Naturvitenskap, håndverk og teknikk",Master-nivå,54.000000,4,0.022852,0.467237,0.506243,0.313780,0.333672,0.016773,0.019516,0.264432,0.385499,0.313780,0.018952,0.019739,0.252951,0.374686,0.333672,Høyere saksbehandlere i offentlig og privat virksomhet (15%); Sivilingeniører (bygg og anlegg) (8%); Andre ingeniører (6%); Bioingeniører (6%); Universitets- og høyskolelektorer/-lærere (4%),2422;2142;3119;3212;2310
1177,INN,Ph.d.,Ph.d.,21.000000,5,0.008887,0.490066,0.498640,0.228317,0.168433,0.012807,0.013090,0.066585,0.679200,0.228317,0.010145,0.016379,0.163927,0.641116,0.168433,"Universitets- og høyskolelektorer/-lærere (35%); Legespesialister (9%); Andre sivilingeniører (unntatt elektroteknologi) (8%); Høyere saksbehandlere i offentlig og privat virksomhet (5%); Sivilingeniører (geofag, petro-leumsteknologi, metallurgi mv.) (3%)",2310;2212;2149;2422;2146
1177,INN,Primærnæringsfag,Bachelor-nivå,57.000000,4,0.024122,0.380298,0.390780,0.259344,0.329684,0.086104,0.154637,0.255972,0.243943,0.259344,0.080391,0.256660,0.163847,0.169418,0.329684,Høyere saksbehandlere i offentlig og privat virksomhet (15%); Skogteknikere (10%); Butikkmedarbeidere (8%); Agroteknikere (7%); Selgere (engros) (6%),2422;3143;5223;3142;3322
1177,INN,Primærnæringsfag,Master-nivå,12.000000,1,0.005078,0.497723,0.561554,0.363171,0.480818,0.007673,0.028133,0.148338,0.452685,0.363171,0.007673,0.017903,0.158568,0.335038,0.480818,Høyere saksbehandlere i offentlig og privat virksomhet (31%); Lektorer mv. (videregående skole) (9%); Andre administrative ledere (8%); Administrerende direktører (7%); Agroteknikere (6%),2422;2330;1219;1120;3142
1177,INN,"Samferdsel, sikkerhet og service",Bachelor-nivå,57.000000,1,0.024122,0.423313,0.416396,0.318436,0.333333,0.016760,0.033520,0.513966,0.117318,0.318436,0.031746,0.269841,0.238095,0.126984,0.333333,Høyere saksbehandlere i offentlig og privat virksomhet (18%); Befal med sersjant grad (12%); Andre ingeniører (8%); Vektere (6%); Brannkonstabler (5%),2422;0210;3119;5414;5411
1177,INN,Samfunnsfag og juridiske fag,Bachelor-nivå,264.000000,6,0.111722,0.430248,0.457778,0.353238,0.413366,0.068348,0.074449,0.330200,0.173765,0.353238,0.043910,0.122853,0.329563,0.090307,0.413366,Høyere saksbehandlere i offentlig og privat virksomhet (11%); Butikkmedarbeidere (11%); Kontormedarbeidere (6%); Andre pleiemedarbeidere (6%); Barnehage- og skolefritidsassistenter mv. (5%),2422;5223;4110;5329;5311
1177,INN,Samfunnsfag og juridiske fag,Master-nivå,85.000000,3,0.035971,0.515614,0.604386,0.413801,0.509298,0.008198,0.009127,0.144094,0.424780,0.413801,0.007176,0.018257,0.052711,0.412557,0.509298,Høyere saksbehandlere i offentlig og privat virksomhet (28%); Andre administrative ledere (9%); Politibetjenter mv. (7%); Ledere av helsetjenester (5%); Personal- og karriererådgivere (5%),2422;1219;3355;1342;2423
1177,INN,Økonomiske og administrative fag,Bachelor-nivå,391.000000,16,0.165468,0.498236,0.543157,0.457886,0.578748,0.073835,0.051103,0.131501,0.285674,0.457886,0.067953,0.063580,0.127040,0.162679,0.578748,Høyere saksbehandlere i offentlig og privat virksomhet (6%); Regnskapsførere (6%); Kontormedarbeidere (5%); Butikkmedarbeidere (5%); Kundebehandlere lån og kreditt (4%),2422;3313;4110;5223;3312
1177,INN,Økonomiske og administrative fag,Master-nivå,96.000000,9,0.040626,0.568922,0.659161,0.554105,0.743710,0.009028,0.006493,0.054278,0.376096,0.554105,0.011101,0.005948,0.054176,0.185064,0.743710,"Høyere saksbehandlere i offentlig og privat virksomhet (9%); Revisorer, regnskapsrådgivere (8%); Regnskapsmedarbeidere (6%); Ledere av utdanning og undervisning (6%); Regnskapsførere (5%)",2422;2411;4311;1345;3313
1174,NU,"Helse-, sosial- og idrettsfag",Bachelor-nivå,543.000000,11,0.268812,0.381818,0.330660,0.089101,0.099737,0.029035,0.061441,0.730596,0.089827,0.089101,0.014178,0.072165,0.730934,0.082986,0.099737,Sykepleiere (41%); Vernepleiere (9%); Miljøarbeidere innen sosiale fagfelt (8%); Rådgivere innen sosiale fagfelt (6%); Høyere saksbehandlere i offentlig og privat virksomhet (4%),2223;2224;3412;2635;2422
