styrk08,eloundou_beta,pctl_rank,quintile,n_soc_matched,has_partial_match,max_partial_fanout,manual_map
7421,0.295995,45.71,3,7,1,11,
7422,0.239334,38.13,2,7,1,11,
7511,0.049561,7.83,1,4,1,2,
7512,0.264706,41.92,3,1,0,0,
7513,0.129121,20.45,2,2,1,2,
7514,0.129032,20.2,2,1,1,2,
7515,0.195833,29.8,2,2,1,3,
7522,0.139119,21.46,2,4,0,0,
7531,0.090909,14.65,1,1,0,0,
7532,0.209821,32.07,2,3,1,2,
7534,0.191176,28.54,2,1,0,0,
7535,0.1,16.41,1,1,1,3,
7536,0.058824,9.6,1,1,1,3,
7541,0.066667,10.86,1,1,0,0,
7542,0.135417,20.96,2,1,0,0,
7543,0.416667,62.88,4,1,0,0,
7544,0.220034,33.33,2,3,1,2,
7549,0.146875,23.48,2,2,0,0,
8111,0.039345,4.8,1,6,1,2,
8112,0.106686,17.68,1,2,1,4,
8113,0.042173,6.82,1,6,1,2,
8114,0.095499,15.66,1,4,1,4,
8121,0.095588,15.91,1,5,1,3,
8122,0.084303,13.13,1,3,1,3,
8131,0.122004,18.94,1,3,1,6,
8132,0.38,55.81,3,1,0,0,
8141,0.086664,13.89,1,5,1,6,
8142,0.09411,15.4,1,12,1,3,
8143,0.032258,4.04,1,2,1,3,
8151,0.085714,13.64,1,1,0,0,
8152,0.15625,24.75,2,1,0,0,
8153,0.081395,12.12,1,1,0,0,
8154,0.157895,25.25,2,1,0,0,
8156,0.086957,14.14,1,1,0,0,
8157,0.05,8.08,1,1,0,0,
8160,0.093217,14.9,1,5,1,4,
8171,0.052632,8.33,1,2,1,3,
8172,0.058824,9.85,1,1,0,0,
8181,0.099028,16.16,1,6,1,6,
8182,0.162791,26.26,2,1,0,0,
8183,0.0,0.76,1,1,0,0,
8189,0.120585,18.43,1,4,1,3,
8211,0.060119,10.1,1,2,0,0,
8212,0.112039,17.93,1,5,1,2,
8219,0.235294,37.12,2,1,0,0,
8311,0.236651,37.63,2,6,1,17,
8312,0.25836,40.4,3,3,1,17,
8322,0.277177,43.94,3,5,1,17,
8331,0.316808,48.23,3,4,1,17,
8332,0.30474,46.21,3,2,1,17,
8341,0.09375,15.15,1,2,1,6,
8342,0.01087,2.27,1,5,1,2,
8343,0.20242,31.31,2,5,1,17,
8344,0.180942,27.27,2,2,1,17,
8350,0.021277,3.54,1,2,0,0,
9111,0.0,1.01,1,1,1,2,
9112,0.027778,3.79,1,3,1,3,
9122,0.083333,12.63,1,1,1,2,
9123,0.0,1.26,1,1,1,3,
9129,0.078125,11.62,1,1,0,0,
9211,0.142857,22.73,2,1,1,5,
9212,0.0625,10.35,1,1,1,5,
9213,0.102679,16.92,1,2,1,5,
9214,0.083624,12.88,1,2,1,5,
9215,0.043478,7.32,1,1,1,2,
9216,0.05318,8.59,1,2,1,5,
9311,0.0,1.52,1,1,0,0,
9312,0.008065,1.77,1,2,0,0,
9313,0.010627,2.02,1,7,0,0,
9321,0.1,16.67,1,1,0,0,
9329,0.187081,28.03,2,4,1,3,
9331,0.224617,35.1,2,2,1,4,
9333,0.178483,27.02,2,4,1,3,
9334,0.181818,27.78,2,1,1,2,
9412,0.012346,2.53,1,3,1,2,
9510,0.041667,6.31,1,1,1,4,
9611,0.263531,41.67,3,2,1,17,
9612,0.196429,30.05,2,1,1,2,
9621,0.229246,35.86,2,2,1,4,
9622,0.126755,19.19,1,3,0,0,
9623,0.379464,55.56,3,2,0,0,
9629,0.141575,22.47,2,5,1,2,
