styrk08,mouchel_grounded,mouchel_calibrated,pctl_rank,quintile,quintile_calibrated,n_soc_matched,has_partial_match,max_partial_fanout,manual_map
3214,0.073253,0.030475,18.43,1,1,4,0,0,
3230,0.303186,0.233876,59.85,3,4,1,1,3,
3240,0.128107,0.078299,31.31,2,2,2,1,2,
3251,0.095051,0.063117,25.76,2,2,2,1,2,
3254,0.20872,0.15762,47.22,3,3,1,0,0,
3256,0.136021,0.105249,33.33,2,2,2,0,0,
3257,0.254918,0.160966,53.79,3,3,4,1,17,
3258,0.047453,0.024136,12.88,1,1,1,0,0,
3259,0.183684,0.128919,43.69,3,3,10,1,3,
3311,0.508772,0.404659,79.29,4,4,2,1,9,
3312,0.619494,0.498,90.66,5,5,2,0,0,
3313,0.703602,0.731023,95.96,5,5,1,1,2,
3315,0.502537,0.391127,77.02,4,4,3,0,0,
3321,0.503973,0.420357,77.53,4,4,3,1,9,
3322,0.520868,0.431034,81.06,5,4,4,1,9,
3323,0.604783,0.495718,89.65,5,5,3,0,0,
3324,0.569977,0.470226,86.87,5,5,3,1,9,
3331,0.554879,0.461634,84.34,5,5,2,1,2,
3332,0.445005,0.362182,69.95,4,4,1,0,0,
3333,0.481696,0.440695,72.98,4,4,2,1,2,
3334,0.439579,0.337053,69.7,4,4,4,1,9,
3339,0.61755,0.543798,90.4,5,5,7,1,9,
3341,0.580246,0.425648,88.13,5,4,1,0,0,
3342,0.597901,0.51042,89.14,5,5,1,0,0,
3343,0.502593,0.431524,77.27,4,4,2,0,0,
3351,0.339242,0.253029,63.38,4,4,3,1,3,
3352,0.609559,0.617366,89.9,5,5,1,0,0,
3353,0.571943,0.484269,87.37,5,5,2,1,3,
3354,0.536814,0.446374,81.82,5,5,2,1,3,
3355,0.380933,0.299523,66.41,4,4,2,1,3,
3359,0.09486,0.059416,25.51,2,2,1,1,3,
3411,0.507811,0.504841,78.79,4,5,6,1,2,
3412,0.269959,0.175123,56.06,3,3,1,0,0,
3421,0.028962,0.016444,8.59,1,1,1,0,0,
3422,0.198948,0.156602,46.21,3,3,3,1,6,
3423,0.240525,0.169721,51.77,3,3,4,1,10,
3431,0.227169,0.212143,49.49,3,3,1,0,0,
3432,0.402424,0.339287,67.42,4,4,3,0,0,
3433,0.246569,0.199992,52.78,3,3,3,1,5,
3434,0.221634,0.141101,48.23,3,3,2,1,2,
3511,0.661727,0.622477,92.68,5,5,1,0,0,
3512,0.511694,0.549275,80.05,5,5,1,0,0,
3513,0.624603,0.557109,90.91,5,5,1,0,0,
3514,0.691597,0.649139,94.95,5,5,2,1,2,
3521,0.182974,0.115182,42.68,3,3,5,1,2,
3522,0.333882,0.308864,62.88,4,4,1,1,4,
4110,0.590063,0.538696,88.64,5,5,2,0,0,
4131,0.766875,0.716957,98.23,5,5,1,0,0,
4132,0.719945,0.755082,96.97,5,5,1,0,0,
4211,0.263652,0.183426,55.3,3,3,2,1,2,
4212,0.18669,0.144736,43.94,3,3,5,0,0,
4214,0.546723,0.505552,83.08,5,5,2,0,0,
4221,0.546552,0.479076,82.83,5,5,3,1,9,
4222,0.559659,0.502094,84.6,5,5,2,1,3,
4223,0.361904,0.307844,64.9,4,4,2,0,0,
4224,0.455679,0.324588,70.96,4,4,2,0,0,
4225,0.601753,0.590813,89.39,5,5,2,1,3,
4226,0.492227,0.473476,75.25,4,5,1,1,3,
4227,0.45645,0.395954,71.46,4,4,1,0,0,
4229,0.626507,0.543117,91.41,5,5,1,1,2,
4311,0.685439,0.693471,94.19,5,5,2,1,2,
4312,0.55269,0.489387,84.09,5,5,5,0,0,
4313,0.70242,0.623776,95.71,5,5,1,0,0,
4321,0.22906,0.163361,50.0,3,3,3,1,2,
4322,0.562282,0.48858,85.35,5,5,1,0,0,
4323,0.567676,0.516465,86.62,5,5,1,0,0,
4411,0.304015,0.264171,60.1,4,4,2,1,2,
4412,0.100246,0.069303,27.27,2,2,5,1,4,
4413,0.887208,0.863895,100.0,5,5,1,0,0,
4415,0.314548,0.254721,61.11,4,4,2,0,0,
4416,0.684461,0.633931,93.94,5,5,1,0,0,
5111,0.188382,0.120192,44.44,3,3,3,1,17,
5112,0.241503,0.161242,52.02,3,3,2,1,17,
5113,0.369562,0.246354,65.4,4,4,3,1,10,
5120,0.121911,0.083307,30.3,2,2,5,1,2,
5131,0.050831,0.027151,13.64,1,1,2,1,2,
5132,0.048059,0.008915,13.13,1,1,1,0,0,
5141,0.183405,0.131789,43.43,3,3,3,1,10,
5142,0.173207,0.126104,40.91,3,3,6,1,10,
5151,0.230644,0.151926,50.76,3,3,1,0,0,
5152,0.17187,0.099692,40.66,3,2,2,1,4,
5153,0.022144,0.009172,6.31,1,1,1,1,3,
5161,0.359023,0.264903,64.65,4,4,1,1,3,
5163,0.093528,0.064732,25.0,2,2,3,0,0,
5164,0.157477,0.104228,38.64,2,2,4,1,10,
5165,0.295006,0.227867,58.84,3,4,1,1,6,
5169,0.20174,0.122075,46.46,3,3,5,1,10,
5211,0.120465,0.071092,29.8,2,2,1,1,4,
5212,0.085956,0.043204,22.22,2,1,2,1,4,
5221,0.550819,0.482939,83.59,5,5,1,1,7,
5222,0.305053,0.207137,60.35,4,3,1,0,0,
5223,0.292595,0.164969,58.08,3,3,2,0,0,
