styrk08,aioe,pctl_aioe,q_aioe,aioe_lm,pctl_aioe_lm,q_aioe_lm,aioe_ig,pctl_aioe_ig,q_aioe_ig,n_soc_matched,has_partial_match,max_partial_fanout,manual_map
2265,1.342809,95.66,5,1.363892,95.15,5,1.18357,88.27,5,1,0,0,
2266,0.889587,70.41,4,1.019442,80.87,5,0.116658,55.36,3,2,0,0,
2267,0.115161,53.06,3,0.265705,58.42,3,-0.108261,47.45,3,1,0,0,SOC:29-1122
2269,-0.191176,43.88,3,0.051627,53.06,3,-0.766541,21.17,2,1,0,0,SOC:29-1011
2310,1.23984,89.29,5,1.524427,98.98,5,0.443827,63.01,4,35,0,0,
2320,0.351863,60.2,4,0.486471,63.01,4,-0.01132,51.53,3,3,0,0,
2330,1.191325,86.48,5,1.248528,88.78,5,0.933803,79.59,4,1,0,0,
2341,1.086697,81.89,5,1.150476,85.97,5,0.790808,76.02,4,2,0,0,
2342,0.197521,56.63,3,0.487679,63.27,4,-0.380661,37.24,2,2,0,0,
2351,1.301855,94.39,5,1.32382,93.37,5,1.276163,90.31,5,1,0,0,
2352,0.54047,64.54,4,0.738011,69.64,4,0.000415,52.04,3,5,0,0,
2353,1.066878,80.87,5,1.250334,89.29,5,0.431066,62.24,4,3,1,6,
2354,0.526352,63.78,4,0.824783,72.19,4,-0.040715,48.72,3,1,1,6,
2355,0.925841,72.45,4,1.155461,86.22,5,0.245197,57.91,3,2,1,6,
2356,1.198409,86.73,5,1.322911,92.86,5,0.948062,79.85,4,1,1,2,
2359,1.149629,84.69,5,1.341261,94.9,5,0.479945,64.03,4,2,1,3,
2411,1.426218,98.72,5,1.219239,87.5,5,1.312668,91.33,5,3,0,0,
2412,1.390682,97.7,5,1.334284,94.39,5,0.989379,82.65,5,2,1,2,
2413,1.417316,98.47,5,1.240985,88.52,5,1.26455,89.54,5,3,1,2,
2421,1.36486,96.68,5,1.314455,92.09,5,1.267477,89.8,5,2,0,0,
2422,1.047687,80.36,5,0.92503,75.77,4,1.221236,89.29,5,1,1,2,
2423,1.277449,91.58,5,1.386777,95.41,5,0.791242,76.28,4,4,1,2,
2424,1.198409,86.99,5,1.322911,93.11,5,0.948062,80.1,5,1,1,2,
2431,1.207342,87.24,5,1.263195,91.07,5,1.282979,90.56,5,2,1,2,
2432,1.284927,92.6,5,1.517637,98.72,5,0.690652,71.43,4,1,0,0,
2433,1.103697,82.65,5,1.105856,83.93,5,0.972262,81.63,5,2,1,9,
2434,1.117603,83.42,5,1.079205,83.67,5,1.093207,86.22,5,3,1,9,
2511,1.17621,85.71,5,1.007026,80.36,5,1.572296,94.39,5,2,0,0,
2512,1.242115,89.8,5,1.023686,81.12,5,1.58692,94.64,5,2,0,0,
2513,1.089463,82.14,5,0.788787,71.43,4,1.76461,97.45,5,1,1,2,
2514,1.271506,91.07,5,1.024722,81.38,5,1.673063,96.43,5,1,0,0,
2519,1.232705,88.52,5,1.043586,82.14,5,1.596393,95.15,5,1,1,2,
2521,1.284863,92.35,5,0.995983,79.59,4,1.729621,97.19,5,1,0,0,
2522,0.789532,69.64,4,0.474954,62.24,4,1.475651,92.86,5,1,1,2,
2523,0.580331,65.56,4,0.495418,63.52,4,0.893358,77.81,4,1,0,0,
2529,1.241426,89.54,5,1.044148,82.65,5,1.602745,95.41,5,2,1,2,
2611,1.328783,95.15,5,1.454044,97.45,5,1.035825,84.69,5,1,0,0,
2612,1.435604,99.23,5,1.596706,99.23,5,0.695023,71.68,4,2,0,0,
2619,1.431593,98.98,5,1.647241,99.49,5,0.795794,76.79,4,1,0,0,
2621,0.706613,67.6,4,0.674377,68.37,4,1.079698,85.97,5,2,0,0,
2622,0.743955,68.62,4,0.624949,66.58,4,1.094197,86.73,5,2,0,0,
2631,1.403764,97.96,5,1.330122,93.88,5,1.298786,90.82,5,1,0,0,
2632,1.18133,85.97,5,1.283155,91.33,5,0.957177,80.36,5,3,0,0,
2633,1.281944,91.84,5,1.420684,96.68,5,0.932836,79.34,4,3,1,2,
2634,1.41623,98.21,5,1.460985,97.7,5,1.12694,87.76,5,3,0,0,
2635,0.94997,73.98,4,1.156169,86.73,5,0.302122,59.18,3,8,0,0,
2636,1.246741,90.05,5,1.41257,95.92,5,0.671944,70.92,4,2,0,0,
2641,1.10005,82.4,5,1.225771,88.27,5,1.214441,89.03,5,3,1,2,
2642,1.15745,85.2,5,1.330685,94.13,5,0.905507,78.32,4,2,1,2,
2643,1.219683,87.76,5,1.218392,87.24,5,0.919958,78.83,4,2,1,2,
2651,-0.749289,28.32,2,-0.807914,26.28,2,0.340304,60.97,4,2,1,5,
2652,0.439479,61.73,4,0.66109,67.86,4,-0.532021,31.89,2,2,0,0,
2653,-2.122764,0.0,1,-1.339575,4.34,1,-2.960859,0.0,1,2,0,0,
2654,0.982343,77.04,4,0.747919,70.15,4,1.808509,97.96,5,3,0,0,
2655,0.159093,55.36,3,0.578402,66.07,4,-0.413465,35.97,2,1,0,0,
2656,0.892646,71.17,4,1.042157,81.89,5,0.332186,59.95,3,3,0,0,
3112,0.15467,54.85,3,-0.091491,47.7,3,0.831858,77.04,4,5,1,3,
3113,0.023737,51.02,3,-0.245226,43.37,3,0.668952,70.66,4,2,1,4,
3114,0.351525,59.44,3,0.078001,53.83,3,0.998306,82.91,5,1,1,4,
3115,0.040445,51.53,3,-0.180158,44.64,3,0.498256,64.8,4,4,1,4,
3116,0.194128,56.12,3,-0.079292,48.72,3,0.698802,71.94,4,1,1,4,
3117,0.138697,54.34,3,-0.052914,49.23,3,0.541189,66.58,4,2,1,4,
3118,0.526379,64.29,4,0.228194,56.89,3,1.590282,94.9,5,4,1,2,
3119,0.136338,54.08,3,-0.07607,48.98,3,0.667167,70.41,4,10,1,4,
3121,-0.305405,41.84,3,-0.359874,40.82,3,-0.012418,51.02,3,1,1,2,
3122,-0.084528,47.45,3,-0.037023,49.74,3,-0.23158,42.6,3,1,1,3,
3123,-0.305405,42.09,3,-0.359874,41.07,3,-0.012418,51.28,3,1,1,2,
3131,0.209736,57.14,3,0.046815,52.81,3,0.44542,63.27,4,4,1,3,
3132,-0.510517,36.48,2,-0.594645,33.67,2,-0.327036,39.54,2,4,1,3,
3133,-0.383128,39.54,2,-0.560149,34.69,2,-0.301713,39.8,2,1,0,0,
3134,-0.550384,35.46,2,-0.76728,27.55,2,-0.141221,45.41,3,4,1,2,
3135,-1.167465,10.46,1,-1.303524,5.61,1,-0.755694,21.43,2,1,1,2,
3139,-0.024182,48.98,3,-0.341184,42.09,3,0.546534,67.35,4,1,1,2,
3141,0.15909,55.1,3,-0.005048,51.53,3,0.510101,65.31,4,2,0,0,
3142,0.095719,52.3,3,-0.049232,49.49,3,0.432825,62.5,4,1,0,0,
3143,-0.66724,30.36,2,-0.761146,27.81,2,-0.109964,47.19,3,1,0,0,
3151,-0.189935,44.13,3,-0.249708,43.11,3,-0.063167,47.96,3,2,1,17,
3152,-0.140781,45.92,3,-0.362623,40.56,3,0.513797,65.56,4,2,1,17,
3153,-0.080724,47.7,3,-0.445024,38.27,2,0.78441,75.51,4,3,1,17,
3154,0.649711,66.33,4,0.357716,60.2,4,1.124378,87.5,5,2,1,17,
3155,0.351525,59.69,3,0.078001,54.08,3,0.998306,83.16,5,1,1,4,
3211,-0.205226,43.37,3,-0.230912,43.62,3,-0.178753,44.13,3,5,0,0,
3212,0.077238,51.79,3,-0.162569,45.66,3,0.516559,65.82,4,2,0,0,
3213,0.007026,49.74,3,-0.023386,50.77,3,-0.143305,45.15,3,1,0,0,
3214,0.03446,51.28,3,-0.100386,47.45,3,0.319489,59.69,3,4,0,0,
3230,0.229557,58.42,3,0.278595,58.67,3,-0.134528,46.17,3,1,1,3,
3240,-0.56795,34.69,2,-0.435956,38.52,2,-0.98638,12.76,1,2,1,2,
3251,-0.471692,37.5,2,-0.349161,41.84,3,-0.792341,20.15,2,2,1,2,
3254,0.101397,52.55,3,0.028575,52.55,3,0.267377,58.67,3,1,0,0,
3256,0.114263,52.81,3,0.159275,55.36,3,-0.15601,44.9,3,2,0,0,
3257,0.133259,53.83,3,0.017763,52.04,3,0.380929,61.73,4,4,1,17,
3258,-0.686345,29.85,2,-0.699447,30.87,2,-0.553469,30.87,2,1,0,0,
3259,-0.141814,45.66,3,-0.091401,47.96,3,-0.348799,39.03,2,10,1,3,
3311,1.286246,92.86,5,1.25927,90.31,5,1.021308,84.18,5,2,1,9,
3312,1.38556,97.45,5,1.416389,96.17,5,0.631056,68.62,4,2,0,0,
3313,1.039749,79.85,4,0.818112,71.94,4,0.760053,72.96,4,1,1,2,
3315,0.92628,72.7,4,0.772072,70.41,4,1.056074,85.2,5,3,0,0,
3321,1.328035,94.9,5,1.315853,92.6,5,1.058783,85.46,5,3,1,9,
3322,1.083134,81.63,5,1.123128,84.44,5,0.765025,73.21,4,4,1,9,
3323,1.032237,79.08,4,1.007898,80.61,5,0.782358,75.0,4,3,0,0,
3324,1.325969,94.64,5,1.257692,90.05,5,1.093408,86.48,5,3,1,9,
3331,0.329547,59.18,3,0.258511,58.16,3,0.336473,60.2,4,2,1,2,
3332,0.374021,60.46,4,0.513068,64.03,4,0.199251,56.63,3,1,0,0,
3333,0.462324,62.24,4,0.576535,65.82,4,-0.016552,50.77,3,2,1,2,
