styrk08,aioe,pctl_aioe,q_aioe,aioe_lm,pctl_aioe_lm,q_aioe_lm,aioe_ig,pctl_aioe_ig,q_aioe_ig,n_soc_matched,has_partial_match,max_partial_fanout,manual_map
5223,-0.015592,49.49,3,0.171877,55.61,3,-0.579262,29.59,2,2,0,0,
5230,-0.149091,44.9,3,-0.105666,47.19,3,-0.614094,29.08,2,2,0,0,
5241,-1.122021,11.48,1,-0.503436,36.73,2,-1.800854,1.53,1,1,0,0,
5242,0.123565,53.57,3,0.334189,59.69,3,-0.342609,39.29,2,1,0,0,
5243,1.107101,83.16,5,1.511458,98.47,5,0.047476,53.57,3,1,1,4,
5244,1.118129,83.67,5,1.925633,99.74,5,-1.428249,5.36,1,1,0,0,
5245,-0.537432,35.71,2,-0.520183,35.97,2,-0.490352,33.67,2,2,1,17,
5246,-0.9809,18.88,1,-0.687412,31.38,2,-1.658294,3.06,1,3,1,2,
5249,0.078437,52.04,3,0.14271,55.1,3,-0.423302,35.71,2,1,0,0,
5311,0.023414,50.77,3,0.230211,57.14,3,-0.384231,36.99,2,2,1,10,
5312,0.451664,61.99,4,0.74757,69.9,4,-0.354726,38.78,2,1,0,0,
5321,-0.700293,29.59,2,-0.394744,39.54,2,-1.378616,6.38,1,2,0,0,
5322,-0.262804,42.6,3,0.005687,51.79,3,-0.845293,17.6,1,3,1,10,
5329,-0.60748,32.14,2,-0.401367,39.29,2,-1.062827,11.22,1,8,1,2,
5411,-0.956627,20.15,2,-0.961765,20.66,2,-0.630965,28.06,2,2,1,3,
5413,-0.722982,28.83,2,-0.515261,36.22,2,-1.118,10.2,1,2,0,0,
5414,-0.056435,48.21,3,-0.171008,45.15,3,0.060677,53.83,3,3,1,2,
5419,-0.247868,43.11,3,-0.211324,44.13,3,-0.376786,37.76,2,7,0,0,
6111,-0.81217,25.0,2,-0.898782,23.47,2,-0.557657,30.1,2,2,1,13,
