date,sector,age_group,ai_q,variable,value,value_index
2021-01-16,1,1,1,kontantlonn,26563.30768874087,0.9425435414701465
2021-02-16,1,1,1,kontantlonn,26032.368418234015,0.9237042694113727
2021-03-16,1,1,1,kontantlonn,25716.928884087312,0.9125115557961045
2021-04-16,1,1,1,kontantlonn,25886.694164109223,0.9185353224943439
2021-05-16,1,1,1,kontantlonn,29190.130164107253,1.035750855399452
2021-06-16,1,1,1,kontantlonn,35127.500822780494,1.2464260632169948
2021-07-16,1,1,1,kontantlonn,25717.141296977297,0.912519092824246
2021-08-16,1,1,1,kontantlonn,26612.618560353338,0.9442932348482154
2021-09-16,1,1,1,kontantlonn,26126.621455641427,0.9270486417581175
2021-10-16,1,1,1,kontantlonn,25917.92703707355,0.9196435558152478
2021-11-16,1,1,1,kontantlonn,26219.68380831893,0.9303507651419225
2021-12-16,1,1,1,kontantlonn,26860.95395966264,0.953104898270561
2022-01-16,1,1,1,kontantlonn,27435.565616299984,0.9734937938163726
2022-02-16,1,1,1,kontantlonn,27601.29888284963,0.9793744929304867
2022-03-16,1,1,1,kontantlonn,29424.141456759702,1.044054257788385
2022-04-16,1,1,1,kontantlonn,28018.48168798853,0.994177354200762
2022-05-16,1,1,1,kontantlonn,30806.251181214608,1.0930955371972824
2022-06-16,1,1,1,kontantlonn,35928.151887566666,1.2748354954657228
2022-07-16,1,1,1,kontantlonn,28145.374917741232,0.9986798956598737
2022-08-16,1,1,1,kontantlonn,27968.262273360793,0.9923954230697287
2022-09-16,1,1,1,kontantlonn,28082.291571549038,0.9964415147615122
2022-10-16,1,1,1,kontantlonn,28182.578862413455,1.0
2022-11-16,1,1,1,kontantlonn,27803.069556881546,0.9865339042468518
2022-12-16,1,1,1,kontantlonn,29052.0808481665,1.0308524635022909
2023-01-16,1,1,1,kontantlonn,29511.48983613561,1.0471536327534063
2023-02-16,1,1,1,kontantlonn,28907.130773650504,1.0257092125874743
2023-03-16,1,1,1,kontantlonn,29476.72349479052,1.0459200216805935
2023-04-16,1,1,1,kontantlonn,28436.218538239496,1.008999874605667
2023-05-16,1,1,1,kontantlonn,33016.88859902873,1.1715353928473415
2023-06-16,1,1,1,kontantlonn,39492.65018790563,1.4013142793180007
2023-07-16,1,1,1,kontantlonn,29854.812514804118,1.0593357215659525
