styrk08,navn,navn_en,kortnavn,antall_personer,antall_menn,antall_kvinner,antall_privat,antall_offentlig,antall_13,antall_40,antall_710,kildedato
2423,Personal- og karriererådgivere,,Personal- eller karriererådgiver,15588,4111,11477,10313,5275,1444,5587,2699,2024-11-01
2635,Rådgivere innen sosiale fagfelt,,Barnevern- eller familievernmedarbeider,15317,3004,12313,3764,11553,2457,7420,3877,2024-11-01
2111,Fysikere og astronomer,,Fysiker eller astronom,497,331,166,314,183,77,244,105,2024-11-01
5142,Kosmetologer mv.,,Kosmetolog,2651,196,2455,2603,48,288,1501,461,2024-11-01
2421,Organisasjonsrådgivere mv.,,Organisasjonsrådgiver,13371,6959,6412,11817,1554,1715,6003,2370,2024-11-01
3333,Arbeidsformidlere,,Arbeidsformidler,2475,898,1577,2377,98,332,1276,458,2024-11-01
3342,Advokatsekretær,,Advokatsekretær,800,68,732,800,0,76,345,60,2024-11-01
7234,Sykkelreparatører mv.,,Sykkelreparatør,261,251,10,261,0,32,177,36,2024-11-01
4412,Postbud og postsorterere,,Postbud eller postsorterer,3144,1856,1288,3140,4,255,1261,365,2024-11-01
5132,Bartendere,,Bartender,5924,2784,3140,5895,29,1153,5111,993,2024-11-01
3154,Flygeledere,,Flygeleder,464,350,114,464,0,22,169,57,2024-11-01
2351,Spesialister i pedagogikk,,Undervisningsinspektør eller -konsulent,2051,632,1419,770,1281,215,586,404,2024-11-01
3254,Optikere,,Optiker,1429,452,977,1375,54,180,699,236,2024-11-01
2264,Fysioterapeuter,,Fysioterapeut,6021,1439,4582,1581,4440,794,3048,1490,2024-11-01
3152,Dekksoffiserer og loser,,Dekksoffiser eller los,6647,6393,254,6180,467,739,2952,1179,2024-11-01
3431,Fotografer og filmfotografer,,Fotograf eller filmfotograf,1180,822,358,1132,48,122,611,211,2024-11-01
3434,Sjefskokker,,Sjefskokk,2880,1486,1394,2546,334,125,1000,333,2024-11-01
4223,Sentralbordoperatører,,Sentralbordoperatør,744,202,542,640,104,63,296,69,2024-11-01
4224,Hotellresepsjonister,,Hotellresepsjonist,7495,2441,5054,7458,37,1167,4937,1176,2024-11-01
4225,Informasjonsskrankemedarbeidere,,Informasjonsskrankemedarbeider,429,272,157,353,76,41,180,52,2024-11-01
4226,Resepsjonister (ekskl. hotell),,Resepsjonist (utenom hotell),7170,3455,3715,7002,168,794,4061,1018,2024-11-01
5113,Reiseledere og guider,,Reiseleder eller guide,1362,614,748,1097,265,180,842,161,2024-11-01
5120,Kokker,,Kokk,19365,11168,8197,15750,3615,1888,10199,2782,2024-11-01
5411,Brannkonstabler,,Brannkonstabel,3707,3446,261,640,3067,189,1451,540,2024-11-01
7549,Andre håndverkere,,Håndverker,806,42,764,0,0,96,364,143,2024-11-01
3422,Trenere og idrettsdommere,,Trener eller idrettsdommer,3941,2784,1157,3903,38,542,2529,603,2024-11-01
7522,Møbelsnekkere,,Møbelsnekker,1800,1652,148,1782,18,117,697,226,2024-11-01
