styrk08,navn,navn_en,kortnavn,antall_personer,antall_menn,antall_kvinner,antall_privat,antall_offentlig,antall_13,antall_40,antall_710,kildedato
4312,Forsikrings- og finansmedarbeidere,,Forsikrings- eller finansmedarbeider,362,78,284,357,5,31,127,49,2024-11-01
4313,Lønningsmedarbeidere,,Lønningsmedarbeider,2109,226,1883,1856,253,139,590,229,2024-11-01
4321,Lagermedarbeidere og material-forvaltere,,Lagermedarbeider eller materialforvalter,34495,28070,6425,34095,400,3362,17241,5725,2024-11-01
4322,Logistikkmedarbeidere,,Logistikkmedarbeider,9473,6845,2628,9014,459,902,4148,1566,2024-11-01
4323,Transportfunksjonærer,,Transportfunksjonær,6372,4912,1460,5277,1095,686,2902,1022,2024-11-01
4411,Bibliotekassistenter,,Bibliotekassistent,279,69,210,13,266,33,136,41,2024-11-01
4413,Kodere mv.,,Koder,9,5,4,9,0,0,5,0,2024-11-01
4415,Arkivassistenter,,Arkivassistent,1037,347,690,386,651,63,258,109,2024-11-01
4416,Personalkontormedarbeidere,,Personalkontormedarbeider,792,129,663,777,15,125,541,135,2024-11-01
5111,"Flyverter, båtverter mv.",,"Flyvert, båtvert",2508,583,1925,2508,0,314,1324,395,2024-11-01
5112,Konduktører,,Konduktør,1346,779,567,1335,11,73,534,200,2024-11-01
5131,Servitører,,Servitør,17141,6880,10261,17090,51,2775,13110,2540,2024-11-01
5141,Frisører,,Frisør,8457,991,7466,8442,15,1045,5000,1569,2024-11-01
5151,Renholdsledere i virksomheter,,Renholdsleder i bedrift,2283,568,1715,1635,648,136,587,270,2024-11-01
5152,Husholdere,,Husholder,204,48,156,163,41,5,51,18,2024-11-01
5153,Vaktmestre,,Vaktmester,20101,17806,2295,11468,8633,1179,4885,2016,2024-11-01
5161,Astrologer,,Astrolog,4,0,4,4,0,0,0,0,2024-11-01
5163,Begravelsesbyrå- og krematoriearbeidere,,Begravelsesbyrå- eller krematoriearbeider,856,463,393,844,12,41,230,86,2024-11-01
5164,Dyrepassere og - trenere mv.,,Dyrepasser eller - trener,819,120,699,811,8,118,595,176,2024-11-01
5165,Kjøreskolelærere,,Kjøreskolelærer,1907,1426,481,1907,0,235,937,417,2024-11-01
5169,Andre personlige tjenesteytere,,Personlig assistent,313,158,155,248,65,37,174,44,2024-11-01
5211,Torghandlere,,Torghandler,273,192,81,273,0,16,86,32,2024-11-01
5212,"Gateselgere, mat",,"Gateselger, mat",18,11,7,18,0,4,10,3,2024-11-01
5221,Innehavere av kiosk/liten butikk,,Butikk- eller kioskeier,146,47,99,146,0,4,31,17,2024-11-01
5222,Butikkavdelingssjefer,,Butikkavdelingssjef,5209,2150,3059,5204,5,314,2329,777,2024-11-01
5223,Butikkmedarbeidere,,Butikkmedarbeider,119642,45531,74111,119529,113,16293,76512,17457,2024-11-01
5230,Billettselgere,,Billettselger,350,118,232,266,84,44,217,48,2024-11-01
5241,Mannekenger og modeller,,Mannekeng eller modell,43,9,34,43,0,8,38,10,2024-11-01
5242,Demonstrasjonsselgere,,Demonstrasjonsselger,84,44,40,0,0,9,28,8,2024-11-01
5243,Dørselgere,,Dørselger,227,185,42,227,0,32,162,44,2024-11-01
5244,Telefon- og nettselgere,,Telefon- eller nettselger,3588,2123,1465,3565,23,517,2376,655,2024-11-01
5245,Servicemedarbeidere (bensinstasjon),,Servicemedarbeider (bensinstasjon),508,315,193,508,0,49,262,85,2024-11-01
5246,Gatekjøkken- og kafémedarbeidere mv.,,Gatekjøkken- eller kafémedarbeider,8571,3755,4816,8502,69,1482,6262,1311,2024-11-01
5249,Andre salgsmedarbeidere,,Selger,3251,1804,1447,3212,39,403,2106,576,2024-11-01
5311,Barnehage- og skolefritidsassistenter mv.,,Barnehage- eller skolefritidsassistent,84832,14591,70241,31640,53192,12222,41690,16132,2024-11-01
5312,Skoleassistenter,,Skoleassistent,12410,3793,8617,1803,10607,1538,6201,1534,2024-11-01
5321,Helsefagarbeidere,,Helsefagarbeider,91678,16124,75554,10479,81199,12673,35790,16345,2024-11-01
5322,Hjemmehjelper,,Hjemmehjelper,12548,2638,9910,7895,4653,1552,6767,1590,2024-11-01
5329,Andre pleiemedarbeidere,,Pleiemedarbeider,60069,14543,45526,8338,51731,8396,35754,8044,2024-11-01
5413,Fengselsbetjenter,,Fengselsbetjent,3661,2004,1657,0,0,605,1931,573,2024-11-01
5414,Vektere,,Vekter,9390,7109,2281,8814,576,1647,6392,1940,2024-11-01
5419,Andre sikkerhetsarbeidere,,Sikkerhetsarbeider,2414,1400,1014,1232,1182,262,1374,324,2024-11-01
6111,Korn- og grønnsaksprodusenter,,Korn- eller grønnsaksprodusent,98,79,19,0,0,6,46,9,2024-11-01
6112,Frukt- og bærprodusenter,,Frukt- eller bærprodusent,10,7,3,10,0,0,5,3,2024-11-01
6113,Gartnere,,Gartner,4748,3157,1591,3892,856,452,2111,585,2024-11-01
