nus_kode,nus_kode_forelder,nus_niva,nus_aktiv,nus_navn_nb,nus_kortnavn_nb,nus_navn_en,isced2013_kode,isced2013_navn
642219,6422,5,True,"Bachelor, eksportmarkedsføring, treårig",Eksportmarkedsføring,"Bachelor degree, export marketing, three-year",0414,Marketing and advertising
6121,612,4,True,Litteraturutdanninger,,Literature,,
612101,6121,5,True,"Litteraturutdanning, lavere nivå",Litteratur,"Literature, undergraduate level",0222,History and archaeology
642221,6422,5,True,"Bachelor, reklame, kommunikasjon og merkebygging, treårig","Reklame, kommunikasjon og merkebygging","Bachelor degree, advertising, communication and sponsor development, three-year",0414,Marketing and advertising
642222,6422,5,True,"Høgskolekandidat, markedskommunikasjon, toårig",Markedskommunikasjon,"College degree, marketing communication, two-year",0414,Marketing and advertising
612199,6121,5,True,"Litteraturutdanning, uspesifisert, lavere nivå",Litteratur,"Literature, unspecified, undergraduate level",0222,History and archaeology
642299,6422,5,True,"Markedsføring, uspesifisert, lavere nivå",Markedsføring,"Marketing, unspecified, undergraduate level",0414,Marketing and advertising
6429,642,4,True,"Handel og markedsføring, andre",,"Wholesale and retail sales and marketing, other",,
612202,6122,5,True,"Høgskolekandidat, bibliotek- og informasjonsfag, toårig",Bibliotek- og informasjonsvitenskap,"College degree, library and information science, two-year",0322,"Library, information and archival studies"
612203,6122,5,True,"Litteratur og samfunn, videreutdanning",Litteratur (videreutdanning),"Literature and society, supplementary education",0222,History and archaeology
612205,6122,5,True,Videreutdanning for bibliotekarer,,Supplementary education for librarians,0322,"Library, information and archival studies"
612206,6122,5,True,"Bachelor, bibliotek- og informasjonsvitenskap, treårig",Bibliotek- og informasjonsvitenskap,"Bachelor degree, library and information science, three-year",0322,"Library, information and archival studies"
612207,6122,5,True,"Bachelor, skolebibliotekkunnskap, treårig",Bibliotek- og informasjonsvitenskap,"Bachelor degree, school librarianship, three-year",0322,"Library, information and archival studies"
612299,6122,5,True,"Bibliotekutdanning, uspesifisert, lavere nivå",Bibliotek- og informasjonsvitenskap,"Librarianship, unspecified, undergraduate level",0322,"Library, information and archival studies"
6123,612,4,True,Forfatterutdanninger,,Authorship,,
612399,6123,5,True,"Forfatterutdanning, uspesifisert, lavere nivå",Forfatterutdanning,"Authorship, unspecified, undergraduate level",0232,Literature and linguistics
6129,612,4,True,"Litteratur- og bibliotekutdanninger, andre",,"Literature and librarianship, other",,
612999,6129,5,True,"Litteratur- og bibliotekutdanning, annen, uspesifisert, lavere nivå",Litteratur- og bibliotekutdanning,"Literature and librarianship, other, unspecified, undergraduate level",0222,History and archaeology
6432,643,4,True,Kontorfag,,Office skills,,
6131,613,4,True,Historieutdanninger,,History,,
613101,6131,5,True,"Historie, lavere nivå",Historie,"History, undergraduate level",0222,History and archaeology
613102,6131,5,True,"Bachelor, historie, treårig",Historie,"Bachelor degree, history, three-year",0222,History and archaeology
613199,6131,5,True,"Historieutdanning, uspesifisert, lavere nivå",Historie,"History, unspecified, undergraduate level",0222,History and archaeology
6132,613,4,True,Kunsthistorie,,Art history,,
643999,6439,5,True,"Kontorfag, andre, uspesifiserte, lavere nivå",Kontorfag,"Secretarial and office skills, other, unspecified, undergraduate level",0415,Secretarial and office work
613203,6132,5,True,"Bachelor, kunsthistorie, treårig",Kunsthistorie,"Bachelor degree, art history, three-year",0213,Fine arts
613204,6132,5,True,"Kunstvitenskap, lavere nivå",,"Art science, undergraduate level",0213,Fine arts
6441,644,4,True,Reiselivsfag,,Travel and tourism,,
613302,6133,5,True,"Bachelor, arkeologi, treårig",Arkeologi,"Bachelor degree, archaeology, three-year",0222,History and archaeology
644102,6441,5,True,"Høgskolekandidat, reiseliv og turisme, toårig",Reiseliv og turisme,"College degree, travel and tourism, two-year",1015,"Travel, tourism and leisure"
613402,6134,5,True,"Arkivkunnskap, lavere nivå",Arkiv og dokumentbehandling,"Archival science, undergraduate level",0322,"Library, information and archival studies"
644104,6441,5,True,"Høgskolekandidat, reiselivsadministrasjon, toårig",Reiseliv,"College degree, travel and tourism management, two-year",1015,"Travel, tourism and leisure"
644105,6441,5,True,"Reiselivsfag, ettårig påbygging",Reiseliv,"Travel and tourism, one-year supplement",1015,"Travel, tourism and leisure"
613407,6134,5,True,"Kulturvern/kulturformidling, lavere nivå",Kulturvern / kulturformidling,"Cultural conservation/cultural mediation, undergraduate level",0314,Sociology and cultural studies
613411,6134,5,True,"Høgskolekandidat, kultur- og mediefag, toårig",Kultur- og mediefag,"College degree, culture and media studies, two-year",0314,Sociology and cultural studies
613413,6134,5,True,"Folkekunst, lavere nivå",Tradisjonskunst,"Folk art, undergraduate level",0314,Sociology and cultural studies
613414,6134,5,True,"Kulturfag, lavere nivå",Kultur,"Cultural studies, undergraduate level",0314,Sociology and cultural studies
613415,6134,5,True,"Videreutdanning, kulturfag",,"Supplementary education, cultural studies",0314,Sociology and cultural studies
613416,6134,5,True,"Kulturvitenskap, lavere nivå",Kulturvitenskap,"Culture science, undergraduate level",0314,Sociology and cultural studies
613417,6134,5,True,"Bachelor, folkekunstutdanning, treårig",Tradisjonskunst,"Bachelor degree, folk art studies, three-year",0314,Sociology and cultural studies
613418,6134,5,True,"Bachelor, kunst- og kulturvitenskap, treårig",Kunst- og kulturfag,"Bachelor degree, art and culture science, three-year",0314,Sociology and cultural studies
613419,6134,5,True,"Bachelor, kulturformidling, treårig",Kulturformidling,"Bachelor degree, culture management, three-year",0314,Sociology and cultural studies
644110,6441,5,True,"Bachelor, opplevelses- og attraksjonsutvikling, treårig",Opplevelses- og attraksjonsutvikling,"Bachelor degree, amusement and attractions development, three-year",1015,"Travel, tourism and leisure"
613422,6134,5,True,"Bachelor, kulturfag, treårig",Kultur,"Bachelor degree, culture studies, three-year",0314,Sociology and cultural studies
613423,6134,5,True,"Bachelor, språk- og kulturfag, treårig",Språk- og kulturfag,"Bachelor degree, language and culture studies, three-year",0314,Sociology and cultural studies
6442,644,4,True,Hotell- og restaurantfag,,Hotel and restaurant,,
613426,6134,5,True,"Bachelor, arkivvitenskap, treårig",Arkivvitenskap,"Bachelor degree, archival science, three-year",0322,"Library, information and archival studies"
644202,6442,5,True,"Forkurs for administrasjonslinjen, 1. avd. ved Norsk hotellhøgskole",Hotell- og reiselivsadministrasjon,"Preparatory course for administration programme, part 1 at the former Norwegian College of Hotel Management",1013,"Hotel, restaurants and catering"
644203,6442,5,True,"Høgskolekandidat, hotelladministrasjon, toårig",Hotell- og reiselivsadministrasjon,"College degree, hotel administration, two-year",1013,"Hotel, restaurants and catering"
644205,6442,5,True,"Høgskolekandidat, kjøkken- og restaurantledelse, toårig",Kjøkken- og restaurantledelse,"College degree, kitchen and restaurant management, two-year",1013,"Hotel, restaurants and catering"
644206,6442,5,True,"Servicemanagement, ettårig påbygging",Serviceledelse,"Service management, one-year supplement",1013,"Hotel, restaurants and catering"
644207,6442,5,True,"Visitor Management, ettårig påbygging",Besøksledelse,"Visitor Management, one-year supplement",1013,"Hotel, restaurants and catering"
644209,6442,5,True,"Bachelor, restaurantledelse, treårig",Restaurantledelse,"Bachelor degree, restaurant management, three-year",1013,"Hotel, restaurants and catering"
644210,6442,5,True,"Restaurantledelse, lavere nivå",,"Restaurant management, undergraduate level",1013,"Hotel, restaurants and catering"
644299,6442,5,True,"Hotell- og restaurantfag, uspesifiserte, lavere nivå",Hotell- og restaurantfag,"Hotel and restaurant, unspecified, undergraduate level",1013,"Hotel, restaurants and catering"
6449,644,4,True,"Hotell- og reiselivsfag, andre",,"Hotel, travel and tourism, other",,
644999,6449,5,True,"Hotell- og reiselivsfag, andre, uspesifiserte, lavere nivå",Hotell- og reiseliv,"Hotel, travel and tourism, other, unspecified, undergraduate level",1013,"Hotel, restaurants and catering"
649,64,3,True,"Økonomiske og administrative fag, andre",,"Business and administration, other",,
613505,6135,5,True,"Bachelor, idefag, treårig",Idéhistorie,"Bachelor degree, ideas, three-year",0222,History and archaeology
649906,6499,5,True,"Spesialutdanning for offentlig ansatte, lavere nivå",Spesialutdanning for offentlig ansatte,"Special training for publicly employed staff, undergraduate level",0413,Management and administration
649907,6499,5,True,"Plan og arbeid, toårig videreutdanning",Plan og arbeid (videreutdanning),"Planning and work, two-year supplementary education course",0413,Management and administration
649908,6499,5,True,"Forsikringseksamen, lavere nivå",Forsikringseksamen,"Insurance examination, undergraduate level",0412,"Finance, banking and insurance"
613507,6135,5,True,"Etikk, lavere nivå",,"Ethics, undergraduate level",0223,Philosophy and ethics
613508,6135,5,True,"Bachelor, retorikk, treårig",Retorikk,"Bachelor degree, rhetoric, three-year",0223,Philosophy and ethics
651201,6512,5,True,"Botanikk, lavere nivå",Botanikk,"Botany, undergraduate level",0511,Biology
651299,6512,5,True,"Botaniske fag, uspesifiserte, lavere nivå",,"Botany, unspecified, undergraduate level",0511,Biology
6513,651,4,True,Mikrobiologi og cellebiologi,,Microbiology and cell biology,,
651302,6513,5,True,"Molekylærbiologi, lavere nivå",Molekylærbiologi,"Molecular biology, undergraduate level",0511,Biology
651303,6513,5,True,"Bachelor, molekylærbiologi og biologisk kjemi, treårig",Molekylærbiologi,"Bachelor degree, molecular biology and biological chemistry, three-year",0512,Biochemistry
613599,6135,5,True,"Filosofi og etikk, uspesifisert, lavere nivå",Filosofi og etikk,"Philosophy and ethics, unspecified, undergraduate level",0223,Philosophy and ethics
651409,6514,5,True,"Miljøteknologi, lavere nivå",Miljøteknologi,"Environmental engineering, undergraduate level",0712,Environmental protection technology
651410,6514,5,True,"Miljø- og havbruksteknologi, lavere nivå",,"Environmental and aquaculture technology, undergraduate level",0712,Environmental protection technology
651411,6514,5,True,"Videreutdanning for ingeniører, miljø- og forurensningsstudier",Miljø- og forurensningsstudier (videreutdanning),"Supplementary education for engineers, environmental and pollution studies",0712,Environmental protection technology
613902,6139,5,True,"Forberedende prøver, historisk-filosofiske fag",,"Preliminary examinations, history and philosophy",0223,Philosophy and ethics
613903,6139,5,True,"Områdestudier, lavere nivå",Områdestudier,"Area studies, undergraduate level",0229,Humanities (except languages) not elsewhere classified
651418,6514,5,True,"Bachelor, økologi og naturforvaltning, treårig",Økologi og naturforvaltning,"Bachelor degree, ecology and nature management, three-year",0712,Environmental protection technology
651419,6514,5,True,"Bachelor, landskapsplanlegging, treårig",Landskapsplanlegging,"Bachelor degree, landscape planning, three-year",0712,Environmental protection technology
613906,6139,5,True,"Bachelor, antikke studier, treårig",Antikkens språk og kultur,"Bachelor degree, antique studies, three-year",0222,History and archaeology
613907,6139,5,True,"Bachelor, historie og kulturfag, treårig",Historie og kulturfag,"Bachelor degree, history and culture, three-year",0222,History and archaeology
613908,6139,5,True,"Bachelor, midtøstenkunnskap, treårig",Midtøstenkunnskap,"Bachelor degree, middle east knowledge, three-year",0222,History and archaeology
651901,6519,5,True,"Biologi, lavere nivå",Biologi,"Biology, undergraduate level",0511,Biology
613910,6139,5,True,"Bachelor, europeiske og amerikanske studier, treårig",Europeiske og amerikanske studier,"Bachelor degree, European and American studies, three-year",0222,History and archaeology
651906,6519,5,True,"Bachelor, biomatematikk, treårig",Biomatematikk,"Bachelor degree, biomathematics, three-year",0511,Biology
651907,6519,5,True,"Bachelor, biomedisin, treårig",Biomedisin,"Bachelor degree, biomedicine, three-year",0511,Biology
651910,6519,5,True,"Bachelor, biovitenskap, treårig",,"Bachelor degree, circular bioeconomy, three-year",0511,Biology
613999,6139,5,True,"Historisk-filosofisk utdanning, annen, uspesifisert, lavere nivå",Humaniora,"History and philosophy, other, unspecified, undergraduate level",0229,Humanities (except languages) not elsewhere classified
614,61,3,True,Religionsutdanninger,,Religion,,
652105,6521,5,True,"Bachelor, fysikk og astronomi, treårig",Fysikk og astronomi,"Bachelor degree, physics and astronomy, three-year",0533,Physics
614102,6141,5,True,"Høgskolekandidat, kirkefag, toårig",,"College degree, church studies, two-year",0221,Religion and theology
614103,6141,5,True,"Høgskolekandidat, kristendomskunnskap og menighetsarbeid, toårig",Kristendom og menighet,"College degree, Christian knowledge and church work, two-year",0221,Religion and theology
614105,6141,5,True,"Kateketutdanning, fireårig",Kateketutdanning,"Catechetical training, four-year",0221,Religion and theology
614107,6141,5,True,"Kirkevergeutdanning, treårig",Kirkevergeutdanning,"Churchwarden, three-year",0221,Religion and theology
652211,6522,5,True,"Bachelor, ingeniørfag, kjemi, treårig",Kjemiingeniør,"Bachelor degree, engineering, chemical engineering, three-year",0711,Chemical engineering and processes
614109,6141,5,True,"Kristendom og menighet, lavere nivå",Kristendom og menighet,"Christianity and parish, undergraduate level",0221,Religion and theology
614110,6141,5,True,"Misjonsutdanning, lavere nivå",Menighets- og misjonsarbeid,"Missionary training, undergraduate level",0221,Religion and theology
652215,6522,5,True,"Høgskolekandidat, ingeniørfag, kjemi, toårig",Kjemiingeniør,"College diploma, chemistry, two-year",0711,Chemical engineering and processes
614112,6141,5,True,"Bachelor, ungdom, kultur og tro, treårig","Ungdom, kultur og tro","Bachelor degree, youth, culture and faith, three-year",0221,Religion and theology
614113,6141,5,True,"Bachelor, menighet, organisasjon og ledelse, treårig","Kristendom, ledelse og menighetsutvikling","Bachelor degree, parish, organization and management, three-year",0221,Religion and theology
614115,6141,5,True,"Bachelor, bibeloversettelse, treårig",,"Bachelor degree, bible translation, three-year",0221,Religion and theology
652902,6529,5,True,"Bachelor, materialvitenskap for energi- og nanoteknologi, treårig","Materialer, energi og nanoteknologi","Bachelor degree, materials science for energy and nanotechnology, three-year",0719,Engineering and engineering trades not elsewhere classified
614201,6142,5,True,"Livssynskunnskap, lavere nivå",Livssynskunnskap,"General religious and ethical education, undergraduate level",0221,Religion and theology
652999,6529,5,True,"Fysiske og kjemiske fag, andre, uspesifiserte, lavere nivå",Fysiske og kjemiske fag,"Physics and chemistry, other, unspecified, undergraduate level",0533,Physics
653,65,3,True,Matematikk og statistikk,,Mathematics and statistics,,
614204,6142,5,True,"Religionsfag, lavere nivå",Religion,"Religion, undergraduate level",0221,Religion and theology
614205,6142,5,True,"Religionsvitenskap, lavere nivå",Religionsvitenskap,"Comparative religion, undergraduate level",0221,Religion and theology
614206,6142,5,True,"Teologisk seminar, fireårig",Teologisk seminar,"Theological seminary, four-year",0221,Religion and theology
653103,6531,5,True,"Bachelor, matematiske fag, treårig",Matematikk,"Bachelor degree, mathematics, three-year",0541,Mathematics
653202,6532,5,True,"Statistikk, lavere nivå",Statistikk,"Statistics, undergraduate level",0542,Statistics
653203,6532,5,True,"Bachelor, statistikk, treårig",Statistikk,"Bachelor degree, statistics, three-year",0542,Statistics
653299,6532,5,True,"Statistikk, uspesifisert, lavere nivå",Statistikk,"Statistics, unspecified, undergraduate level",0542,Statistics
6539,653,4,True,"Matematikk og statistikk, andre",,"Mathematics and statistics, other",,
653901,6539,5,True,"Matematikk og statistikk, lavere nivå",Matematikk og statistikk,"Mathematics and statistics, undergraduate level",0541,Mathematics
653902,6539,5,True,"Bachelor, matematikk og statistikk, treårig",Matematikk og statistikk,"Bachelor degree, mathematics and statistics, three-year",0541,Mathematics
653903,6539,5,True,"Bachelor, matematisk finans, treårig",Matematisk finans,"Bachelor degree, mathematical finance, three-year",0541,Mathematics
653999,6539,5,True,"Matematikk og statistikk, andre, uspesifiserte, lavere nivå",Matematikk og statistikk,"Mathematics and statistics, other, unspecified, undergraduate level",0541,Mathematics
654,65,3,True,Informasjons- og datateknologi,,Information and computer technology,,
6541,654,4,True,Informasjons- og datateknologi,,Information and computer technology,,
654101,6541,5,True,"Informasjons- og datateknologi, lavere nivå",Informasjons- og datateknologi,"Information and computer technology, undergraduate level",0619,Information and Communication Technologies (ICTs) not elsewhere classified
654102,6541,5,True,"Drift av datasystemer, lavere nivå",IT-drift,"Operation of computer systems, undergraduate level",0612,Database and network design and administration
654103,6541,5,True,"Høgskolekandidat, data og multimediateknikk, toårig",Data og multimediateknikk,"College degree, data and multimedia technology, two-year",0613,Software and applications development and analysis
654104,6541,5,True,"Høgskolekandidat, drift og vedlikehold av EDB-systemer, toårig",IT-drift,"College degree, operation and maintenance of computer systems, two-year",0612,Database and network design and administration
654105,6541,5,True,"Høgskolekandidat, industriell informasjonsteknologi, toårig",Industriell informasjonsteknologi,"College degree, industrial information technology, two-year",0613,Software and applications development and analysis
654106,6541,5,True,"Høgskolekandidat, informasjonsbehandling, toårig",Informasjonsbehandling,"College degree, information processing, two-year",0611,Computer use
654107,6541,5,True,"Høgskolekandidat, informasjonsteknologi, toårig",Informasjonsteknologi,"College degree, information technology, two-year",0613,Software and applications development and analysis
654109,6541,5,True,"Høgskolekandidat, informatikk, toårig",Informatikk,"College degree, computer science, two-year",0613,Software and applications development and analysis
654113,6541,5,True,"Informatikk og multimedia, lavere nivå",Informatikk og multimedia,"Computer science and multimedia, undergraduate level",0613,Software and applications development and analysis
654116,6541,5,True,"Videreutdanning for ingeniører, informasjons- og datateknologi",IKT (videreutdanning for ingeniører),"Supplementary education for engineers, information and computer technology",0613,Software and applications development and analysis
654118,6541,5,True,"Videreutdanning, informatikk",Informatikk (videreutdanning),"Supplementary education, computer science",0613,Software and applications development and analysis
654119,6541,5,True,"Høgskolekandidat, informatikk og matematikk, toårig",Informatikk og matematikk,"College degree, computer science and mathematics, two-year",0613,Software and applications development and analysis
654120,6541,5,True,"Bachelor, informasjons- og kommunikasjonsteknologi, treårig",Informasjons- og kommunikasjonsteknologi,"Bachelor degree, information and communication technology, three-year",0613,Software and applications development and analysis
654121,6541,5,True,"Bachelor, informatikk, treårig",Informatikk,"Bachelor degree, informatics, three-year",0613,Software and applications development and analysis
654122,6541,5,True,"Bachelor, ingeniørfag, data, treårig","Ingeniør, data","Bachelor degree, engineering, data, three-year",0613,Software and applications development and analysis
654123,6541,5,True,"Bachelor, informatikk og administrasjon, treårig",Informatikk og administrasjon,"Bachelor degree, informatics and administration, three-year",0613,Software and applications development and analysis
654124,6541,5,True,"Bachelor, webbaserte tjenester, treårig",Webutvikling,"Bachelor degree, web-based services, three-year",0612,Database and network design and administration
654125,6541,5,True,"Høgskolekandidat, ingeniørfag, data, toårig",,"College degree, engineering, two-year",0613,Software and applications development and analysis
654126,6541,5,True,"Bachelor, IT-støttet bedriftsutvikling, treårig",IKT-støttet bedriftsutvikling,"Bachelor degree, IT-based business development, three-year",0612,Database and network design and administration
654127,6541,5,True,"Bachelor, portaldesign, treårig",,"Bachelor degree, portal design, three-year",0612,Database and network design and administration
654128,6541,5,True,"Bachelor, anvendt datateknologi, treårig",Anvendt datateknologi,"Bachelor degree, applied data engineering, three-year",0613,Software and applications development and analysis
614212,6142,5,True,"Bachelor, kristendom, kultur og læring, treårig","Kristendom, kultur og læring","Bachelor degree, Christianity, culture and learning, three-year",0221,Religion and theology
654132,6541,5,True,"Bachelor, applied data science, treårig",,"Bachelor degree, applied data science, three-year",0613,Software and applications development and analysis
6149,614,4,True,"Religionsutdanninger, andre",,"Religions, other",,
614901,6149,5,True,"Bachelor, religion og kultur, treårig",Religion og kultur,"Bachelor degree, religion and culture, three-year",0221,Religion and theology
519905,5199,5,True,"Fagskoleutdanning, esoterisk astrologi, del II, halvårig",,"Post-secondary vocational education, esoteric astrology, part II, half-year",0229,Humanities (except languages) not elsewhere classified
519999,5199,5,True,"Humanistiske og estetiske fag, andre, uspesifiserte, påbygging til videregående utdanning",Fagskoleutdanning,"Humanities and arts, other, unspecified, post-secondary non-tertiary education",0229,Humanities (except languages) not elsewhere classified
52,5,2,True,Lærerutdanninger og utdanninger i pedagogikk,,Teacher training and pedagogy,,
521,52,3,True,Førskole-/barnehagelærerutdanninger,,Pre-school-/kindergarten teacher education,,
5211,521,4,True,Førskole-/barnehagelærerutdanninger,,Pre-school-/kindergarten teacher education,,
5219,521,4,True,"Førskole-/barnehagelærerutdanninger, andre",,"Pre-school-/kindergarten teacher education, other",,
416505,4165,5,True,"Eksponeringsdesign, Vg3, grunnkompetanse",,"Exhibition design level 3 (Vg3), basic competence",0212,"Fashion, interior and industrial design"
522,52,3,True,Allmenn-/grunnskolelærerutdanninger,,General-/primary and lower secondary teacher education,,
416507,4165,5,True,"Interiør, Vg3, grunnkompetanse",,"Interior design, upper secondary level 3 (Vg3), basic competence",0212,"Fashion, interior and industrial design"
5221,522,4,True,Allmenn-/grunnskolelærerutdanninger,,General-/primary and lower secondary teacher education,,
416599,4165,5,True,"Interiør- og dekoratørutdanning, uspesifisert, videregående, avsluttende utdanning",Interiør- og dekoratørutdanning,"Interior design and display, unspecified, upper secondary, final year",0212,"Fashion, interior and industrial design"
4166,416,4,True,Konfeksjons- og tekstilkunstutdanninger,,Clothing and textile design,,
416601,4166,5,True,"Bunadtilvirkerfaget, Vg3 (gammel ordning)",Bunadtilvirkerfag,"Folk costume making, upper secondary level 3 (Vg3) (old structure)",0723,"Textiles (clothes, footwear and leather)"
416602,4166,5,True,"Gradørfaget (tilskjæring/design), VK II",Gradørfag,"Pattern grading (cutting/design), Advanced Course II",0723,"Textiles (clothes, footwear and leather)"
522199,5221,5,True,"Allmenn-/grunnskolelærerutdanning, uspesifisert, påbygging til videregående utdanning",,"General-/primary and lower secondary teacher education, unspecified, post-secondary non-tertiary education",0114,Teacher training with subject specialisation
416603,4166,5,True,"Herreskredderfaget, Vg3 (gammel ordning)",Skredderfag,"Men's tailoring, upper secondary level 3 (Vg3) (old structure)",0723,"Textiles (clothes, footwear and leather)"
522901,5229,5,True,"Fagskoleutdanning, verdien av lek i barnehage og skole, ettårig",,"Post-secondary vocational education, special education and multicultural work, one-year",0113,Teacher training without subject specialisation
655220,6552,5,True,"Høgskolekandidat, ingeniørfag, maskin, toårig","Ingeniørfag, maskin","College diploma, mechanical engineering, two-year",0715,Mechanics and metal trades
655221,6552,5,True,"Bachelor, teknologidesign, treårig",Teknologidesign,"Bachelor degree, technology and industrial design, three-year",0711,Chemical engineering and processes
655222,6552,5,True,"Bachelor, ingeniørfag, produktdesign, treårig","Ingeniørfag, produktdesign","Bachelor degree, engineering, product design, three-year",0711,Chemical engineering and processes
655223,6552,5,True,"Bachelor, ingeniørfag, materialteknologi, treårig",,"Bachelor degree, engineering, materials technology, three years",0711,Chemical engineering and processes
615115,6151,5,True,"Bachelor, musikk, treårig",Musikk,"Bachelor degree, music, three-year",0215,Music and performing arts
655299,6552,5,True,"Mekaniske fag, uspesifiserte, lavere nivå",Mekaniske fag,"Mechanical subjects, unspecified, undergraduate level",0715,Mechanics and metal trades
6553,655,4,True,Finmekaniske fag,,Precision mechanics,,
655303,6553,5,True,"Videreutdanning for ingeniører, optikk","Ingeniører, optikk (videreutdanning)","Supplementary education for engineers, optics",0914,Medical diagnostic and treatment technology
655304,6553,5,True,"Bachelor, optikk, treårig",Optikk,"Bachelor degree, optic, three-year",0914,Medical diagnostic and treatment technology
655305,6553,5,True,"Videreutdanning, optikk",,"Supplementary education, optic",0914,Medical diagnostic and treatment technology
655399,6553,5,True,"Finmekaniske fag, uspesifiserte, lavere nivå",Finmekanikk,"Precision mechanics, unspecified, undergraduate level",0715,Mechanics and metal trades
6559,655,4,True,"Utdanninger i elektrofag, mekaniske fag og maskinfag, andre",,"Electrical, electronic, mechanical and machine subjects, other",,
655901,6559,5,True,"Påbygging for ingeniører, vedlikeholds- og sikkerhetsteknologi",,"Supplement for engineers, maintenance and safety technology",0719,Engineering and engineering trades not elsewhere classified
655902,6559,5,True,"Bachelor, ingeniørfag, elektro, mekaniske og maskinfag, treårig","Ingeniørfag, elektro, mekaniske og maskinfag","Bachelor degree, engineering, electronic, mechanical and machine subjects, three-year",0714,Electronics and automation
655903,6559,5,True,"Høgskolekandidat, ingeniørfag, elektro, mekaniske og maskinfag, toårig","Elektro, mekaniske og maskiningeniør","College degree, engineering, electronic, mechanical and machine subjects, two-year",0714,Electronics and automation
615119,6151,5,True,"Bachelor, operautdanning, treårig",Operautdanning,"Bachelor degree, opera studies, three-year",0215,Music and performing arts
656,65,3,True,Geofag,,Earth sciences,,
6561,656,4,True,Geologi,,Geology,,
656101,6561,5,True,"Geologi, lavere nivå",Geologi,"Geology, undergraduate level",0532,Earth sciences
656102,6561,5,True,"Geologi og kjemi, lavere nivå",,"Geology and chemistry, undergraduate level",0532,Earth sciences
656103,6561,5,True,"Bachelor, geologi, treårig",Geologi,"Bachelor degree, geology, three-year",0532,Earth sciences
656199,6561,5,True,"Geologi, uspesifisert, lavere nivå",Geologi,"Geology, unspecified, undergraduate level",0532,Earth sciences
6562,656,4,True,Geofysikk,,Geophysics,,
656201,6562,5,True,"Geofysikk, lavere nivå",Geofysikk,"Geophysics, undergraduate level",0532,Earth sciences
656202,6562,5,True,"Bachelor, ressursgeologi, treårig",Ressursgeologi,"Bachelor degree, resource geology, three-year",0532,Earth sciences
656203,6562,5,True,"Bachelor, geofysikk, treårig",Geofysikk,"Bachelor degree, geophysics, three-year",0532,Earth sciences
656299,6562,5,True,"Geofysikk, uspesifisert, lavere nivå",Geofysikk,"Geophysics, unspecified, undergraduate level",0532,Earth sciences
6563,656,4,True,Naturgeografi,,Natural geography,,
615127,6151,5,True,"Bachelor, musikkformidling, treårig",,"Bachelor degree,music communication, three-year",0215,Music and performing arts
615199,6151,5,True,"Sang- og musikkutdanning, uspesifisert, lavere nivå",Sang- og musikkutdanning,"Vocal and instrumental music, unspecified, undergraduate level",0215,Music and performing arts
6152,615,4,True,Teater- og filmutdanninger,,Theatre and film,,
615203,6152,5,True,"Høgskolekandidat, drama og teaterkommunikasjon, toårig",Drama / teater,"College degree, drama and theatre communication, two-year",0215,Music and performing arts
615204,6152,5,True,"Musikkteater, ettårig, videreutdanning",Musikkteater (videreutdanning),"Musical theatre, one-year, supplementary education",0215,Music and performing arts
6569,656,4,True,"Geofag, andre",,"Earth sciences, other",,
656901,6569,5,True,"Geografiske informasjonssystemer (GIS), ettårig",Geografiske informasjonssystemer (GIS),"Geographic information systems (GIS), one-year",0532,Earth sciences
615208,6152,5,True,"Bachelor, estetiske fag, drama, treårig",Drama / teater,"Bachelor degree, arts, drama, three-year",0215,Music and performing arts
656904,6569,5,True,"Bachelor, geoinformatikk, treårig",Geoinformatikk,"Bachelor degree, geographical informatics, three-year",0532,Earth sciences
656905,6569,5,True,"Bachelor, geomatikk, treårig",Geomatikk,"Bachelor degree, geomatics, three-year",0532,Earth sciences
615212,6152,5,True,"Bachelor, musikkteater, treårig",Musikkteater,"Bachelor degree, musical theatre, three-year",0215,Music and performing arts
615213,6152,5,True,"Bachelor, Den norske filmskolen, treårig",Film,"Bachelor degree, The Norwegian Film School, three-year",0215,Music and performing arts
615214,6152,5,True,"Bachelor, personinstruksjon og regi, treårig",Regi,"Bachelor degree, person direction and stage management, three-year",0215,Music and performing arts
615217,6152,5,True,"Bachelor, teatervitenskap, treårig",,"Bachelor degree, theater science, three years",0215,Music and performing arts
615299,6152,5,True,"Teater- og filmutdanning, uspesifisert, lavere nivå",Teater- og filmutdanning,"Theatre and film, unspecified, undergraduate level",0215,Music and performing arts
6153,615,4,True,Danse- og ballettutdanninger,,Dance and ballet,,
615301,6153,5,True,"Ballettutdanning, treårig",,"Ballet, three-year",0215,Music and performing arts
615302,6153,5,True,"Ballettutdanning, koreografi, treårig","Ballettutdanning, koreografi","Ballet, choreography, three-year",0215,Music and performing arts
615303,6153,5,True,"Folkedans, lavere nivå",,"Folk dance, undergraduate level",0215,Music and performing arts
6571,657,4,True,Bygg og anlegg,,Building and construction,,
657101,6571,5,True,"Fysisk planlegging, lavere nivå",,"Physical planning, undergraduate level",0731,Architecture and town planning
657102,6571,5,True,"Høgskolekandidat, jordskifte, toårig",Jordskifte,"College degree, land consolidation, two-year",0731,Architecture and town planning
615304,6153,5,True,"Ballettutdanning, dans, treårig","Ballettutdanning, dans","Ballet, dance, three-year",0215,Music and performing arts
615305,6153,5,True,"Bachelor, dansevitenskap, treårig",Dans,"Bachelor degree, dance science, three-year",0215,Music and performing arts
