nus_kode,nus_kode_forelder,nus_niva,nus_aktiv,nus_navn_nb,nus_kortnavn_nb,nus_navn_en,isced2013_kode,isced2013_navn
741110,7411,5,True,"Master of International Business, 1½-årig",Internasjonal handel,"Master of International Business, 1½ year",0413,Management and administration
741111,7411,5,True,"Master of Management, toårig",Organisasjon og ledelse,"Master of Management, two-year",0413,Management and administration
741112,7411,5,True,"Master of Science, økonomisk-administrative fag, toårig",Økonomisk-administrative fag,"Master of Science, business administration, two-year",0413,Management and administration
741113,7411,5,True,"Master of Technology Management, toårig",Teknologiledelse,"Master degree, technology management, two-year",0413,Management and administration
741116,7411,5,True,"Master of Science, økonomisk-administrative fag, ettårig",Økonomisk-administrative fag,"Master of Science, business administration, one-year",0413,Management and administration
741118,7411,5,True,"Revisoreksamen, høyere, 1½-årig",Revisorutdanning,"Auditing exam, postgraduate level, 1½-year",0411,Accounting and taxation
741119,7411,5,True,"Master, administrasjon og ledelse, toårig",Organisasjon og ledelse,"Master degree, administration and management, two-year",0413,Management and administration
741120,7411,5,True,"Master, økonomi og ressursforvaltning innen jord- og skogbruk, toårig",Økonomi- og ressursforvaltning,"Master degree, economics and resource management in forestry and agriculture, two-year",0311,Economics
741121,7411,5,True,"Master, økonomi og administrasjon, toårig",Økonomisk-administrative fag,"Master degree, economics and administration, two-year",0311,Economics
741122,7411,5,True,"Master, utdanningsledelse, toårig",Utdanningsledelse,"Master degree, education management, two-year",0413,Management and administration
741123,7411,5,True,"Master, bedriftsledelse/-økonomi, toårig",Økonomi og ledelse,"Master degree, business management/economics, two-year",0413,Management and administration
741124,7411,5,True,"Master, endringsledelse, toårig",Endringsledelse,"Master degree, change management, two-year",0413,Management and administration
741125,7411,5,True,"Siviløkonom/Master, økonomi og administrasjon, toårig",Økonomisk-administrative fag,"Business and economics graduate/Master degree, economics and administration, two-year",0311,Economics
741126,7411,5,True,"Master, verdibasert ledelse, toårig",Verdibasert ledelse,"Master degree, value based management, two-year",0413,Management and administration
741127,7411,5,True,"Master, utdanningsledelse, 1½-årig",Utdanningsledelse,"Master degree, education management, 1½-year",0413,Management and administration
741129,7411,5,True,"Master, finansiell økonomi, toårig",Finansiell økonomi,"Master degree, financial economics, two-year",0412,"Finance, banking and insurance"
741130,7411,5,True,"Master, regnskap og revisjon – høyere revisorstudium, toårig",Revisorutdanning,"Master degree, accounting and graduate public accounting studies, two-year",0411,Accounting and taxation
741131,7411,5,True,"Master of Science, economics and business administration, toårig",Master of Business Administration (MBA),"Master of Science, economics and business administration, two-year",0413,Management and administration
741132,7411,5,True,"Master, ledelse, 1½-årig",Organisasjon og ledelse,"Master degree, management, 1½-year",0413,Management and administration
741133,7411,5,True,"Siviløkonom/Master, økonomi og administrasjon, femårig",Økonomisk-administrative fag,"Business and economics graduate/Master degree, economics and administration, five-year",0311,Economics
741134,7411,5,False,"Master, innovation management, ettårig",,"Master degree, innovation management, one-year",0413,Management and administration
741135,7411,5,True,"Master of Business Administration (MBA), toårig",Business Administration (MBA),"Master of Business Administration (MBA), two-year",0413,Management and administration
741136,7411,5,True,"Master, entreprenørskap og innovasjon, toårig",Entreprenørskap og innovasjon,"Master degree, entrepreneurship and innovation, two-year",0413,Management and administration
741137,7411,5,True,"Master, serviceledelse, 1½-årig",Serviceledelse,"Master degree, service management, 1½-year",0413,Management and administration
