age_group,ai_q,k,coef,se_naive,se,n_obs,n_occ,n_boot
1,1,-22,0.0130610840379122,0.03911191071798,0.0229049069239307,24366,393,200
1,1,-21,0.0218898468238368,0.0336720229044834,0.0212804947808887,24366,393,200
1,1,-20,0.0187678983781383,0.02326729168183,0.0220611744661396,24366,393,200
1,1,-19,0.0186783045618763,0.0198350097674462,0.0235696293853185,24366,393,200
1,1,-18,0.0205330424673091,0.0194037226156776,0.0231526663660841,24366,393,200
1,1,-17,0.0174183124613187,0.0206112538547581,0.0226862130073562,24366,393,200
1,1,-16,0.0304872857585915,0.0240791228658073,0.0142593118293368,24366,393,200
1,1,-15,0.0249049391414658,0.014206064996988,0.0147177072808592,24366,393,200
1,1,-14,0.0144636093543812,0.0137574722634947,0.0164051342750019,24366,393,200
1,1,-13,0.0160279673349828,0.0136158876535425,0.0179595815515152,24366,393,200
1,1,-12,0.0143336228189439,0.0155706472125724,0.00990043523313357,24366,393,200
1,1,-11,0.0163798155336067,0.0284285597307877,0.0113886127500264,24366,393,200
1,1,-10,0.0178042897475615,0.02958452899703,0.0096110801785244,24366,393,200
1,1,-9,0.0134925628127422,0.0253928063739578,0.00947457385477567,24366,393,200
1,1,-8,0.00498461424627365,0.0175359149392059,0.00939208829402101,24366,393,200
1,1,-7,0.00279529888101899,0.0128188035376013,0.0109594531063115,24366,393,200
1,1,-6,0.00111441031637211,0.0111399093092331,0.0116818981958659,24366,393,200
1,1,-5,-0.00150425607247482,0.0106887917702044,0.0111296327989409,24366,393,200
1,1,-4,0.0209208071790376,0.0166037835254406,0.00993866725930926,24366,393,200
1,1,-3,0.00228735495633077,0.00773514818444784,0.00704036860047907,24366,393,200
1,1,-2,0.00108007187721413,0.00508011029765236,0.0041879471239286,24366,393,200
1,1,-1,0,0,0,24366,393,200
1,1,0,-0.0031224955125537,0.0091036660228392,0.00606847339210364,24366,393,200
1,1,1,-0.00127573689076406,0.0172418657436742,0.0128676431501133,24366,393,200
1,1,2,-0.000714942066393737,0.0237153622623545,0.0128699605540007,24366,393,200
1,1,3,-0.00291886143336279,0.0209837674818144,0.00992515370535408,24366,393,200
1,1,4,-0.0172020919932125,0.014484089048442,0.00994073701234839,24366,393,200
1,1,5,-0.0159421704265119,0.013561172003912,0.0104835009853776,24366,393,200
1,1,6,-0.010408308614649,0.011739816794954,0.0114896381822962,24366,393,200
1,1,7,-0.0107868818930578,0.00964186974232916,0.0127450545162863,24366,393,200
1,1,8,0.00445332922830183,0.0155115115445634,0.0172048435292182,24366,393,200
1,1,9,-0.0138928602720075,0.0101125591794541,0.0152516275668767,24366,393,200
1,2,-22,-0.0219053663796829,0.0448476633293915,0.0363402180168551,24366,393,200
1,2,-21,-0.0218858219876384,0.0488370966441749,0.0361898398464482,24366,393,200
1,2,-20,-0.0219146345505328,0.0363805324576619,0.0360523078774608,24366,393,200
1,2,-19,-0.0269088330568609,0.0340462306987017,0.036870219424235,24366,393,200
1,2,-18,-0.0319940578842269,0.0300606966364323,0.0370439194894516,24366,393,200
1,2,-17,-0.0290629447305881,0.0323663057478615,0.0349974227872616,24366,393,200
1,2,-16,0.0112908343463648,0.0255421899064971,0.0221292293368533,24366,393,200
1,2,-15,0.00371285843556927,0.0242228917673505,0.0228541004925679,24366,393,200
1,2,-14,-0.00291072325537772,0.0223960653877116,0.0237377485783833,24366,393,200
1,2,-13,-0.00232400912852307,0.0193149474460537,0.0238937808629404,24366,393,200
1,2,-12,0.0101153678189498,0.0186080482361865,0.0127317812239709,24366,393,200
1,2,-11,0.000251043316529427,0.0305606355499149,0.016183798217156,24366,393,200
1,2,-10,0.000929206405540235,0.0323881245826177,0.0150435658246725,24366,393,200
1,2,-9,-0.0113085269270213,0.034821566827714,0.0254991765258055,24366,393,200
1,2,-8,-0.0214698999078615,0.0312942758465425,0.0194259364391621,24366,393,200
1,2,-7,-0.0214715653389407,0.0217100014852391,0.0203776361029196,24366,393,200
1,2,-6,-0.0267264151033601,0.0163022135580875,0.020457985630728,24366,393,200
1,2,-5,-0.0357195928056869,0.0218495199776944,0.0197515527417583,24366,393,200
1,2,-4,0.0252201449512107,0.0176511457582398,0.0102528253123633,24366,393,200
1,2,-3,0.00391037341389128,0.00947465908419758,0.00726463824496551,24366,393,200
1,2,-2,-0.00052127541710488,0.00597814082012355,0.00426269220657513,24366,393,200
1,2,-1,0,0,0,24366,393,200
1,2,0,-0.00618196784384333,0.0104860273485436,0.0108362570039339,24366,393,200
1,2,1,0.00637201942360457,0.0229396904106728,0.0173660262945519,24366,393,200
1,2,2,-0.00192749392189495,0.0326303431585711,0.021146094062693,24366,393,200
1,2,3,-0.0214494757580638,0.0471267918350136,0.0208540394787919,24366,393,200
1,2,4,-0.0174888337632315,0.0330625974190978,0.0202620109714241,24366,393,200
1,2,5,-0.0198976901944135,0.028649686051032,0.0250529569781583,24366,393,200
1,2,6,-0.0176508548385301,0.0239659017455156,0.0241173620631171,24366,393,200
1,2,7,-0.0145097856978781,0.0278037466078747,0.0227121881357497,24366,393,200
1,2,8,0.0192587410058819,0.0282359896411475,0.0287533711231182,24366,393,200
1,2,9,0.013367642867135,0.0203389998991262,0.0233739009112389,24366,393,200
1,4,-22,0.0240321841048276,0.0408033301868015,0.0238410574879284,24366,393,200
1,4,-21,0.0225913487959713,0.0356289820194513,0.0229462233550753,24366,393,200
1,4,-20,0.019215460927775,0.0198076230555556,0.0240048622040585,24366,393,200
1,4,-19,0.0166747414031218,0.0155738120021849,0.0255350331418443,24366,393,200
1,4,-18,0.0152974568655025,0.015936202309026,0.0254180000921175,24366,393,200
1,4,-17,0.00716227053847224,0.018380667324755,0.0263581934352442,24366,393,200
1,4,-16,0.0379994077273083,0.0260462096817549,0.0147375886382466,24366,393,200
1,4,-15,0.0281889156750183,0.0167799639107695,0.014946276965806,24366,393,200
1,4,-14,0.0211682960136767,0.0149053808343591,0.0163138398493216,24366,393,200
1,4,-13,0.0207043996188611,0.0142286459545033,0.0176756314150898,24366,393,200
1,4,-12,0.0223758156928267,0.014597492882392,0.0111121279543213,24366,393,200
1,4,-11,0.0325744926708086,0.0294633231974658,0.0123679604575952,24366,393,200
1,4,-10,0.0184785792618194,0.0336888739463206,0.0113369597611747,24366,393,200
1,4,-9,0.00814856452679443,0.0321022295604572,0.0103043187773745,24366,393,200
1,4,-8,-0.00173626769742292,0.019188267417669,0.0108196118834827,24366,393,200
1,4,-7,-0.00302094331053121,0.0109590724737152,0.0123100912856867,24366,393,200
1,4,-6,-0.00788554819847833,0.00975891651639662,0.014405448754427,24366,393,200
1,4,-5,-0.0094848615390552,0.00854071675899762,0.0137066734311595,24366,393,200
1,4,-4,0.0275796251970396,0.0175180074192189,0.0117572715046654,24366,393,200
1,4,-3,0.0048849160105747,0.00729609072020373,0.00627291446235071,24366,393,200
1,4,-2,0.00452442165802624,0.0050355634517693,0.00378629143676535,24366,393,200
1,4,-1,0,0,0,24366,393,200
1,4,0,0.00380256806848654,0.0105544526656444,0.00877263259211903,24366,393,200
1,4,1,0.0187091333806114,0.0225890276355934,0.0136935042477986,24366,393,200
1,4,2,-0.000335109189809432,0.0353055147805007,0.0128629865322631,24366,393,200
1,4,3,-0.00472372724337053,0.0334256617577526,0.0101009618387246,24366,393,200
1,4,4,-0.0198566202581837,0.0219896456051687,0.0121928818376699,24366,393,200
1,4,5,-0.031758339031812,0.0164237132876639,0.0164983103747405,24366,393,200
1,4,6,-0.0363462354549536,0.0161084882055232,0.018055311687397,24366,393,200
1,4,7,-0.0348153832974687,0.0140787328622847,0.0164267522633785,24366,393,200
1,4,8,-0.0203003750988777,0.0208470296346038,0.0181650275088489,24366,393,200
1,4,9,-0.0316261417513029,0.0167043537005465,0.0167909362199491,24366,393,200
1,5,-22,0.0367040468770135,0.0389983256520029,0.0251618454356642,24366,393,200
1,5,-21,0.0348036215012662,0.0330470271237067,0.0236005436868579,24366,393,200
1,5,-20,0.0406797823009628,0.020447606321151,0.0238623452983447,24366,393,200
1,5,-19,0.0394785757823739,0.0169071185299216,0.0246348320119608,24366,393,200
1,5,-18,0.0365851282160525,0.0163945233685322,0.0241958582460227,24366,393,200
1,5,-17,0.0320680785132701,0.0173704328685366,0.0233836067383109,24366,393,200
1,5,-16,0.0495305489290638,0.0238933375347725,0.0145560766026113,24366,393,200
1,5,-15,0.0481302578825204,0.01352896102254,0.014283321020154,24366,393,200
1,5,-14,0.0388431024433909,0.0128811826794428,0.0162131705973688,24366,393,200
1,5,-13,0.033032676234361,0.0133142084226729,0.0173918888082099,24366,393,200
1,5,-12,0.0359758499340809,0.0159190675068346,0.00991410059710779,24366,393,200
1,5,-11,0.0421164524702758,0.0258008387201068,0.0116425487363674,24366,393,200
1,5,-10,0.0305104834016137,0.0268121240115346,0.00913180041998561,24366,393,200
1,5,-9,0.0209337481311073,0.0229311129884291,0.00962334307511035,24366,393,200
1,5,-8,-0.000590374996646964,0.0165198684518022,0.0122612089427079,24366,393,200
1,5,-7,0.00854564068133387,0.0103888489104698,0.0103376343964028,24366,393,200
1,5,-6,0.00671211488644778,0.00903298600862573,0.0113602399952515,24366,393,200
1,5,-5,0.00579826161193663,0.00897320835612821,0.0114128462231717,24366,393,200
1,5,-4,0.0298787825498976,0.0155676382776775,0.00952261296690441,24366,393,200
1,5,-3,0.0174415007270532,0.00544410334970856,0.00638226301971004,24366,393,200
1,5,-2,0.00554499750537604,0.00405304077862558,0.00398360954944786,24366,393,200
1,5,-1,0,0,0,24366,393,200
1,5,0,-0.00558218248080912,0.0133078428479082,0.00938175167774559,24366,393,200
1,5,1,-0.000348589457489626,0.0177729870918349,0.0138131816039444,24366,393,200
1,5,2,-0.012699688323447,0.0233970156532921,0.013410426531163,24366,393,200
1,5,3,-0.0207132883887229,0.0221445132599368,0.0126565795201799,24366,393,200
1,5,4,-0.0313207690585859,0.0153212147153223,0.012659686491619,24366,393,200
1,5,5,-0.0421689879112958,0.0154525432856283,0.0134406388716502,24366,393,200
1,5,6,-0.0450077663982867,0.0139395166778094,0.0137338000577037,24366,393,200
1,5,7,-0.0535769319935587,0.0130855354055975,0.0142341964268735,24366,393,200
1,5,8,-0.0353447887185597,0.0170787813072226,0.0179714146518529,24366,393,200
1,5,9,-0.0456497784089097,0.0118772625464314,0.0153137839273658,24366,393,200
2,1,-22,0.0250976480714562,0.0257934547689634,0.0165302021271965,24242,391,200
2,1,-21,0.0264764090083924,0.0230384349785398,0.0165691507183532,24242,391,200
2,1,-20,0.0235872416606914,0.0206660567013371,0.0158804230780689,24242,391,200
2,1,-19,0.0262257770937845,0.0193731326364332,0.0168644903429975,24242,391,200
2,1,-18,0.0259390389791418,0.0176427105731171,0.0152921255777477,24242,391,200
2,1,-17,0.0206762214185373,0.017938459329026,0.0154793339493996,24242,391,200
2,1,-16,0.0272034171535302,0.017388248911951,0.0138291740341991,24242,391,200
2,1,-15,0.0195477630042826,0.0138325577306738,0.0135025380954368,24242,391,200
2,1,-14,0.0151290220594968,0.0130934972414918,0.0129745082991699,24242,391,200
2,1,-13,0.0186822715762526,0.0125948807098884,0.0130987027318682,24242,391,200
2,1,-12,0.0138206827558037,0.0128171994175447,0.00904884217456774,24242,391,200
2,1,-11,0.00763879820303084,0.0173871610090389,0.00887918144168708,24242,391,200
2,1,-10,0.0180043216270526,0.016285149457601,0.00777435008446981,24242,391,200
2,1,-9,0.0138181864937434,0.013677451254465,0.00720377254703891,24242,391,200
2,1,-8,0.00590312956044046,0.0118924753846184,0.00758895751206199,24242,391,200
2,1,-7,0.00358780988389334,0.00915785027305423,0.00723690273526921,24242,391,200
2,1,-6,-0.00265738507329986,0.00880227249817713,0.00765158178648835,24242,391,200
2,1,-5,-0.00732835550741887,0.00904883060342639,0.00746319124507155,24242,391,200
2,1,-4,0.00102801657908532,0.00863535005271976,0.00522829467549562,24242,391,200
2,1,-3,-0.00928410239249095,0.00503845586075926,0.00440706640587045,24242,391,200
2,1,-2,-0.00413111447959868,0.00400175688602148,0.00435020903705992,24242,391,200
2,1,-1,0,0,0,24242,391,200
2,1,0,-0.00951243588945188,0.00466984687905489,0.00579745254792469,24242,391,200
2,1,1,-0.0129824717639927,0.00858957737971553,0.00842495569528326,24242,391,200
2,1,2,0.00100815109828871,0.010121771484685,0.00821158677565545,24242,391,200
2,1,3,-0.0100105497663163,0.00901228462955678,0.00889477368732786,24242,391,200
2,1,4,-0.0146965492847483,0.00757844551682417,0.0086171952873855,24242,391,200
2,1,5,-0.0154701948412165,0.00670948981443901,0.00770263158654341,24242,391,200
2,1,6,-0.0089728596903126,0.00655035116195958,0.00863102560318252,24242,391,200
2,1,7,-0.010636296358986,0.00747990019419451,0.00875208390453177,24242,391,200
2,1,8,-0.00735974275819689,0.00992378525378238,0.00945768307159836,24242,391,200
2,1,9,-0.0124856743401816,0.00886632386148151,0.00969067402320316,24242,391,200
2,2,-22,0.00963795477232995,0.0333609488895355,0.0348428910724154,24242,391,200
2,2,-21,0.00677597739193095,0.0368147136573626,0.0348716993359777,24242,391,200
