age_bin,ai_q,k,coef,se,n_obs,n_occ
1,2,-22,0.0114680646846541,0.0596918226096839,24366,393
1,2,-21,-0.00673942955510665,0.0746560889039723,24366,393
1,2,-20,-0.0173708189581647,0.0705500710496915,24366,393
1,2,-19,-0.0152627390364558,0.0782579040695219,24366,393
1,2,-18,-0.00943333596631274,0.0769868071265972,24366,393
1,2,-17,0.00750369185551321,0.0500554460285656,24366,393
1,2,-16,0.0143686028978068,0.0558071383179116,24366,393
1,2,-15,0.0141721116647117,0.0688478537111589,24366,393
1,2,-14,0.0322190434651091,0.0478894723972958,24366,393
1,2,-13,0.00573040837290268,0.0157874928749523,24366,393
1,2,-12,0.0126761567304969,0.0159602862355103,24366,393
1,2,-11,0.0278856284964246,0.0193484843805853,24366,393
1,2,-10,0.0235287374827436,0.0409094363601042,24366,393
1,2,-9,0.0252084865604616,0.0363360395276999,24366,393
1,2,-8,0.00599101962024224,0.0243644360044524,24366,393
1,2,-7,0.0158927787175369,0.0207306018763355,24366,393
1,2,-6,0.0240668407828472,0.0168735881445083,24366,393
1,2,-5,0.0347492191426767,0.0180843776986856,24366,393
1,2,-4,0.013823642928832,0.0347809233860324,24366,393
1,2,-3,0.0139568407343893,0.0546860105255746,24366,393
1,2,-2,0.033220948025529,0.0383468072024917,24366,393
1,2,-1,0,0,24366,393
1,2,0,0.0068908952060539,0.0130462912807723,24366,393
1,2,1,0.0313512951908069,0.024843774304874,24366,393
1,2,2,0.0330195279862685,0.0224873691353431,24366,393
1,2,3,0.0412901319479254,0.0250682190493952,24366,393
1,2,4,0.0367114319618714,0.0281037736587904,24366,393
1,2,5,0.0352934077971803,0.0279776550253832,24366,393
1,2,6,0.0484921567263737,0.0231137850413155,24366,393
1,2,7,0.0605824820855196,0.0218835979938343,24366,393
1,2,8,0.0483818827424731,0.0336366490707222,24366,393
1,2,9,0.0224414398563343,0.0488611497066348,24366,393
1,2,10,0.0303676548629723,0.0235049394355723,24366,393
1,2,11,0.0145513640838555,0.0153854986791487,24366,393
1,2,12,0.0280611675059622,0.0234025978101697,24366,393
1,2,13,0.049719061102507,0.0316930187935167,24366,393
1,2,14,0.05449434582451,0.0304076666519689,24366,393
1,2,15,0.0550090319839096,0.0341361308803505,24366,393
1,2,16,0.0528956784766242,0.0375561729170695,24366,393
1,2,17,0.0608426031420888,0.0352947738889804,24366,393
1,2,18,0.0629793428953332,0.0334322574511816,24366,393
1,2,19,0.0667900067963531,0.0316541759277422,24366,393
1,2,20,0.0676641425959813,0.0380785553886936,24366,393
1,2,21,0.0433825784288702,0.0490317339077284,24366,393
1,2,22,0.048348043628057,0.0293708942961132,24366,393
1,2,23,0.0293283564027925,0.0250458043372499,24366,393
1,2,24,0.0388214865290708,0.0318519868127174,24366,393
1,2,25,0.0682322313675088,0.0374075426909486,24366,393
1,2,26,0.083631879655659,0.0359964374528697,24366,393
1,2,27,0.079272838312318,0.0391117235411165,24366,393
1,2,28,0.0694919214212886,0.0431841654524463,24366,393
1,2,29,0.0743026296225005,0.0432793655132423,24366,393
1,2,30,0.0672188051199172,0.0390117607553317,24366,393
1,2,31,0.0903541588264967,0.040281805072917,24366,393
1,2,32,0.0820102545397124,0.0500981735117816,24366,393
1,2,33,0.0600203491765078,0.0592573055951097,24366,393
1,2,34,0.0612408155763261,0.0385150300581616,24366,393
1,2,35,0.0483863788313084,0.0383738501680805,24366,393
1,2,36,0.0629871210885543,0.0447261206590503,24366,393
1,2,37,0.0844301369762009,0.0487131656418588,24366,393
1,2,38,0.0916828403584073,0.0427535417964734,24366,393
1,2,39,0.0903570260014362,0.046321086297185,24366,393
1,3,-22,0.0925286298693434,0.06121426574079,24366,393
1,3,-21,0.0641126451989762,0.0526060819956302,24366,393
1,3,-20,0.0586641479576003,0.0509624390395154,24366,393
1,3,-19,0.0429892307244666,0.049260953094457,24366,393
1,3,-18,0.0379251681159877,0.0537217142000566,24366,393
1,3,-17,0.0378468894729804,0.0558150345858872,24366,393
1,3,-16,0.0155201451367675,0.0531044623481236,24366,393
1,3,-15,-0.0191455556735529,0.0644964717430743,24366,393
1,3,-14,-0.00223224553085579,0.0359936936376485,24366,393
1,3,-13,0.0165439737593377,0.0233301315607428,24366,393
1,3,-12,0.0261214147930024,0.025267719681869,24366,393
1,3,-11,0.0539306166985141,0.0305105953493994,24366,393
1,3,-10,0.0593334075040261,0.0475389780173489,24366,393
1,3,-9,0.0400181664781567,0.033053625577539,24366,393
1,3,-8,0.0328619503157211,0.0315853375074742,24366,393
1,3,-7,0.0256042290468106,0.03614851534594,24366,393
1,3,-6,0.0119805357352245,0.0397661696108095,24366,393
1,3,-5,0.00792430471150545,0.0403167673791274,24366,393
1,3,-4,-0.0145998743444001,0.0346873292081991,24366,393
1,3,-3,-0.0474614758216563,0.0469024034074126,24366,393
1,3,-2,-0.0278573029972647,0.021697613390856,24366,393
1,3,-1,0,0,24366,393
1,3,0,0.0226968462191673,0.00857078659624627,24366,393
1,3,1,0.0402467529169756,0.0160269430377282,24366,393
1,3,2,0.0521350554968264,0.0241118237010563,24366,393
1,3,3,0.041782532866909,0.0221285662701323,24366,393
1,3,4,0.0366095138233209,0.0249791637527989,24366,393
1,3,5,0.0337350852119777,0.0258635467091056,24366,393
1,3,6,0.0319281187147517,0.0283173105198935,24366,393
1,3,7,0.0365310085101615,0.0259627009794247,24366,393
1,3,8,0.0110360070789845,0.0208031322782219,24366,393
1,3,9,-0.0304798548969932,0.0383046120315924,24366,393
1,3,10,-0.0109933314476861,0.025365607080483,24366,393
1,3,11,0.0223694928133753,0.0250605842270126,24366,393
1,3,12,0.0468685204146977,0.0288250756561974,24366,393
1,3,13,0.0687492817110423,0.0300636123097461,24366,393
1,3,14,0.0730174952095604,0.0245121454957648,24366,393
1,3,15,0.0591808359219566,0.0338308107818427,24366,393
1,3,16,0.0559125122337368,0.0334520622008243,24366,393
1,3,17,0.0470371569048347,0.0300474595656902,24366,393
1,3,18,0.0437386424140682,0.0294549613419771,24366,393
1,3,19,0.0326328670495095,0.0259883025042488,24366,393
1,3,20,0.00907430961688518,0.0200090705559908,24366,393
1,3,21,-0.0233724118739088,0.033392128223775,24366,393
1,3,22,0.0037512908797266,0.0307679738198163,24366,393
1,3,23,0.032046552554653,0.0337675068376789,24366,393
1,3,24,0.0487142027864234,0.0347646084636302,24366,393
1,3,25,0.0847858186043768,0.0320367018667651,24366,393
1,3,26,0.0885999721788604,0.0266178512565662,24366,393
1,3,27,0.0704203643762629,0.0355475806869211,24366,393
1,3,28,0.0681921643330582,0.0376637243858917,24366,393
1,3,29,0.0657529805542338,0.0359707581285216,24366,393
1,3,30,0.0433528749099211,0.0328416877520139,24366,393
1,3,31,0.0461606607142632,0.0319416287104737,24366,393
1,3,32,0.0245936858032931,0.0320126874886188,24366,393
1,3,33,-0.0145766220892759,0.0481722877549784,24366,393
1,3,34,0.0140106768590147,0.0408899511101969,24366,393
1,3,35,0.0466096424645086,0.0356375543670722,24366,393
1,3,36,0.064004071471187,0.0363062431568082,24366,393
1,3,37,0.0824803650108544,0.0333800187916878,24366,393
1,3,38,0.0814583057950324,0.02960240570313,24366,393
1,3,39,0.069850041326268,0.0346920671964435,24366,393
1,4,-22,-0.218621660987923,0.0896336795733597,24366,393
1,4,-21,-0.150942521388282,0.0548462058728078,24366,393
1,4,-20,-0.101893203756159,0.0614743310346716,24366,393
1,4,-19,-0.109525015951267,0.0722054325565671,24366,393
1,4,-18,-0.217077804536324,0.0553860735606634,24366,393
1,4,-17,-0.21443040110059,0.0519170455559877,24366,393
1,4,-16,-0.247516261093987,0.107384785581216,24366,393
1,4,-15,-0.259022645246359,0.120468838595669,24366,393
1,4,-14,-0.133901361173233,0.0474654545995324,24366,393
1,4,-13,-0.057127368084217,0.0304028455660769,24366,393
1,4,-12,-0.0331354691184006,0.0472401868252359,24366,393
1,4,-11,-0.0272773195041324,0.0474060865485597,24366,393
1,4,-10,-0.163016742092424,0.0533486249657767,24366,393
1,4,-9,-0.110408719083127,0.031882876745444,24366,393
1,4,-8,-0.0745344655561256,0.0301795536026769,24366,393
1,4,-7,-0.071471982215156,0.0343546415241879,24366,393
1,4,-6,-0.122195541335021,0.022309128813509,24366,393
1,4,-5,-0.149233775166971,0.0596600632630985,24366,393
1,4,-4,-0.201021884877079,0.137122207196136,24366,393
1,4,-3,-0.195095531813733,0.144430621134503,24366,393
1,4,-2,-0.0813114182741334,0.0671430994713006,24366,393
1,4,-1,0,0,24366,393
1,4,0,0.0303556231064122,0.019025100932401,24366,393
1,4,1,0.025790088150952,0.0242579252195847,24366,393
1,4,2,-0.108813752101925,0.0886615619889695,24366,393
1,4,3,-0.0328771022214109,0.0380514678331676,24366,393
1,4,4,-0.0131438520584138,0.0208885058137887,24366,393
1,4,5,-0.0139918865590764,0.0188520735864832,24366,393
1,4,6,-0.0666296634246218,0.0485075018816746,24366,393
1,4,7,-0.112222235525758,0.0882075395711235,24366,393
1,4,8,-0.155718018878706,0.150830186358636,24366,393
1,4,9,-0.13960249961195,0.152877813153119,24366,393
1,4,10,-0.0343057696305237,0.0767670741681786,24366,393
1,4,11,-0.00432019409062916,0.0408367502972687,24366,393
1,4,12,0.0171684851406546,0.0229139645026451,24366,393
1,4,13,0.00129363421496395,0.0233495150810532,24366,393
1,4,14,-0.0813355155607122,0.0806369972812057,24366,393
1,4,15,-0.0424032394293074,0.0498858928900489,24366,393
1,4,16,-0.0231145901215908,0.0378853474479022,24366,393
1,4,17,-0.0369258924742209,0.0375033498683985,24366,393
1,4,18,-0.0954359072940915,0.0625377612909427,24366,393
1,4,19,-0.135082561170149,0.0968271201328938,24366,393
1,4,20,-0.188278698639252,0.156617525770864,24366,393
1,4,21,-0.17672504451332,0.171280651672046,24366,393
1,4,22,-0.0631273400662436,0.0921167771985412,24366,393
1,4,23,-0.0326191748786086,0.0586174067619016,24366,393
1,4,24,-0.0230258756428742,0.0384011623557931,24366,393
1,4,25,-0.0291878377210439,0.0438197002428573,24366,393
1,4,26,-0.0778873507429355,0.0840912356565068,24366,393
1,4,27,-0.0539222728705835,0.0693729667608333,24366,393
1,4,28,-0.0373166293555071,0.0585701105752801,24366,393
1,4,29,-0.0411865349887023,0.0529344602537011,24366,393
1,4,30,-0.136474918219319,0.0993027104005814,24366,393
1,4,31,-0.157045158834138,0.125860873205559,24366,393
1,4,32,-0.185910112432637,0.18729298046196,24366,393
1,4,33,-0.163231528785436,0.181874090239432,24366,393
1,4,34,-0.0643776988556888,0.108434319874556,24366,393
1,4,35,-0.0440195823397228,0.0685563805943199,24366,393
1,4,36,-0.0256336143310392,0.0504730281192785,24366,393
1,4,37,-0.0382807360399931,0.0569494550971355,24366,393
1,4,38,-0.126640177674034,0.108245906087453,24366,393
1,4,39,-0.0794073054967807,0.0803276501157002,24366,393
1,5,-22,-0.092729834380226,0.0371438848397664,24366,393
1,5,-21,-0.0789187928066079,0.0363019748389299,24366,393
1,5,-20,-0.0752375218997196,0.0364477042853073,24366,393
1,5,-19,-0.0837326860746544,0.0380450411301644,24366,393
1,5,-18,-0.104258944063624,0.0396453895981071,24366,393
1,5,-17,-0.0979711321925919,0.0371917571071968,24366,393
1,5,-16,-0.0903833244480182,0.0429031414628116,24366,393
1,5,-15,-0.120977900624382,0.0366256434878902,24366,393
1,5,-14,-0.0800015708907799,0.0267093488507815,24366,393
1,5,-13,-0.0439968088542982,0.0288808555971511,24366,393
1,5,-12,-0.0487246471672325,0.0219576098688544,24366,393
