age_group,k,coef,se,n_obs,n_occ
1,-22,-0.00846307612090109,0.0108534729146491,12448,389
1,-21,-0.0104774828304531,0.0108121241660391,12448,389
1,-20,-0.000809823597574905,0.00947234368595366,12448,389
1,-19,0.00443248218679903,0.00870010277955303,12448,389
1,-18,0.00611048149760567,0.00799855329614278,12448,389
1,-17,0.00339262578360118,0.0077519605010677,12448,389
1,-16,0.0240089050140472,0.00556103594745324,12448,389
1,-15,0.0176862132996875,0.00615563417761059,12448,389
1,-14,0.0150251468194099,0.00544629187323479,12448,389
1,-13,0.0081019659448268,0.00451292329829334,12448,389
1,-12,-0.000939783016601749,0.00549045675878645,12448,389
1,-11,-0.0153238582578646,0.00606056555650172,12448,389
1,-10,-0.0144236749836049,0.00830640237428768,12448,389
1,-9,-0.0142031265001501,0.00782505051248139,12448,389
1,-8,-0.00930656475468167,0.00646983111880711,12448,389
1,-7,-0.00238522474236121,0.00489235807047269,12448,389
1,-6,0.00121970252682979,0.00420054143477441,12448,389
1,-5,0.00139300334853492,0.00454601206766389,12448,389
1,-4,0.0177149042663466,0.00303885408071019,12448,389
1,-3,0.0122637433695786,0.00260085733224261,12448,389
1,-2,0.0061663513250044,0.00172590190060812,12448,389
1,-1,0,0,12448,389
1,0,-0.0081033595640512,0.00471158730288138,12448,389
1,1,-0.0255335010538636,0.00665702852790694,12448,389
1,2,-0.0233566246508321,0.00872097725286451,12448,389
1,3,-0.0225856881248148,0.00831125059012957,12448,389
1,4,-0.0151994729986454,0.00634829442295518,12448,389
1,5,-0.0150410350944434,0.00555708552687616,12448,389
1,6,-0.0152346328198746,0.0056370983996294,12448,389
1,7,-0.0202367059135022,0.00634864881602136,12448,389
1,8,-0.000792571958003115,0.00649915202302144,12448,389
1,9,-0.00663049663761939,0.00525016132110712,12448,389
2,-22,-0.0313892220616858,0.00729461662021719,12448,389
2,-21,-0.0249565747495311,0.00710245737889749,12448,389
2,-20,-0.0290075767504736,0.00724230068929981,12448,389
2,-19,-0.0282951819454161,0.00715060870575495,12448,389
2,-18,-0.0259302096745713,0.00651755994308033,12448,389
2,-17,-0.0241566296829111,0.00636665318487537,12448,389
2,-16,0.000508606787633689,0.00484973528587102,12448,389
2,-15,-0.00790307863081449,0.00495551510886405,12448,389
2,-14,-0.00836780173865865,0.00446301272382207,12448,389
2,-13,-0.00974513075853111,0.00398733983584546,12448,389
2,-12,-0.0169219968376982,0.00452807821191677,12448,389
2,-11,-0.0320404051927741,0.00433402259396025,12448,389
2,-10,-0.0225858295352052,0.00403008938246832,12448,389
2,-9,-0.0149609757934669,0.00386204459683074,12448,389
2,-8,-0.0192959157035252,0.0039216127137851,12448,389
2,-7,-0.0163719353616667,0.00308040806466248,12448,389
2,-6,-0.011761672304206,0.00280673046241922,12448,389
2,-5,-0.0086490650713376,0.00313456739374417,12448,389
2,-4,0.0125206413380285,0.00237227130631271,12448,389
2,-3,0.00560956397905046,0.00158445852499129,12448,389
2,-2,0.00320126498770574,0.00122102448457366,12448,389
2,-1,0,0,12448,389
2,0,-0.00414006061509274,0.00191317955254448,12448,389
2,1,-0.0225388389964875,0.00336371938019245,12448,389
2,2,-0.0138242944979595,0.00391391874376356,12448,389
2,3,-0.00504920690471032,0.0042286033664756,12448,389
2,4,-0.00774820765955721,0.00371085312848394,12448,389
2,5,-0.00950956342602021,0.00332412892953497,12448,389
2,6,-0.00947385635626148,0.00344115954735385,12448,389
2,7,-0.00810062119825955,0.00421405975880921,12448,389
2,8,0.0166550556296188,0.0046214211589767,12448,389
2,9,0.0105670088411455,0.00394432532425319,12448,389
3,-22,0.00366317425956817,0.00592638784874694,12448,389
3,-21,0.00953451446143445,0.0060447414693641,12448,389
3,-20,0.00292011818017841,0.00630849298444277,12448,389
3,-19,-9.96291368042888e-05,0.00627589032104772,12448,389
3,-18,0.00149217462644452,0.00612492551089862,12448,389
3,-17,0.00425817985169264,0.00585676089987776,12448,389
3,-16,0.0244694973286497,0.00427753743340309,12448,389
3,-15,0.0158415775209814,0.00438166373252751,12448,389
3,-14,0.0124898608893312,0.00428360896940072,12448,389
3,-13,0.00975601970198973,0.0036018296872739,12448,389
3,-12,0.000180134476441401,0.00443904780448051,12448,389
3,-11,-0.0194837980076723,0.00377022607607434,12448,389
3,-10,-0.00754233799594061,0.00342457242563982,12448,389
3,-9,0.000567126196426636,0.00360362402143227,12448,389
3,-8,-0.00657388631256627,0.00312501557284197,12448,389
3,-7,-0.0072009069557312,0.00309460217947497,12448,389
3,-6,-0.00348187758717229,0.00269612640972408,12448,389
3,-5,-0.00133658362891595,0.00276830798737615,12448,389
3,-4,0.0169542291959423,0.00279292921213147,12448,389
3,-3,0.00688383368807568,0.00141874605897075,12448,389
3,-2,0.00472131347268196,0.00096223066011583,12448,389
3,-1,0,0,12448,389
3,0,-0.00429778469559584,0.00129896763670357,12448,389
3,1,-0.0234821522142133,0.00257118795888644,12448,389
3,2,-0.0144767642245014,0.00284583886798213,12448,389
3,3,-0.00661921682453703,0.00339336285383481,12448,389
3,4,-0.0122372046875312,0.00283514616860648,12448,389
3,5,-0.0153418206663687,0.00266729115951987,12448,389
3,6,-0.0147269203403687,0.00274090807109377,12448,389
3,7,-0.0142909755243685,0.00378771726616948,12448,389
3,8,0.00911292867574615,0.00451132682686741,12448,389
3,9,0.000875534219262525,0.00303930801186869,12448,389
4,-22,-0.00303191347416749,0.00509474669090135,12480,390
4,-21,0.00230861082371361,0.00551152213381094,12480,390
4,-20,-0.00287806428268221,0.00543758010324342,12480,390
4,-19,-0.00353121985333397,0.00543780511573128,12480,390
4,-18,-0.00367612978201854,0.00523739093749484,12480,390
4,-17,-0.000102602940761718,0.00553036704480358,12480,390
4,-16,0.0166795180692031,0.00370026496735559,12480,390
4,-15,0.00917330162402379,0.00398179425054196,12480,390
4,-14,0.00730017820308182,0.00367167398547715,12480,390
4,-13,0.00544018653941384,0.00298737009730377,12480,390
4,-12,-0.00181320510236664,0.00362977682032378,12480,390
4,-11,-0.0196451654960978,0.003380875059731,12480,390
4,-10,-0.00829858907479389,0.00281848894900331,12480,390
4,-9,-0.00201476558199974,0.00316669361172242,12480,390
4,-8,-0.00827606292798936,0.00276653845068955,12480,390
4,-7,-0.00858307989686214,0.00282243905149771,12480,390
4,-6,-0.00568487945686404,0.00230387657798294,12480,390
4,-5,-0.000775587565357061,0.00286623107407014,12480,390
4,-4,0.0136612784311365,0.00251000537244079,12480,390
4,-3,0.0052611978679108,0.00133329505204699,12480,390
4,-2,0.00381724611958519,0.000915667517364567,12480,390
4,-1,0,0,12480,390
4,0,-0.00559234536446491,0.00125928302132685,12480,390
4,1,-0.0231300293611163,0.00256990522993779,12480,390
4,2,-0.0136027571899043,0.00278232863767876,12480,390
4,3,-0.00693345650451495,0.00282690759612862,12480,390
4,4,-0.0121754237794052,0.00231448642334252,12480,390
4,5,-0.0140860555546814,0.00225414311304595,12480,390
4,6,-0.0126494689940289,0.00223228653189439,12480,390
4,7,-0.0116475336036181,0.00292518049824172,12480,390
4,8,0.00668023802236632,0.00383051536224761,12480,390
4,9,-0.00126475450022754,0.00258553045204561,12480,390
