age_group,ai_q,k,coef,se_naive,se,n_obs,n_occ,n_boot
1,1,-22,-0.0292610169723547,0.0595682379937685,0.0225139960595203,20436,393,200
1,1,-21,-0.0225457198763327,0.0479465905788163,0.0254761958445168,20436,393,200
1,1,-20,-0.0203026226279489,0.0406431747986394,0.0260482490515478,20436,393,200
1,1,-19,-0.0228420318652028,0.0388385655930867,0.0264808514974694,20436,393,200
1,1,-18,-0.0232338914304609,0.0411128965510551,0.0298590439703223,20436,393,200
1,1,-17,-0.0326100281379168,0.0489982417271698,0.0313426902859915,20436,393,200
1,1,-16,-0.0301597072238948,0.0499503732563829,0.0320480269407651,20436,393,200
1,1,-15,-0.0301100485835625,0.0444128585559125,0.0305398195255191,20436,393,200
1,1,-14,-0.0215421938184857,0.0257598695598485,0.0300250267141,20436,393,200
1,1,-13,-0.0219552740972923,0.0219344406138535,0.0287124823600825,20436,393,200
1,1,-12,-0.0109604255898637,0.022869908124223,0.014260525583465,20436,393,200
1,1,-11,-0.0109604255898632,0.0268128243270526,0.0142605255834648,20436,393,200
1,1,-10,0.0064540061459942,0.0483787679223685,0.0156441628909566,20436,393,200
1,1,-9,-1.58027247525111e-05,0.0298438410502181,0.010348255275226,20436,393,200
1,1,-8,-0.00225353754770343,0.0218184178770263,0.010116280120599,20436,393,200
1,1,-7,-0.000191701094208512,0.0227444570850344,0.0133817035025351,20436,393,200
1,1,-6,0.000301596368505509,0.0220264865991854,0.013738522753992,20436,393,200
1,1,-5,0.00951263662241926,0.0297883330582432,0.00896670263476376,20436,393,200
1,1,-4,0.00767651504449638,0.0302062929135986,0.00666042928895655,20436,393,200
1,1,-3,0.00790409022725696,0.0259538686285409,0.00445368116014096,20436,393,200
1,1,-2,-0.000490409663688549,0.00895481299069132,0.00310925744337339,20436,393,200
1,1,-1,0,0,0,20436,393,200
1,1,0,-0.000172570667180825,0.0043736616612636,0.0156301322482329,20436,393,200
1,1,1,0.0117637102779401,0.00804152623064324,0.0181200224445058,20436,393,200
1,1,2,0.0276952763748236,0.0214230320515146,0.0393416095276331,20436,393,200
1,1,3,0.00997012087284003,0.0136803983886435,0.0358121769185349,20436,393,200
1,1,4,0.00321043739538096,0.0138256254350485,0.0298351938943745,20436,393,200
1,1,5,0.0041070739138676,0.0131489806684045,0.0291179089251564,20436,393,200
1,1,6,-0.00487209033961049,0.0122473055772533,0.0307272413016166,20436,393,200
1,1,7,-0.00620267273822909,0.0154052757980242,0.0295337283300271,20436,393,200
1,1,8,-0.00350384735338814,0.0178385270570458,0.0328460269361824,20436,393,200
1,1,9,0.00757943259368396,0.0188991057232988,0.0354703166774982,20436,393,200
1,1,10,-0.00126854421881097,0.023782834256227,0.0329228000512821,20436,393,200
1,1,11,-0.00248972877143561,0.0217783272700778,0.0289425100997246,20436,393,200
1,1,12,0.00486125683775493,0.0219765928383954,0.0427285727771394,20436,393,200
1,1,13,0.0048958696533643,0.0207635032055159,0.0452359459669357,20436,393,200
1,1,14,0.0322500552663414,0.0220189157675827,0.0650223397788951,20436,393,200
1,1,15,0.0126010512091967,0.027354297355389,0.0604116363716414,20436,393,200
1,1,16,-0.00400942566096804,0.027261877481586,0.0495132748623952,20436,393,200
1,1,17,-0.00196732837753244,0.0243274710581664,0.0453886885075041,20436,393,200
1,1,18,-0.00379161543301564,0.0228301864535797,0.046099531924669,20436,393,200
1,1,19,-0.00153743563463194,0.0186903209086925,0.0438113373619502,20436,393,200
1,1,20,0.00123935835626215,0.0226971128620989,0.0492054864848074,20436,393,200
1,1,21,-0.000817851417408817,0.0250879549272333,0.0492263304967368,20436,393,200
1,1,22,-0.0150518283506748,0.0339562540432386,0.0463879964639518,20436,393,200
1,1,23,-0.0183727344522924,0.0324848110116576,0.0421400672472272,20436,393,200
1,1,24,-0.0145573753131824,0.0316001210079654,0.0544046780457076,20436,393,200
1,1,25,-0.0140266988804281,0.0285411404183884,0.0556600977134962,20436,393,200
1,1,26,0.0226835766867883,0.0292205322635226,0.0764228931573784,20436,393,200
1,1,27,-0.0100165329759378,0.0354313282844477,0.0702791675088526,20436,393,200
1,1,28,-0.0173929631381342,0.034780256511564,0.0602690848626179,20436,393,200
1,1,29,-0.0179952957125156,0.0338895806799309,0.0589400438678126,20436,393,200
1,2,-22,-0.0512692990530121,0.0986770907009798,0.0392621527401122,20436,393,200
1,2,-21,-0.0515042524546972,0.100169768109923,0.0452356494746527,20436,393,200
1,2,-20,-0.0568819279857717,0.0987782848226834,0.0537924062662868,20436,393,200
1,2,-19,-0.067551141282823,0.102407951824828,0.0607511835301572,20436,393,200
1,2,-18,-0.0668148773889177,0.0977124794794595,0.0626214820598515,20436,393,200
1,2,-17,-0.0572497218419655,0.0714016508939581,0.050360145895243,20436,393,200
1,2,-16,-0.0394796247347643,0.0569649200680582,0.0417493970681286,20436,393,200
1,2,-15,-0.0329265619674634,0.0484576992042179,0.0381123737269992,20436,393,200
