age_group,ai_q,monitor_date,n_post,coef,se,cs_half,ci_lo,ci_hi,cs_lo,cs_hi,cs_excl_zero,ci_excl_zero
1,1,2025-05-16,1,-0.0167208591651612,0.0128587447271937,0.0514830442153004,-0.0419239988304607,0.00848228050013839,-0.0682039033804616,0.0347621850501392,0,0
1,1,2025-06-16,2,-0.0155427361248406,0.0125034322983675,0.0493313349757988,-0.0400494634296409,0.00896399117995975,-0.0648740711006394,0.0337885988509582,0,0
1,1,2025-07-16,3,-0.014801908076545,0.0133266806182462,0.054398534957941,-0.0409222020883076,0.0113183859352176,-0.069200443034486,0.0395966268813959,0,0
1,1,2025-08-16,4,-0.0148605837926422,0.0137774115226195,0.0572953269351136,-0.0418643103769764,0.012143142791692,-0.0721559107277558,0.0424347431424714,0,0
1,1,2025-09-16,5,-0.0176395308546365,0.0134745062109752,0.0553389911365166,-0.0440495630281479,0.00877050131887491,-0.0729785219911531,0.0376994602818801,0,0
1,1,2025-10-16,6,-0.0191916050235448,0.0135897620001643,0.056078735698817,-0.0458275385438668,0.00744432849677724,-0.0752703407223617,0.0368871306752722,0,0
1,1,2025-11-16,7,-0.0194662528040649,0.0140405189121495,0.0590266657374265,-0.0469856698718778,0.00805316426374805,-0.0784929185414913,0.0395604129333616,0,0
1,1,2025-12-16,8,-0.0196703357455919,0.0142433966478219,0.0603820837375232,-0.0475873931753227,0.00824672168413897,-0.0800524194831151,0.0407117479919314,0,0
1,1,2026-01-16,9,-0.0185006928173955,0.0142795447812182,0.0606254575429106,-0.0464886005885833,0.00948721495379223,-0.0791261503603061,0.042124764725515,0,0
1,1,2026-02-16,10,-0.0197160228048375,0.0147593898862147,0.0639098331292287,-0.0486444269818183,0.00921238137214337,-0.0836258559340662,0.0441938103243912,0,0
1,2,2025-05-16,1,-0.0030193793506223,0.018547338607874,0.0742586835950045,-0.0393721630220553,0.0333334043208107,-0.0772780629456268,0.0712393042443822,0,0
1,2,2025-06-16,2,0.00438438258398162,0.0185947444233629,0.074549660173352,-0.0320613164858096,0.0408300816537728,-0.0701652775893704,0.0789340427573336,0,0
1,2,2025-07-16,3,0.0047235371212091,0.021244727471795,0.0918769215830809,-0.0369161287235091,0.0463632029659273,-0.0871533844618718,0.09660045870429,0,0
