sector,age_group,ai_q,k,coef,se,n_obs,n_occ
1,1,2,-22,0.00744300103078346,0.0364580665755726,21700,350
1,1,2,-21,0.0282381749021663,0.0293320503488996,21700,350
1,1,2,-20,0.00299426605300505,0.0213986190630569,21700,350
1,1,2,-19,0.0211840129336061,0.0193572263027243,21700,350
1,1,2,-18,0.0289246707037241,0.0229135224996791,21700,350
1,1,2,-17,-0.00472441213274426,0.0239226486390147,21700,350
1,1,2,-16,0.0340990514820239,0.0806705355754268,21700,350
1,1,2,-15,0.017363436060991,0.11444178035881,21700,350
1,1,2,-14,0.0277175952077931,0.0672333430827175,21700,350
1,1,2,-13,-0.0163921789418233,0.0168163188531486,21700,350
1,1,2,-12,-0.012939245659247,0.0121761227417528,21700,350
1,1,2,-11,-0.00466074114781555,0.012005437176142,21700,350
1,1,2,-10,0.00871518449718776,0.0450597881381573,21700,350
1,1,2,-9,0.0280566663436722,0.0253494474429008,21700,350
1,1,2,-8,0.00840124988843779,0.0112198842925709,21700,350
1,1,2,-7,0.00830866257907671,0.0133806765133474,21700,350
1,1,2,-6,0.027003842338089,0.0172761838235432,21700,350
1,1,2,-5,-0.0103791432110374,0.018573075547548,21700,350
1,1,2,-4,0.023052817772559,0.0636270858694929,21700,350
1,1,2,-3,0.010325756232875,0.105045024809964,21700,350
1,1,2,-2,0.0489726889227358,0.056328169467755,21700,350
1,1,2,0,-0.00755537520749353,0.0103396934594318,21700,350
1,1,2,1,-0.00581882003989376,0.0237782546140336,21700,350
1,1,2,2,0.021653393812951,0.0171940525918723,21700,350
1,1,2,3,0.0318986461272907,0.0112862278858164,21700,350
1,1,2,4,0.0178049558571348,0.0242636231986416,21700,350
1,1,2,5,0.0250607618491299,0.025236382213382,21700,350
1,1,2,6,0.0393676059483059,0.0154044983691058,21700,350
1,1,2,7,0.0224621267402292,0.0154437581468637,21700,350
1,1,2,8,0.0533417161755276,0.0599357932330136,21700,350
1,1,2,9,0.0187400243424621,0.0968287561934009,21700,350
1,1,2,10,0.0294276874509237,0.0420561519717492,21700,350
1,1,2,11,0.00722037063988403,0.0213066933071844,21700,350
1,1,2,12,0.0224011476040018,0.0240071130397244,21700,350
1,1,2,13,0.0277565509410036,0.0387500585022674,21700,350
1,1,2,14,0.0404205301266026,0.0127860486888062,21700,350
1,1,2,15,0.039922042937334,0.0199119262647841,21700,350
1,1,2,16,0.025899788747097,0.0330451843721214,21700,350
1,1,2,17,0.0449066650621976,0.0205976511286842,21700,350
1,1,2,18,0.0464811778787904,0.0256896321952061,21700,350
1,1,2,19,0.0213719329032061,0.0214759876775933,21700,350
1,1,2,20,0.0736310894792533,0.0548258405118942,21700,350
1,1,2,21,0.0422248427704983,0.0862168282285976,21700,350
1,1,2,22,0.0301949214209446,0.0404524201572736,21700,350
1,1,2,23,-0.00188741149442087,0.0276751018722593,21700,350
1,1,2,24,0.0131558492073167,0.0338076282582409,21700,350
